REGION,TECHNOLOGY,STORAGE,FUEL,EMISSION,SEASON,DAYTYPE,DAILYTIMEBRACKET,TIMESLICE,MODE_OF_OPERATION,YEAR,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,NewStorageCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,SalvageValueStorage,StorageLevelChronoDayStart,StorageLevelDayTypeFinish,StorageLevelYearStart,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
REGION1,BATTERY,,,,,10,,,,2037,,,,,,,,,,,,,,,,,,,,,,0.1387765963091823,,,,,,,
REGION1,BATTERY,,,,,10,,,,2038,,,,,,,,,,,,,,,,,,,,,,0.1901763080335524,,,,,,,
REGION1,BATTERY,,,,,10,,,,2039,,,,,,,,,,,,,,,,,,,,,,0.42687314211781,,,,,,,
REGION1,BATTERY,,,,,10,,,,2040,,,,,,,,,,,,,,,,,,,,,,0.8026093644844556,,,,,,,
REGION1,BATTERY,,,,,10,,,,2041,,,,,,,,,,,,,,,,,,,,,,0.6884081415022563,,,,,,,
REGION1,BATTERY,,,,,10,,,,2042,,,,,,,,,,,,,,,,,,,,,,57.1399938435008,,,,,,,
REGION1,BATTERY,,,,,10,,,,2043,,,,,,,,,,,,,,,,,,,,,,107.27387830596774,,,,,,,
REGION1,BATTERY,,,,,10,,,,2044,,,,,,,,,,,,,,,,,,,,,,139.25995003298596,,,,,,,
REGION1,BATTERY,,,,,10,,,,2045,,,,,,,,,,,,,,,,,,,,,,149.82055097746974,,,,,,,
REGION1,BATTERY,,,,,10,,,,2046,,,,,,,,,,,,,,,,,,,,,,144.517847124831,,,,,,,
REGION1,BATTERY,,,,,10,,,,2047,,,,,,,,,,,,,,,,,,,,,,128.45293895390793,,,,,,,
REGION1,BATTERY,,,,,10,,,,2048,,,,,,,,,,,,,,,,,,,,,,105.6429476280596,,,,,,,
REGION1,BATTERY,,,,,10,,,,2049,,,,,,,,,,,,,,,,,,,,,,76.09326445086256,,,,,,,
REGION1,BATTERY,,,,,10,,,,2050,,,,,,,,,,,,,,,,,,,,,,40.194916256053006,,,,,,,
REGION1,BATTERY,,,,,100,,,,2021,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2022,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2023,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2024,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2025,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2026,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2027,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2028,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2029,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2030,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2031,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2032,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,100,,,,2033,,,,,,,,,,,,,,,,,,,,,,0.1062015076101642,,,,,,,
REGION1,BATTERY,,,,,100,,,,2034,,,,,,,,,,,,,,,,,,,,,,0.3454728877986027,,,,,,,
REGION1,BATTERY,,,,,100,,,,2035,,,,,,,,,,,,,,,,,,,,,,0.77129301001279,,,,,,,
REGION1,BATTERY,,,,,100,,,,2036,,,,,,,,,,,,,,,,,,,,,,0.9963339570350784,,,,,,,
REGION1,BATTERY,,,,,100,,,,2037,,,,,,,,,,,,,,,,,,,,,,1.2278219128374757,,,,,,,
REGION1,BATTERY,,,,,100,,,,2038,,,,,,,,,,,,,,,,,,,,,,1.7980088492849569,,,,,,,
REGION1,BATTERY,,,,,100,,,,2039,,,,,,,,,,,,,,,,,,,,,,2.6120817114572974,,,,,,,
REGION1,BATTERY,,,,,100,,,,2040,,,,,,,,,,,,,,,,,,,,,,2.567452925458696,,,,,,,
REGION1,BATTERY,,,,,100,,,,2041,,,,,,,,,,,,,,,,,,,,,,11.091837343994598,,,,,,,
REGION1,BATTERY,,,,,100,,,,2042,,,,,,,,,,,,,,,,,,,,,,66.25244390758625,,,,,,,
REGION1,BATTERY,,,,,100,,,,2043,,,,,,,,,,,,,,,,,,,,,,111.8312374518684,,,,,,,
REGION1,BATTERY,,,,,100,,,,2044,,,,,,,,,,,,,,,,,,,,,,138.3282060126173,,,,,,,
REGION1,BATTERY,,,,,100,,,,2045,,,,,,,,,,,,,,,,,,,,,,144.83357062835717,,,,,,,
REGION1,BATTERY,,,,,100,,,,2046,,,,,,,,,,,,,,,,,,,,,,136.79824617123185,,,,,,,
REGION1,BATTERY,,,,,100,,,,2047,,,,,,,,,,,,,,,,,,,,,,119.0145948185186,,,,,,,
REGION1,BATTERY,,,,,100,,,,2048,,,,,,,,,,,,,,,,,,,,,,94.48420397339773,,,,,,,
REGION1,BATTERY,,,,,100,,,,2049,,,,,,,,,,,,,,,,,,,,,,63.320967785568,,,,,,,
REGION1,BATTERY,,,,,100,,,,2050,,,,,,,,,,,,,,,,,,,,,,25.657932155431304,,,,,,,
REGION1,BATTERY,,,,,101,,,,2021,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2022,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2023,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2024,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2025,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2026,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2027,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2028,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2029,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2030,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2031,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2032,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,101,,,,2033,,,,,,,,,,,,,,,,,,,,,,0.0987164856378089,,,,,,,
