transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
12730,V76R,ON,Ontario,HONI,1,ac,6,3.704,9.1,5.617,230,,,,,,,3,402,435,,ON_WTM_JCT,,ON_RCV_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12731,V77R,ON,Ontario,HONI,1,ac,9,5.556,9,5.556,230,,,,,,,3,402,435,,ON_CLV_TSS,,ON_RCV_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12732,V79R,ON,Ontario,HONI,1,ac,9,5.556,9,5.556,230,,,,,,,3,402,435,,ON_CLV_TSS,,ON_RCV_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12733,W12,ON,Ontario,HONI,1,ac,28,17.284,28,17.284,115,,,,,,,3,98,108,,ON_BUC_DSS,,ON_ING_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12734,W2,ON,Ontario,HONI,1,ac,0.1,0.062,0.1,0.062,115,,,,,,,3,98,108,,ON_WDF_GSS,,ON_WDF_SWS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12735,W21M,ON,Ontario,HONI,1,ac,168.3,103.889,168.3,103.889,230,,,,,,,1.98,266,288,,ON_WAW_TSS,,ON_MRT_TSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12736,W22M,ON,Ontario,HONI,1,ac,168.3,103.889,168.3,103.889,230,,,,,,,1.98,266,288,,ON_WAW_TSS,,ON_MRT_TSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12737,W23K,ON,Ontario,HONI,1,ac,74.2,45.802,74.2,45.802,230,,,,,,,3,402,435,,ON_WAW_TSS,,ON_MKY_JCT,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:7, line_segment_length_mi:7, line_length_km:7, line_length_mi:7, voltage:7, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12738,W2C,ON,Ontario,HONI,1,ac,0.1,0.062,120.2,74.198,115,,,,,,,2.48,81,89,,ON_CHP_JCT,,ON_CHP_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
12739,W2C,ON,Ontario,HONI,1,ac,0.1,0.062,120.2,74.198,115,,,,,,,2.48,81,89,,ON_CHP_JCT,,ON_CHM_DSS,,"circuit_id:281, owner:281, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:6, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:281, ending_node_code:None, other_references:None, notes:None"
