name,node_code,node_type,substation_type,owner,province,latitude,longitude,operating_region,sources,notes
Garden Plain 1045S,AB_1045S_GSS,GSS,Generating Substation,ATCO Electric Ltd.,AB,51.975318,-111.836553,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, notes:None",
Watson Creek 104S,AB_104S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.276909,-117.74393,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Holsom 1054S,AB_1054S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.93937,-111.050102,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, notes:None",
Bilby 105S,AB_105S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.556955,-114.007614,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Windrise 1063S,AB_1063S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.489432,-113.454586,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Paddle River 106S,AB_106S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.600612,-115.448577,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Enterprise 1070S,AB_1070S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,50.3687,-113.34081,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, notes:None",
Westfield 107S,AB_107S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.670251,-111.493872,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Amelia 108S,AB_108S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.824834,-113.048779,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Coalbanks 111S,AB_111S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.686887,-112.853651,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Windy Point 112S,AB_112S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.583451,-113.843028,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Ghost Pine 114S,AB_114S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,51.872348,-113.318052,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Mt. Allan 115S,AB_115S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.951755,-115.140335,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Canmore 118S,AB_118S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,51.079702,-115.319939,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Foster Creek 1200S,AB_1200S_GSS,GSS,Generating Substation,ATCO Electric Ltd.,AB,55.067701,-110.536956,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Picture Butte 120S,AB_120S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.827779,-112.735101,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Brooks 121S,AB_121S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,50.557998,-111.895221,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Alberta Newsprint 122S,AB_122S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,54.127889,-115.665862,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Banff 123S,AB_123S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,51.18859,-115.563615,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Bruderheim 127S,AB_127S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.80279,-112.871345,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Heartland 12S,AB_12S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,55.044133,-111.648976,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Moon Lake 131S,AB_131S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.424594,-114.985357,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Ware Junction 132S,AB_132S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.872395,-111.91961,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
