r,t,y,NewCapacity
"REGION1","DEMINDELCB02",2038,156.491111111111
"REGION1","DEMINDELCB02",2039,155.797777777778
"REGION1","DEMINDELCB02",2040,155.104444444444
"REGION1","DEMINDELCB02",2041,155.104444444444
"REGION1","DEMINDELCB02",2042,154.473222222222
"REGION1","DEMINDELCB02",2043,153.843444444444
"REGION1","DEMINDELCB02",2044,153.212222222222
"REGION1","DEMINDELCB02",2045,152.581
"REGION1","DEMINDELCB02",2046,151.949777777778
"REGION1","DEMINDELCB02",2047,151.318555555556
"REGION1","DEMINDELCB02",2048,150.687333333333
"REGION1","DEMINDELCB02",2049,150.056111111111
"REGION1","DEMINDELCB02",2050,149.424888888889
"REGION1","DEMRESKER",2020,0.848484848484849
"REGION1","DEMRESKER",2021,0.858585858585858
"REGION1","DEMRESKER",2022,0.868686868686869
"REGION1","DEMRESKER",2023,0.87878787878788
"REGION1","DEMRESKER",2024,0.878787878787879
"REGION1","DEMRESKER",2025,0.878787878787879
"REGION1","DEMRESKER",2026,0.888888888888889
"REGION1","DEMRESKER",2027,0.888888888888889
"REGION1","DEMRESKER",2028,0.888888888888889
"REGION1","DEMRESKER",2029,0.888888888888889
"REGION1","DEMRESKER",2030,0.888888888888889
"REGION1","DEMRESKER",2031,0.888888888888889
"REGION1","DEMRESKER",2032,0.88888888888889
"REGION1","DEMRESKER",2033,0.888888888888888
"REGION1","DEMRESKER",2034,0.888888888888889
"REGION1","DEMRESKER",2035,0.888888888888889
"REGION1","DEMRESKER",2036,0.888888888888889
"REGION1","DEMRESKER",2037,0.878787878787879
"REGION1","DEMRESKER",2038,0.878787878787879
"REGION1","DEMRESKER",2039,0.878787878787879
"REGION1","DEMRESKER",2040,0.868686868686869
"REGION1","DEMRESKER",2041,0
"REGION1","DEMRESKER",2042,0
"REGION1","DEMRESKER",2043,0
"REGION1","DEMRESKER",2044,0
"REGION1","DEMRESKER",2045,0
"REGION1","DEMRESKER",2046,0
"REGION1","DEMRESKER",2047,0
"REGION1","DEMRESKER",2048,0
"REGION1","DEMRESKER",2049,0
"REGION1","DEMRESKER",2050,0
"REGION1","DEMRESBIO",2020,13.1111111111111
"REGION1","DEMRESBIO",2021,13.3636363636364
"REGION1","DEMRESBIO",2022,13.5858585858586
"REGION1","DEMRESBIO",2023,13.8585858585859
"REGION1","DEMRESBIO",2024,14.1414141414141
"REGION1","DEMRESBIO",2025,14.4040404040404
"REGION1","DEMRESBIO",2026,14.6565656565657
"REGION1","DEMRESBIO",2027,14.8686868686869
"REGION1","DEMRESBIO",2028,15.0909090909091
"REGION1","DEMRESBIO",2029,15.2929292929293
"REGION1","DEMRESBIO",2030,15.4444444444444
"REGION1","DEMRESBIO",2031,15.5959595959596
"REGION1","DEMRESBIO",2032,15.7474747474747
"REGION1","DEMRESBIO",2033,15.8585858585859
"REGION1","DEMRESBIO",2034,15.979797979798
"REGION1","DEMRESBIO",2035,16.0707070707071
