r,t,y,CapitalInvestment
"REGION1","DEMINDELCB02",2033,1.6237
"REGION1","DEMINDELCB02",2034,1.60781111111111
"REGION1","DEMINDELCB02",2035,1.59437777777778
"REGION1","DEMINDELCB02",2036,1.58238888888889
"REGION1","DEMINDELCB02",2037,1.57198888888889
"REGION1","DEMINDELCB02",2038,1.56491111111111
"REGION1","DEMINDELCB02",2039,1.55797777777778
"REGION1","DEMINDELCB02",2040,1.55104444444444
"REGION1","DEMINDELCB02",2041,1.55104444444444
"REGION1","DEMINDELCB02",2042,1.54473222222222
"REGION1","DEMINDELCB02",2043,1.53843444444444
"REGION1","DEMINDELCB02",2044,1.53212222222222
"REGION1","DEMINDELCB02",2045,1.52581
"REGION1","DEMINDELCB02",2046,1.51949777777778
"REGION1","DEMINDELCB02",2047,1.51318555555556
"REGION1","DEMINDELCB02",2048,1.50687333333333
"REGION1","DEMINDELCB02",2049,1.50056111111111
"REGION1","DEMINDELCB02",2050,1.49424888888889
"REGION1","DEMRESKER",2020,0.00848484848484849
"REGION1","DEMRESKER",2021,0.00858585858585858
"REGION1","DEMRESKER",2022,0.00868686868686869
"REGION1","DEMRESKER",2023,0.0087878787878788
"REGION1","DEMRESKER",2024,0.00878787878787879
"REGION1","DEMRESKER",2025,0.00878787878787879
"REGION1","DEMRESKER",2026,0.00888888888888889
"REGION1","DEMRESKER",2027,0.00888888888888889
"REGION1","DEMRESKER",2028,0.00888888888888889
"REGION1","DEMRESKER",2029,0.00888888888888889
"REGION1","DEMRESKER",2030,0.00888888888888889
"REGION1","DEMRESKER",2031,0.00888888888888889
"REGION1","DEMRESKER",2032,0.0088888888888889
"REGION1","DEMRESKER",2033,0.00888888888888888
"REGION1","DEMRESKER",2034,0.00888888888888889
"REGION1","DEMRESKER",2035,0.00888888888888889
"REGION1","DEMRESKER",2036,0.00888888888888889
"REGION1","DEMRESKER",2037,0.00878787878787879
"REGION1","DEMRESKER",2038,0.00878787878787879
"REGION1","DEMRESKER",2039,0.00878787878787879
"REGION1","DEMRESKER",2040,0.00868686868686869
"REGION1","DEMRESKER",2041,0
"REGION1","DEMRESKER",2042,0
"REGION1","DEMRESKER",2043,0
