r,e,y,AnnualEmissions
"REGION1","CO2",2020,59.213258
"REGION1","CO2",2021,58.8455864
"REGION1","CO2",2022,58.4158716
"REGION1","CO2",2023,58.1794226
"REGION1","CO2",2024,58.7163262
"REGION1","CO2",2025,59.8246638
"REGION1","CO2",2026,61.5903617999999
"REGION1","CO2",2027,62.138732
"REGION1","CO2",2028,62.261878
"REGION1","CO2",2029,62.3021061999999
"REGION1","CO2",2030,63.161948
"REGION1","CO2",2031,64.404697
"REGION1","CO2",2032,65.1434866000001
"REGION1","CO2",2033,64.9075392
"REGION1","CO2",2034,64.651365
"REGION1","CO2",2035,64.4484026
"REGION1","CO2",2036,64.2059094
"REGION1","CO2",2037,63.9540368
"REGION1","CO2",2038,63.7270238
"REGION1","CO2",2039,63.525189
"REGION1","CO2",2040,63.3485712
"REGION1","CO2",2041,64.6525453
"REGION1","CO2",2042,64.8057196
"REGION1","CO2",2043,64.958891
"REGION1","CO2",2044,65.1119909
"REGION1","CO2",2045,65.2651119
"REGION1","CO2",2046,65.4181615
"REGION1","CO2",2047,65.5714026
"REGION1","CO2",2048,65.7243854
"REGION1","CO2",2049,65.8776965
"REGION1","CO2",2050,66.0307979000001
