id,source,year,name,link,publication,region,notes
377,NERC,2019.0,2019 Long-Term Reliability Assessment,https://www.nerc.com/pa/RAPA/ra/Reliability%20Assessments%20DL/NERC_LTRA_2019.pdf,,,
378,Hydro Québec,2006.0,Strategic Plan 2006-2010,https://www.hydroquebec.com/data/documents-donnees/pdf/strategic-plan-2006-2010.pdf,,Québec,
379,Hydro Québec Transénergie,2020.0,Plan directeur 2020,http://www.hydroquebec.com/data/transenergie/pdf/hqt-plan-directeur-2020.pdf,,Québec,
380,Hydro Québec,2020.0,Construction work and projects,https://www.hydroquebec.com/projects/,,,
381,Hydro Québec,2019.0,Hydro Québec Production,http://www.hydroquebec.com/generation/,,Québec,
382,Hydro Québec Transénergie,2019.0,Liste des centrales privé,http://www.hydroquebec.com/data/transenergie/pdf/2019-12-31-liste-centrales-privees-raccordees-reseau-hydro-quebec.pdf,,Québec,
383,Rio Tinto,2019.0,Le Site D'Énergie Èlectrique une division de Rio Tinto: Plan du site,https://energie.riotinto.com/index.php?id=15#,,Québec,
384,Résolu Produits Forestiers,2019.0,Établissements,https://www.pfresolu.com/installation_site.aspx?siteid=60&langtype=3084,,Québec,
385,Hydro Québec Distribution,2019.0,Complément D'Information du Plan d'approvisionnement (Prévision de la demande) 2020-2029 (R-41102019),http://publicsde.regie-energie.qc.ca/_layouts/publicsite/ProjectPhaseDetail.aspx?ProjectID=529&phase=1&Provenance=B,,Québec,
386,The WindPower,2019.0,Wind Energy Market Intelligence - Wind Farms,https://www.thewindpower.net/windfarms_list_en.php,,National,
387,Boralex,2019.0,Our Projects & Sites,https://www.boralex.com/our-projects-and-sites/?refinementList%5Bcountry%5D%5B0%5D=Canada,,,
388,Hydro Québec,2009.0,Strategic Plan 2009-2013,http://www.hydroquebec.com/data/documents-donnees/pdf/strategic-plan-20092013.pdf,,Québec,
389,Watercourses Act,2017.0,"Watercourses Act, CQLR c R-13, s-68. ",,,Québec,
390,Hydro Québec Act,2020.0,"Hydro Québec Act, CQLR c H-5, s.16.",,,Québec,
391,Hydro Québec Transénergie,2006.0,Installations de transport d'énergie au Québec,https://archives.bape.gouv.qc.ca/sections/mandats/La%20Romaine_raccordement/documents/DA5.pdf,,Québec,
394,BC Hydro,2020.0,T&D System Operations System Operating Order 7T-18 BC - US Interconnection,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/suppliers/transmission-system/system_operating_orders/7T-18.pdf,,British Columbia,
395,BC Hydro,2020.0,T&D System Operations System Operating Order 7T-17 BC - Alberta Interconnection,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/suppliers/transmission-system/system_operating_orders/7T17.pdf,,British Columbia,
397,https://www.aeso.ca/market/market-and-system-reporting/data-requests/hourly-metered-volumes-and-pool-price-and-ail-data-2008-to-2020/,,,,,,
398,http://oasis.caiso.com/mrioasis/logon.do,,,,,,
399,https://www.iso-ne.com/isoexpress/web/reports/grid/-/tree/external-interface-metered-data,,,,,,
400,https://www.misoenergy.org/markets-and-operations/real-time--market-data/market-reports/#nt=%2FMarketReportType%3AHistorical%20LMP%2FMarketReportName%3AHistorical%20Annual%20Real-Time%20LMPs%20(zip)&t=10&p=0&s=MarketReportPublished&sd=desc,,,,,,
401,https://www.nyiso.com/custom-reports?report=interface_limits,,,,,,
402,https://www.bchydro.com/energy-in-bc/operations/transmission/transmission-system/actual-flow-data/historical-data.html,,,,,,
403,https://www.nspower.ca/oasis/monthly-reports/hourly-net-energy-flows-ns-nb-interconnection,,,,,,
405,https://tso.nbpower.com/Public/en/system_information_archive.aspx,,,,,,
406,http://www.ieso.ca/Power-Data/Data-Directory,,,,,,
407,None,,,,,,
408,https://www.bchydro.com/energy-in-bc/operations/transmission/transmission-system/balancing-authority-load-data/historical-transmission-data.html,,,,,,
409,"Market Analysis Section, Resource and Transmission Planning Department, Newfoundland & Labrador Hydro",,,,,,
410,http://reports.ieso.ca/public/Demand/,,,,,,
411,http://www.regie-energie.qc.ca/audiences/Suivis/Suivi_HQD_D-2016-143.html,,,,,,
412,https://www.nspower.ca/oasis/monthly-reports/hourly-total-net-nova-scotia-load,,,,,,
413,Maritime Electric,2016.0,General Rate Application,https://www.maritimeelectric.com/media/1093/general-rate-case-application-and-evidence.pdf,,Prince Edward Island,
414,Maritime Electric,2020.0,Integrated System Plan 2020,http://www.irac.pe.ca/electric/,,,
415,MECL,2018.0,Environmental Impact Statement (EIS): Proposed Borden-Carleton Transmission Line Project,https://www.princeedwardisland.ca/en/information/environment-water-and-climate-change/projects-under-environmental-review-undertakings,,Prince Edward Island,
416,NB Power,2018.0,2017/18 Annual Report,https://www.nbpower.com/en/about-us/accountability-reports/annual-and-quarterly-reports/,,New Brunswick,
417,AMEC,2013.0,Environmental Impact Statement Hermanville/Clearspring 30 Megawatt Wind Farm Final Report,https://www.princeedwardisland.ca/en/information/environment-water-and-climate-change/projects-under-environmental-review-undertakings,,Prince Edward Island,
418,Energy and Environmental Economics,2019.0,Planning Reserve Margin and Capacity Value Study,https://irp.nspower.ca/documents/pre-irp-deliverables/,,Prince Edward Island,
419,Hatch,2018.0,Nova Scotia Power Inc. Atlantic RECSI,https://canwea.ca/wind-integration-study/full-report/,,Atlantic,
420,Maritime Electric,2019.0,Renewable Energy,https://www.maritimeelectric.com/about-us/community-and-environment/renewable-energy/,,Prince Edward Island,
