y,Capital costs,Fixed costs,Variable costs,Fuel costs
2020,2.233027104093004,2.6550385237691656,0.24185838662454734,0.0018060113358400525
2021,2.426194005724767,2.6597624829260886,0.23822127788738806,0.0018291897701683938
2022,2.607934874705739,2.6641881684242015,0.23479732256375735,0.0018506692718292968
2023,2.79890547608171,2.668758882220831,0.23119067781009534,0.0018736180507681712
2024,3.114260237252086,2.6051785034107833,0.3533169431074483,0.2681621042705443
2025,5.158089152121825,2.6651126875296995,0.21321227343696963,0.0018902463496982362
2026,5.566576095448779,2.766054677460807,0.2575160627088153,0.002127665378157655
2027,6.125801201444196,2.8439202739810554,0.2932467372188455,0.0023075342095641234
2028,6.624236249740333,2.9132854850213987,0.32509539942938664,0.002468180220119577
2029,7.081154827672608,2.9769434406011586,0.3542875580795044,0.0026151635097688714
2030,7.571521570009016,3.045201367257491,0.38561981420734903,0.0027728483668358057
2031,9.247392118731407,3.2040483800668307,0.5827768899220301,0.41161655065098474
2032,10.81468456844765,3.337298732701483,0.7764886979425291,0.8876000299922984
2033,12.139190603536665,3.4540582815513177,0.9322626955217485,1.2703485833540262
2034,13.228322351301486,3.550040454940649,1.0603605457868313,1.5851057462165077
2035,14.273866133263377,3.628546269143044,1.170151840990551,1.8537291654686172
2036,15.036690400383334,3.6968305245560926,1.2608614587569091,2.0766931628173064
2037,15.724522303735547,3.7568058472653947,1.3431667086728833,2.2771220535267225
2038,16.330690702338558,3.8106208872434233,1.415839035047554,2.4536233658519118
2039,16.815831450272587,3.848760711041273,1.4829551425274374,2.6161492074308677
2040,17.217774646540867,3.881135304524798,1.5398502526624964,2.7553487714073213
2041,17.5696283515944,3.9090573667471773,1.5905030656072743,2.8796160170076006
2042,17.889872647984358,3.934820294449797,1.6358450667744173,2.991196827508038
2043,18.22190548395378,3.9606856546317637,1.6822654572672302,3.1032737269545296
2044,18.481249953996553,3.9815893691698423,1.7190127442331877,3.1943925209934805
2045,19.241083192803355,4.0008477477638955,1.7530085679972756,3.2787138681632957
2046,19.58573971710893,4.007137699181832,1.769625392360337,3.3259823248731593
2047,20.104768291586296,3.990232529456746,1.7563557503350626,3.309936443920491
2048,20.93040830998998,3.9386495471379277,1.6751040358815217,3.153069279966943
2049,21.751254498507425,3.8909932401640592,1.6000338751329184,3.007738972637541
2050,22.328074036987612,3.9058034943443714,1.553837706141442,2.84411046408346
