,project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
0,Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
83,Hollingsworth,ON_HGW_DSS,ON,hydro_daily,23,0.6843083129843932,15.739091198641043,0.546773873337304,110.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Iroquois Falls Hydro,ON_IQF_DSS,ON,hydro_daily,29.7,0.6843083129843932,20.323956895636478,0.5800998717862014,150.92574384235957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Island Falls-ON,ON_ISF_GSS,ON,hydro_daily,44.3,0.6843083129843932,30.314858265208617,0.580099871786227,225.1181970443375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kipling_01,ON_KPG_GSS,ON,hydro_daily,166,0.6843083129843932,113.59517995540928,0.2282025361720856,331.843,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
87,Kipling_02,ON_KPG2_GSS,ON,hydro_daily,79,0.6843083129843932,54.060356725767065,0.2257658516848737,156.239,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
88,Little Long_01,ON_LLG_SWS,ON,hydro_daily,144,0.6843083129843932,98.54039706975263,0.15831906392694065,199.71,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
89,Little Long_02,ON_LLG_SWS,ON,hydro_daily,75,0.6843083129843932,51.32312347382949,0.2953074581430746,194.017,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
90,Lower Notch,ON_LWN_GSS,ON,hydro_daily,274,0.6843083129843932,187.50047775772373,0.13546603672966037,325.151,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,MacKay,ON_MKY_DSS,ON,hydro_daily,62,0.6843083129843932,42.42711540503238,0.4639784946236559,251.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Mission,ON_MSF_GSS,ON,hydro_daily,15,0.6843083129843932,10.264624694765898,0.36333333333333334,47.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Mountain Chute,ON_MTC_GSS,ON,hydro_daily,173,0.6843083129843932,118.38533814630003,0.2018198854488347,305.854,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Otter Rapids,ON_ORP_GSS,ON,hydro_daily,189,0.6843083129843932,129.33427115405033,0.2694770602304849,446.157,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Otto Holden,ON_OTH_DSS,ON,hydro_daily,265,0.6843083129843932,181.3417029408642,0.47191263892478674,1095.498,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Pine Portage,ON_PPT_SWS,ON,hydro_daily,151,0.6843083129843932,103.33055526064338,0.3592851310895401,475.24800000000005,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rayner,ON_RNR_GSS,ON,hydro_daily,42,0.6843083129843932,28.740949145344516,0.31613394216133944,116.31200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Red Rock Falls,ON_RRC_GSS,ON,hydro_daily,37,0.6843083129843932,25.31940758042255,0.5879211403184006,190.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Smoky Falls,ON_SKF_GSS,ON,hydro_daily,264,0.6843083129843932,180.6573946278798,0.26251383700013836,607.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Stewartville,ON_STW_DSS,ON,hydro_daily,186,0.6843083129843932,127.28134621509713,0.1818935041979673,296.37,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Twin Falls H2O,ON_IQF_DSS,ON,hydro_daily,27.5,0.6843083129843932,18.818478607070812,0.5800998717862322,139.74605911330335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Wells,ON_WEL_GSS,ON,hydro_daily,220,0.6843083129843932,150.5478288565665,0.1326494396014944,255.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Beaumont,QC_BMT_GSS,QC,hydro_daily,270,0.981,264.87,0.65,1537.38,6.0,45,,,,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Bersimis-1,QC_BS1_GSS,QC,hydro_monthly,1178,0.981,1155.618,0.65,6707.532000000001,8.0,147.25,,,,266.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Bersimis-2,QC_BS2_GSS,QC,hydro_daily,845,0.981,828.9449999999999,0.65,4811.43,5.0,169,,,,115.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Brisay,QC_BSY_GSS,QC,hydro_monthly,469,0.981,460.089,0.65,2670.486,2.0,234.5,,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Chute-à-Caron,QC_CAC_GSS,QC,hydro_daily,222,0.981,217.78199999999998,0.65,1264.068,,,,,,48.8,,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Chute-à-la-Savane,QC_CAS_GSS,QC,hydro_daily,245,0.981,240.345,0.65,1395.03,,,,,,33.5,,,,,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Chute-des-Passes,QC_CDP_DSS,QC,hydro_daily,833,0.981,817.173,0.65,4743.102,,,,,,195.1,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Chute-du-Diable,QC_CDD_GSS,QC,hydro_daily,224,0.981,219.744,0.65,1275.4559999999997,,,,,,33.5,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Eastmain-1,QC_EM1_GSS,QC,hydro_monthly,480,0.981,470.88,0.65,2733.12,3.0,160,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Eastmain-1-A,QC_EM1_GSS,QC,hydro_monthly,768,0.981,753.408,0.65,4372.992,3.0,256,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Hart-Jaune,QC_HTJ_GSS,QC,hydro_monthly,51,0.65,33.15,0.65,290.39399999999995,3.0,17,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Jim-Gray,QC_ACK_ISS,QC,hydro_daily,63,0.981,61.803,0.65,410,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,L'Isle-Maligne,QC_LIM_ISS,QC,hydro_daily,448,0.981,439.488,0.65,2550.9119999999994,,,,,,33.5,,,,,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,La Grande-1,QC_LG1_GSS,QC,hydro_daily,1436,0.981,1408.716,0.65,8176.583999999999,12.0,119.66666666666667,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,La Grande-2-A,QC_LG2A_GSS,QC,hydro_monthly,2106,0.981,2065.986,0.65,11991.564000000002,6.0,351,,,,138.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,La Grande-3,QC_LG3_GSS,QC,hydro_monthly,2417,0.981,2371.0769999999998,0.65,13762.397999999997,12.0,201.41666666666666,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,La Grande-4,QC_LG4_GSS,QC,hydro_monthly,2779,0.981,2726.199,0.65,15823.626,9.0,308.77777777777777,,,,116.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Laforge-1,QC_LF1_GSS,QC,hydro_monthly,878,0.981,861.318,0.65,4999.332,6.0,146.33333333333334,,,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Laforge-2,QC_LF2_GSS,QC,hydro_daily,319,0.981,312.939,0.65,1816.3859999999997,2.0,159.5,,,,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Manic-1,QC_MC1_GSS,QC,hydro_daily,184,0.981,180.504,0.65,1047.696,3.0,61.333333333333336,,,,36.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Manic-2,QC_MC2_GSS,QC,hydro_daily,1229,0.981,1205.649,0.65,6997.926000000001,8.0,153.625,,,,70.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Manic-3,QC_MC3_GSS,QC,hydro_daily,1326,0.981,1300.806,0.65,7550.243999999999,6.0,221,,,,94.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Manic-5,QC_MC5_GSS,QC,hydro_monthly,1596,0.981,1565.676,0.65,9087.624,8.0,199.5,,,,141.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Manic-5-PA,QC_M5A_GSS,QC,hydro_monthly,1064,0.981,1043.7839999999999,0.65,6058.416000000001,4.0,266,,,,144.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,McCormick,QC_MCC_GSS,QC,hydro_daily,235,0.981,230.535,0.65,1338.09,7.0,33.57142857142857,,,,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Mercier,QC_MER_DSS,QC,hydro_monthly,55,0.65,35.75,0.65,313.17,5.0,11,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Murdock-Willson,QC_ACK_ISS,QC,hydro_daily,55,0.981,53.955,0.65,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Outardes-2,QC_OT2_GSS,QC,hydro_daily,523,0.981,513.063,0.65,2977.9619999999995,3.0,174.33333333333334,,,,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Outardes-3,QC_OT3_GSS,QC,hydro_daily,1026,0.981,1006.506,0.65,5842.043999999999,4.0,256.5,,,,143.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Outardes-4,QC_OT4_GSS,QC,hydro_monthly,785,0.981,770.085,0.65,4469.79,4.0,196.25,,,,120.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Paugan,QC_PAU_GSS,QC,hydro_daily,226,0.65,146.9,0.65,1286.8440000000003,8.0,28.25,,,,40.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Première-Chute,QC_PRC_GSS,QC,hydro_daily,131,0.981,128.511,0.65,745.914,4.0,32.75,,,,22.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Rapide-7,QC_RP7_GSS,QC,hydro_monthly,67,0.65,43.550000000000004,0.65,381.498,4.0,16.75,,,,20.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Rapide-Blanc,QC_RPB_TSS,QC,hydro_monthly,204,0.981,200.124,0.65,1161.5759999999998,6.0,34,2020.0,,,32.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Rapides-des-Îles,QC_RPI_GSS,QC,hydro_daily,176,0.981,172.656,0.65,1002.1440000000001,4.0,44,,,,26.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Rapides-des-Quinze,QC_RPQ_GSS,QC,hydro_daily,109,0.65,70.85000000000001,0.65,620.646,6.0,18.166666666666668,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Robert-Bourassa,,QC,hydro_monthly,5616,0.981,5509.296,0.65,31977.504000000004,16.0,351,2022.0,,,137.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Romaine-1,QC_RM1_GSS,QC,hydro_daily,270,0.981,264.87,0.65,1537.38,2.0,135,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Romaine-2,QC_RM2_GSS,QC,hydro_monthly,640,0.981,627.84,0.65,3644.16,2.0,320,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Romaine-3,QC_RM3_GSS,QC,hydro_monthly,395,0.981,387.495,0.65,2249.13,2.0,197.5,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Romaine-4,QC_RM4_GSS,QC,hydro_monthly,245,0.981,240.345,0.65,1395.03,2.0,122.5,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Sainte-Marguerite-2,QC_SM2_DFS,QC,hydro_daily,24,0.981,23.544,0.65,136.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Sainte-Marguerite-3,QC_SM3_DFS,QC,hydro_monthly,882,0.981,865.242,0.65,5022.108,2.0,441,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Sarcelle,QC_SRC_GSS,QC,hydro_daily,150,0.981,147.15,0.65,854.1,3.0,50,,,,8.7 to 16.1,16.1,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Shawinigan-2,QC_SH2_GSS,QC,hydro_daily,200,0.65,130,0.65,1138.8,8.0,25,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Shawinigan-3,QC_SH3_GSS,QC,hydro_daily,194,0.981,190.314,0.65,1104.636,3.0,64.66666666666667,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Shipshaw,QC_SPS_GSS,QC,hydro_daily,947,0.981,929.007,0.65,5392.218,,,,,,64,,,,,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Toulnustouc,QC_TLC_GSS,QC,hydro_monthly,526,0.981,516.006,0.65,2995.044,2.0,263,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Trenche,QC_TRC_GSS,QC,hydro_daily,302,0.981,296.262,0.65,1719.5880000000002,6.0,50.333333333333336,,,,48.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Bay Despoir,NL_BDE_GSS,NL,Hydro_monthly,613.4,1,613.4,0.49298542594387457,2649,7.0,,,,,176,,,,,320,,,,02ZE003,Bay Despoir,,Jeddore Lake,,,,,,,,,,,,,,,,,,,,,,,,
153,Bishops Falls,NL_BFS_DFS,NL,Hydro_monthly,22,0.67,14.5,0.7004981320049813,135,9.0,,,,,,,,,,,,,,,Exploits River,,Exploits River,,,,,,,,,,,,,,,,,,,,,,,,"Monthly storage but at reduced dependable capacity, so daily"
154,Cat Arm,NL_CAM_GSS,NL,Hydro_daily,137,0.78,134,0.3124687531246875,375,2.0,,,,,386,,,,,40,,,,02YF001,White Bay,,Cat Arm Reservoir,,,,,,,,,,,,,,,,,,,,,,,,
155,Churchill Falls  Recall Power,NL_CFP_GSS,NL,Hydro_monthly,300,0.981,300,0.9,2362,11.0,,,,,312.4,,,,,1388,,,,03OD005,Churchill River,,East Forebay,,,,,,,,,,,,,,,,,,,,,,,,Churchill Falls split into three parts
156,Churchill Falls Contracted,,NL,Hydro_monthly,4903,0.981,4809.843,0.6673996071736902,28665,11.0,,,,,312.4,,,,,1388,,,,03OD005,Churchill River,,East Forebay,,,,,,,,,,,,,,,,,,,,,,,,Churchill Falls split into three parts
157,Churchill Falls TwinCo,,NL,Hydro_monthly,225,0.981,225,1,1971,11.0,,,,,312.4,,,,,1388,,,,03OD005,Churchill River,,East Forebay,,,,,,,,,,,,,,,,,,,,,,,,Churchill Falls split into three parts
158,Deer Lake,NL_DLP_GSS,NL,Hydro_hourly,125.5,0.7848605577689243,98.5,0.7167676326656843,788,9.0,,,,,,,,,,,,,,02YK001,Deer Lake,02YL007,Grand Lake,,,,,,,,,,,,,,,,,,,,,,,,
159,Grand Falls-NL,NL_GFS_DFS,NL,Hydro_monthly,75,0.64,48,0.730593607305936,480,6.0,,,,,,,,,,,,,,02YO001,Exploits River,,Red Indian Reservoir,,,,,,,,,,,,,,,,,,,,,,,,"Monthly storage but at reduced dependable capacity, so daily"
160,Granite Canal,NL_GCL_GSS,NL,Hydro_monthly,40,1,40,0.702054794520548,246,1.0,,,,,37,,,,,122,,,,,,02ZD003,Granite Lake,02ZC004,,,,,,,,,,,,,,,,,,,,,,,
161,Hinds Lake,NL_HLK_GSS,NL,Hydro_monthly,75,1,75,0.532724505327245,350,1.0,,,,,214,,,,,40,,,,02YO016,Exploits River,02YO016,Red Indian Lake,02YO017,,,,,,,,,,,,,,,,,,,,,,,
162,Muskrat Falls,NL_TS2_CSS,NL,Hydro_monthly,824,0.9587378640776699,790,0.6802212173604646,4910,4.0,,,,,36,,,,,1840,,,,03OE001,Churchill River,03OE014,Churchill River,03OE001,,,,,,,,,,,,,,,,,,,,,,,03OE001 prior to full reservoir inundation
163,Paradise-NL,NL_PRV_DFS,NL,Hydro_hourly,8,1,8,0.4994292237442922,35,1.0,,,,,43,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Rattle Brook,NL_RTK_GSS,NL,Hydro_hourly,4,1,4,0.4280821917808219,15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Star Lake,NL_SLK_GSS,NL,Hydro_monthly,18,1,18,0.8942161339421614,141,1.0,,,,,,,,,,,,,,,Red Indian Reservoir,,Star Lake,,,,,,,,,,,,,,,,,,,,,,,,
166,Upper Salmon,NL_USL_GSS,NL,Hydro_monthly,84,1,84,0.7746249184605349,570,1.0,,,,,51,,,,,190,,,,,Jeddore Lake,,Meelpaeg,,,,,,,,,,,,,,,,,,,,,,,,
167,Watsons Brook,NL_DLK_DFS,NL,Hydro_hourly,9,1,9,0.8244545915778793,65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Mactaquac,NB_MTQC01_GEN,NB,Hydro_daily,666,0.95,632.6999999999999,0.28,1633.5648,6.0,,,,,,,,,,,,,,01AK004/01AK010,Saint John River,,Saint John River,,,,,,,,,,,,,,,,,,,,,,,,
169,Beechwood,NB_BCWD_GSS,NB,Hydro_daily,113,0.95,107.35,0.46,455.3448,3.0,,,,,,,,,,,,,,01AJ012,Saint John River,,Saint John River,,,,,,,,,,,,,,,,,,,,,,,,
170,Grand Falls-NB,NB_GRFS01_GEN,NB,Hydro_daily,64,0.95,60.8,0.76,426.0864,4.0,,,,,,,,,,,,,,01AF002,Saint John River,01AF002,Saint John River,01AD004,,,,,,,,,,,,,,,,,,,,,,,
171,Tobique,NB_TOBQ01_GEN,NB,Hydro_daily,20,0.95,19,0.55,96.36000000000001,2.0,,,,,,,,,,,,,,01AH004,Saint John River,,Tobique River,,,,,,,,,,,,,,,,,,,,,,,,
172,Avon_01,NS_1V_GSS,NS,Hydro_daily,3.75,0.95,3.5625,0.43333333333333335,14.235,2.0,,1992.0,Earth fill embankment,65,35.8,35.8,32.8,,,,,,Francis,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
173,Avon_02,NS_1V_GSS,NS,Hydro_daily,3,0.95,2.8499999999999996,0.43333333333333335,11.388,2.0,,2004.0,Earth fill embankment,53,35.8,35.8,32.8,,,,,,Francis,,,,,,35.4,,,,,,,,,,,,,,,,,,,,,,
174,Bear River_01 (Gulch),NS_13V_DFS,NS,Hydro_daily,6.2,0.95,5.89,0.31666666666666665,17.198800000000002,3.0,,,Earth fill embankment,3158,76.2,77.4,76,,,,,,Francis,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,
175,Bear River_02 (Ridge),NS_14V_GSS,NS,Hydro_daily,4.1,0.95,3.8949999999999996,0.31666666666666665,11.3734,3.0,,,Earth fill embankment,955,42.7,45.1,43.88,,,,,,Francis,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,
176,Bear River_03 (Fourth Lake),NS_91V_GSS,NS,Hydro_daily,3.1,0.95,2.945,0.31666666666666665,8.599400000000001,3.0,,,Earth fill embankment,93,21.3,22.7,15.2,16.26,,,,,Kaplan,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,Head range suggests storage capability
177,Black River_01(Methals),NS_7V_GSS,NS,Hydro_daily,3.5,0.95,3.3249999999999997,0.4366666666666667,13.388200000000001,6.0,,1996.0,Earth fill embankment,10,18.3,18.3,17.1,31.15,,,,,Kaplan,,,,,,105,,,,,,,,,,,,,,,,,,,,,,
178,Black River_02 (Hollow Bridge),NS_6V_GSS,NS,Hydro_daily,5.5,0.95,5.225,0.4366666666666667,21.038600000000002,6.0,,1987.0,Earth fill embankment,510,45.3,45.3,43.9,16.08,,,,,Francis,,,,,,28,,,,,,,,,,,,,,,,,,,,,,
179,Black River_03 (Lumsden),NS_5V_GSS,NS,Hydro_daily,2.9,0.95,2.755,0.4366666666666667,11.09308,6.0,,1996.0,Earth fill embankment,100,22,22,20.4,17.84,,,,,Francis,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,
180,Black River_04 (Hell's Gate 1),NS_3V_GSS,NS,Hydro_daily,3.5,0.95,3.3249999999999997,0.4366666666666667,13.388200000000001,6.0,,2012.0,Concrete gravity,1465,56.4,56.4,54.3,15.86,,,,,Francis,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,
181,Black River_05 (Hell's Gate 2),NS_3V_GSS,NS,Hydro_daily,3.7,0.95,3.515,0.4366666666666667,14.153240000000004,6.0,,2005.0,Concrete gravity,1465,56.4,56.4,54.3,,,,,,Francis,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,
182,Black River_06 (White Rock),NS_4V_GSS,NS,Hydro_daily,3.4,0.95,3.23,0.4366666666666667,13.00568,6.0,,2003.0,Concrete gravity,30,17.7,18.3,17.1,25.5,,,,,Francis,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
183,Dickie Brook_01,NS_24C_DFS,NS,Hydro_daily,1.2,0.95,1.14,0.20333333333333334,2.13744,2.0,,1998.0,Earth fill embankment,,11.3,11.3,11.3,,,,,,Francis,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,
184,Dickie Brook_02,NS_24C_DFS,NS,Hydro_daily,2.6,0.95,2.4699999999999998,0.20333333333333334,4.631120000000001,2.0,,,Earth fill embankment,,11.3,11.3,11.3,,,,,,Francis,,,,,,108,,,,,,,,,,,,,,,,,,,,,,
185,Lequille,NS_12V_GSS,NS,Hydro_daily,11.2,0.95,10.639999999999999,0.26666666666666666,26.163199999999996,1.0,,,Earth fill embankment,488,118.3,118.3,116.3,6.34,,,,,Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Lower St. Croix,NS_17V_DSS,NS,Hydro_daily,3,0.95,2.8499999999999996,0.6066666666666666,15.943199999999997,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Upper St. Croix,NS_17V_DSS,NS,Hydro_daily,2,0.95,1.9,0.6066666666666666,10.6288,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Mersey_01 (Upper Lake Falls 1),NS_1W_GSS,NS,Hydro_daily,2.7,0.95,2.565,0.6066666666666666,14.34888,2.0,,1992.0,Earth fill embankment,,10.7,12.8,6.4,53.2,,,,,Kaplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Mersey_02 (Upper Lake Falls 2),NS_1W_GSS,NS,Hydro_daily,2.7,0.95,2.565,0.6066666666666666,14.34888,2.0,,,Earth fill embankment,,10.7,12.8,6.4,,,,,,Kaplan,01ED003,,,Lake Rossignol,,,,,,,,,,,,,,,,,,,,,,,,Head range suggests storage capability
190,Mersey_03 (Lower Lake Falls 1),NS_2W_GSS,NS,Hydro_daily,3.7,0.95,3.515,0.6066666666666666,19.66328,2.0,,,Earth fill embankment,,14.6,14.6,13.1,68.8,,,,,Francis,01ED003,,,Lake Rossignol,,,,,,,,,,,,,,,,,,,,,,,,Head range suggests storage capability
191,Mersey_04 (Lower Lake Falls 2),NS_2W_GSS,NS,Hydro_daily,3.7,0.95,3.515,0.6066666666666666,19.66328,2.0,,,Earth fill embankment,,14.6,14.6,13.1,,,,,,Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Mersey_05 (Big Falls 1),NS_3W_GSS,NS,Hydro_daily,4.5,0.95,4.2749999999999995,0.6066666666666666,23.914799999999996,2.0,,,Earth fill embankment,,17.7,17.7,16,,,,,,Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Mersey_06 (Big Falls 2),NS_3W_GSS,NS,Hydro_daily,4.5,0.95,4.2749999999999995,0.6066666666666666,23.914799999999996,2.0,,,Earth fill embankment,,17.7,17.7,16,,,,,,Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Mersey_07 (Lower Great Brook 1),NS_4W_GSS,NS,Hydro_daily,2.25,0.95,2.1374999999999997,0.6066666666666666,11.957399999999998,2.0,,,Earth fill embankment,,6.7,6.7,6.1,88.4,,,,,Kaplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Mersey_08 (Lower Great Brook 2),NS_4W_GSS,NS,Hydro_daily,2.25,0.95,2.1374999999999997,0.6066666666666666,11.957399999999998,2.0,,,Earth fill embankment,,6.7,6.7,6.1,,,,,,Kaplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Mersey_09 (Deep Brook 1),NS_50W_DSS,NS,Hydro_daily,4.5,0.95,4.2749999999999995,0.6066666666666666,23.914799999999996,2.0,,,Earth fill embankment,,14,14,12.5,86.6,,,,,Kaplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Mersey_10 (Deep Brook 2),NS_50W_DSS,NS,Hydro_daily,4.5,0.95,4.2749999999999995,0.6066666666666666,23.914799999999996,2.0,,,Earth fill embankment,,14,14,12.5,,,,,,*Mix Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Mersey_11(Cowie Falls 1),NS_50W_DSS,NS,Hydro_daily,3.6,0.95,3.42,0.6066666666666666,19.13184,2.0,,,Concrete gravity,,12.7,12.7,10.3,76.4,,,,,*Mix Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Mersey_12 (Cowie Falls 2),NS_50W_DSS,NS,Hydro_daily,3.6,0.95,3.42,0.6066666666666666,19.13184,2.0,,,Concrete gravity,,12.7,12.7,10.3,,,,,,*Mix Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Nictaux,NS_10V_GSS,NS,Hydro_daily,8.3,0.95,7.885000000000001,0.5233333333333333,38.05052,1.0,,,Earth fill embankment,1350,122,123.9,121.2,,,,,,Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
