,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes
242,Aberfeldie_01,BC_ABN01_GEN,Aberfeldie,BC_ABN_GEN,BC Hydro,BC,Cranbrook,49.493319,-115.362424,872,British Columbia.a,British Columbia,Aberfeldie GS,BC_ABN_GSS,69,2009,2009,2079,,hydro_daily,hydro_daily,8.00,24.00,0.7000,5.60,16.80,0.3312,23.21,69.62,1,3,NULL
243,Aberfeldie_02,BC_ABN02_GEN,Aberfeldie,BC_ABN_GEN,BC Hydro,BC,Cranbrook,49.493319,-115.362424,872,British Columbia.a,British Columbia,Aberfeldie GS,BC_ABN_GSS,69,2009,2009,2079,,hydro_daily,hydro_daily,8.00,24.00,0.7000,5.60,16.80,0.3312,23.21,69.62,1,3,NULL
244,Aberfeldie_03,BC_ABN03_GEN,Aberfeldie,BC_ABN_GEN,BC Hydro,BC,Cranbrook,49.493319,-115.362424,872,British Columbia.a,British Columbia,Aberfeldie GS,BC_ABN_GSS,69,2009,2009,2079,,hydro_daily,hydro_daily,8.00,24.00,0.7000,5.60,16.80,0.3312,23.21,69.62,1,3,NULL
245,Arrow Lakes_01,BC_ALH01_GEN,Arrow Lakes,BC_ALH_GEN,Columbia Power / Columbia Basin Trust,BC,Slocan,49.343024,-117.768849,472,British Columbia.a,British Columbia,Arrow Lakes GS,BC_ALH_GSS,230,2002,2002,2072,,hydro_daily,hydro_daily,92.50,185.00,0.7000,64.75,129.50,0.4733,383.50,767.00,1,2,NULL
246,Arrow Lakes_02,BC_ALH02_GEN,Arrow Lakes,BC_ALH_GEN,Columbia Power / Columbia Basin Trust,BC,Slocan,49.343024,-117.768849,472,British Columbia.a,British Columbia,Arrow Lakes GS,BC_ALH_GSS,230,2002,2002,2072,,hydro_daily,hydro_daily,92.50,185.00,0.7000,64.75,129.50,0.4733,383.50,767.00,1,2,NULL
247,Akolkolex,BC_ALK00_GEN,Akolkolex,BC_ALK_GEN,"Canadian Hydro Developers, Inc.",BC,Revelstoke,50.822700,-118.029500,458,British Columbia.a,British Columbia,Illecillewaet,BC_ILL_DSS,69,1995,2016,2036,,hydro_run,hydro_run,10.00,10.00,0.1500,1.50,1.50,0.4623,40.50,40.50,1,1,NULL
248,Alouette,BC_ALU00_GEN,Alouette,BC_ALU_GEN,BC Hydro,BC,Lower Mainland,49.371009,-122.312429,113,British Columbia.a,British Columbia,Alouette GS,BC_ALU_GSS,69,1928,1928,2030,,hydro_daily,hydro_daily,9.00,9.00,0.7000,6.30,6.30,0.5115,40.33,40.33,1,1,Facility is out of service until renewal date
249,Ash,BC_ASH00_GEN,Ash,BC_ASH_GEN,BC Hydro,BC,Vancouver Island,49.373363,-125.150629,70,British Columbia.a,British Columbia,Ash River GS,BC_ASH_GSS,138,1958,1958,2028,,hydro_daily,hydro_daily,28.00,28.00,0.7000,19.60,19.60,0.3312,81.23,81.23,1,1,NULL
250,Ashlu Creek,BC_ASL00_GEN,Ashlu Creek,BC_ASL_GEN,Ashlu Creek Investments LP,BC,Squamish,49.914338,-123.325032,275,British Columbia.a,British Columbia,Ashlu GS,BC_ASL_GSS,230,2009,2009,2029,,hydro_run,hydro_run,49.90,49.90,0.1500,7.48,7.48,0.6147,268.70,268.70,1,1,NULL
251,Boston Bar,BC_BBR00_GEN,Boston Bar,BC_BBR_GEN,Boston Bar Limited Partnership,BC,Boston Bar,49.811343,-121.458475,256,British Columbia.a,British Columbia,Boston Bar,BC_BBR_DSS,69,1994,2017,2057,,hydro_run,hydro_run,9.00,9.00,0.1500,1.35,1.35,0.4693,37.00,37.00,1,1,NULL
