,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes
133,Kananaskis_03,AB_KNK03_GEN,Kananaskis,AB_KNK_GEN,TransAlta Corporation,AB,Seebe,51.096911,-115.058247,1241,Alberta.a,Alberta,Kananaskis 2S,AB_2S_GSS,138,1954,1954,2034,,hydro_run,hydro_run,10.00,19.00,0.1500,1.50,2.85,0.2400,21.02,39.95,1,3,NULL
134,Lanfine North,AB_LFN01_GEN,Lanfine North,AB_LFN_GEN,Pattern Energy,AB,Oyen,51.320826,-110.566873,792,Alberta.a,Alberta,Buffalo Bird 601S,AB_601S_GSS,144,2023,2023,2053,,wind_ons,wind_ons,146.20,146.20,0.1600,23.39,23.39,0.3600,461.06,461.06,34,34,AUC 26832
135,Lanfine South,AB_LFS01_GEN,Lanfine South,AB_LFS_GEN,Pattern Energy,AB,Oyen,51.320826,-110.566873,792,Alberta.a,Alberta,Buffalo Bird 601S,AB_601S_GSS,144,2024,2024,2054,,wind_ons,wind_ons,129.60,129.60,0.1600,20.74,20.74,0.3600,408.71,408.71,36,36,AUC 26832
136,Lathom,AB_LTH01_GEN,Lathom,AB_LTH_GEN,Greengate Power Corporation,AB,Bassano,50.728054,-112.223011,767,Alberta.a,Alberta,Lathom 608S,AB_608S_GSS,144,2022,2022,2052,,solar_PV,solar,120.00,120.00,0.1000,12.00,12.00,0.1800,189.22,189.22,1,1,NULL
137,Macleod Flats,AB_MAC01_GEN,Macleod Flats,AB_MAC_GEN,TransAlta Corporation,AB,Fort Macleod,49.686779,-113.475225,977,Alberta.a,Alberta,Fort Macleod 15S,AB_15S_GSS,138,2004,2004,2034,,wind_ons,wind_ons,3.00,3.00,0.1600,0.48,0.48,0.3600,9.46,9.46,1,1,NULL
138,MEG Christina Lake,AB_MEG01_GEN,MEG Christina Lake,AB_MEG_GEN,MEG Energy Corp.,AB,Fort McMurray,55.665000,-110.718500,579,Alberta.a,Alberta,Conklin 762S,AB_762S_DSS,240,2013,2013,2043,,NG_CG,NG_CC,179.00,179.00,0.9000,161.10,161.10,0.3000,470.41,470.41,1,1,NULL
139,Lethbridge Taber,AB_MEL02_GEN,Lethbridge Taber,AB_MEL_GEN,Signalta,AB,Taber,49.782231,-112.150141,813,Alberta.a,Alberta,Taber Wind Farm 134S,AB_134S_GSS,138,2001,2001,2031,,NG_SC,NG_SC,6.00,6.00,1.0000,6.00,6.00,0.3000,15.77,15.77,1,1,NULL
140,Lethbridge Burdett,AB_MEL03_GEN,Lethbridge Burdett,AB_MEL_GEN,Signalta,AB,Burdett,49.833142,-111.521636,780,Alberta.a,Alberta,Burdett 368S,AB_368S_GSS,138,2001,2001,2031,,NG_SC,NG_SC,8.00,8.00,1.0000,8.00,8.00,0.3000,21.02,21.02,1,1,NULL
141,Lethbridge Coaldale,AB_MEL04_GEN,Lethbridge Coaldale,AB_MEL_GEN,Signalta,AB,Coaldale,49.728411,-112.623474,864,Alberta.a,Alberta,Coaldale 254S,AB_254S_GSS,138,2001,2001,2031,,NG_SC,NG_SC,7.00,7.00,1.0000,7.00,7.00,0.3000,18.40,18.40,1,1,NULL
142,Lethbridge Fort McLeod,AB_MEL05_GEN,Lethbridge Fort McLeod,AB_MEL_GEN,Signalta,AB,Fort Macleod,49.722884,-113.404356,947,Alberta.a,Alberta,Fort Macleod 15S,AB_15S_GSS,138,2001,2001,2031,,NG_SC,NG_SC,4.10,4.10,1.0000,4.10,4.10,0.3000,10.77,10.77,1,1,NULL
