,gen_type,gen_type_copper,description,typical_plant_size_MW,capital_cost_CAD_per_kW,capital_overhead_CAD_per_kW,overnight_capital_cost_CAD_per_kW,interest_during_construction_CAD_per_kW,implementation_costs_CAD_per_kW,project_definition_costs_CAD_per_kW,total_project_cost_2020_CAD_per_kW,economic_life,service_life,annualized_capital_cost_CAD_per_MWyear,fixed_om_cost_CAD_per_MWyear,variable_om_cost_CAD_per_MWh,construction_time,development_time,average_fuel_price_CAD_per_MMBtu,average_fuel_price_CAD_per_GJ,carbon_emissions,heat_rate,efficiency,min_plant_load,min_capacity_factor,max_capacity_factor,time_to_full_capacity,min_up_time_hours,min_down_time_hours,ramp_rate_percent_per_min,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,startup_cost,shutdown_cost,other_references,notes
10,h2green_CT,h2green_CT,hydrogen combustion turbine,105,1682.20,33.64,1715.84,130.83,1846.68,156.83,2003.50,35,45,154738.60,58000,4.69,2,3,,56.40,0.000000,9.900,0.3446,0.0000,0.0800,0.1500,10.0,1.0,1.0,0.2000,0.8300,0.0500,0.0700,90,0.90,NULL,Assumptions made similar to the natural gas CT based on discussions with AESO
11,hydro_daily,hydro_daily,hydroelectric daily storage,100,4007.90,80.16,4088.06,537.20,4625.26,292.37,4917.63,40,80,368867.17,115196,5.00,4,6,0.00,0.00,0.000000,,,,,,10.0,1.0,1.0,0.1500,0.1000,0.0500,0.1000,0,0.00,NULL,Conventional hydropower
12,hydro_monthly,hydro_monthly,hydroelectric monthly storage,700,8710.00,174.20,8884.20,2250.55,11134.75,530.60,11665.35,70,100,823801.84,16009,2.00,8,12,0.00,0.00,0.000000,,,,,,10.0,1.0,1.0,0.1500,0.2000,0.0500,0.1000,0,0.00,NULL,Capital cost based on $8.7B Keeyask Project
13,hydro_run,hydro_run,hydroelectric non-storage,65,3250.00,65.00,3315.00,435.62,3750.62,253.61,4004.23,40,80,300353.95,55655,1.00,4,6,0.00,0.00,0.000000,,,,,,10.0,1.0,1.0,,0.0000,0.0500,0.1000,0,0.00,NULL,Capital cost based on BC Hydro RODAT data
14,MSW,biomass,municipal solid waste,50,5882.50,117.65,6000.15,788.47,6788.62,379.30,7167.92,30,45,577636.65,171106,6.58,4,6,3.03,2.87,0.000000,13.500,0.2527,0.4000,0.6000,0.6500,720.0,8.0,8.0,0.0800,0.0600,0.0900,0.0800,8,0.08,NULL,Assumed similar operations to biomass
15,NG_CC,NG_CC,natural gas combined cycle,1083,1380.60,27.61,1408.21,145.57,1553.79,139.49,1693.28,30,45,136455.00,16601,2.55,3,5,3.11,2.94,0.337527,6.360,0.5365,0.0000,0.4500,0.5800,720.0,4.0,2.0,0.0800,0.5000,0.0500,0.1000,103,1.03,NULL,Natural gas combined cycle - multi shaft
16,NG_CCS,NG_CCS,natural gas carbon capture and storage,377,3698.50,73.97,3772.47,389.98,4162.45,272.19,4434.64,30,45,357371.46,37557,7.94,3,5,3.11,2.94,0.037998,7.160,0.4765,0.0000,0.4500,0.5800,720.0,4.0,2.0,0.0800,0.5000,0.0500,0.1000,103,1.03,NULL,Natural gas combined cycle with 90% CCS
17,NG_CG,NG_CG,natural gas cogeneration,377,3698.50,73.97,3772.47,389.98,4162.45,272.19,4434.64,30,45,357371.46,37557,7.94,3,5,3.11,2.94,0.337500,7.160,0.4765,0.0000,0.4500,0.5800,720.0,4.0,2.0,0.0800,0.5000,0.0500,0.1000,103,1.03,NULL,Assumed similar to costs and operations to natural gas combined cycle
18,NG_SC,NG_SC,natural gas simple cycle,105,1682.20,33.64,1715.84,130.83,1846.68,156.83,2003.50,30,45,161455.24,22178,6.40,2,3,3.11,2.94,0.515843,9.720,0.3510,0.0000,0.0800,0.1500,10.0,1.0,1.0,0.2000,0.8300,0.0500,0.0700,90,0.90,NULL,Combustion turbine - aeroderivative
19,nuclear,nuclear,nuclear light water reactor,2156,9139.00,182.78,9321.78,1774.26,11096.04,529.35,11625.39,30,60,936848.44,165555,3.22,6,10,0.86,0.81,0.000000,10.440,0.3268,1.0000,0.8600,0.9400,960.0,24.0,24.0,0.0200,0.1000,0.0300,0.0600,0,0.00,NULL,NULL
20,nuclear_SMR,nuclear_SMR,nuclear small modular reactor,600,9811.10,196.22,10007.32,1904.74,11912.06,555.46,12467.52,30,60,1004712.81,129298,4.08,6,10,0.86,0.81,0.000000,10.440,0.3268,1.0000,0.8600,0.9400,960.0,24.0,24.0,0.0200,0.1000,0.0300,0.0600,0,0.00,NULL,Assumed similar to operations to conventional nuclear
21,oil_CT,diesel,oil combustion turbine,21,2623.40,52.47,2675.87,204.03,2879.90,212.00,3091.91,30,45,249165.69,47853,7.75,2,3,11.90,11.27,0.515469,8.295,0.4113,0.5000,0.0100,0.0200,10.0,1.0,1.0,0.2000,0.1500,0.0900,0.0800,200,2.00,NULL,Internal combustion engine diesel
22,oil_ST,diesel,oil steam turbine,21,2623.40,52.47,2675.87,204.03,2879.90,212.00,3091.91,30,45,249165.69,47853,7.75,2,3,11.90,11.27,0.515469,8.295,0.4113,0.5000,0.1200,0.1500,960.0,4.0,2.0,0.0700,0.1500,0.0900,0.0800,200,2.00,NULL,Internal combustion engine diesel
23,solar_PV,solar,solar photovoltaic,150,1725.10,34.50,1759.60,134.17,1893.77,159.53,2053.30,30,30,165468.18,20761,0.00,2,3,0.00,0.00,0.000000,,,0.0000,,,,,,,0.0000,0.0000,0.0000,0,0.00,NULL,Costs and capacities in terms of net AC power available to the grid for the installed capacity
24,solar_recon,solar_recon,recontracted solar photovoltaic,150,1380.08,27.60,1407.68,70.38,1478.07,134.84,1612.91,30,30,129978.38,20761,0.00,1,2,0.00,0.00,0.000000,,,0.0000,,,,,,,0.0000,0.0000,0.0000,0,0.00,NULL,80% capital cost per MW of greenfield solar PV based on NREL data
25,storage_lithium,storage_LI,lithium ion battery storage,50,1710.80,34.22,1745.02,87.25,1832.27,156.00,1988.26,15,15,218300.60,33748,0.00,1,1,0.00,0.00,0.000000,,,0.0000,0.0000,0.1667,10.0,1.0,1.0,1.0000,0.5000,0.0500,0.1000,0,0.00,NULL,Four-hour battery storage
26,storage_pump,storage_PH,hydroelectric pumped storage,1000,1950.00,39.00,1989.00,503.85,2492.85,192.23,2685.08,70,100,189619.43,14040,1.00,8,10,0.00,0.00,0.000000,,,,0.0000,0.3000,10.0,1.0,1.0,0.1500,0.5000,0.0500,0.1000,0,0.00,NULL,Capital cost based on $3.2B Meaford Pumped Storage Project
27,wind_ofs,wind_ofs,offshore wind,400,7853.30,157.07,8010.37,1052.62,9062.99,461.44,9524.43,30,30,767539.67,149708,0.00,4,6,0.00,0.00,0.000000,,,0.0000,,,,,,,0.0000,0.0100,0.0100,0,0.00,NULL,TRG - 5 Mid 2021
28,wind_ons,wind_ons,onshore wind,100,2233.40,44.67,2278.07,235.50,2513.56,193.31,2706.88,30,30,218137.37,35841,0.00,3,5,0.00,0.00,0.000000,,,0.0000,,,,,,,0.0000,0.0100,0.0100,0,0.00,NULL,TRG - 5 Mid 2021
29,wind_recon,wind_recon,recontracted onshore wind,100,1786.72,35.73,1822.45,138.96,1961.42,163.37,2124.79,30,30,171229.21,35841,0.00,2,4,0.00,0.00,0.000000,,,0.0000,,,,,,,0.0000,0.0100,0.0100,0,0.00,NULL,80% capital cost per MW of greenfield onshore wind based on NREL data
