,gen_type,gen_type_copper,description,typical_plant_size_MW,capital_cost_CAD_per_kW,capital_overhead_CAD_per_kW,overnight_capital_cost_CAD_per_kW,interest_during_construction_CAD_per_kW,implementation_costs_CAD_per_kW,project_definition_costs_CAD_per_kW,total_project_cost_2020_CAD_per_kW,economic_life,service_life,annualized_capital_cost_CAD_per_MWyear,fixed_om_cost_CAD_per_MWyear,variable_om_cost_CAD_per_MWh,construction_time,development_time,average_fuel_price_CAD_per_MMBtu,average_fuel_price_CAD_per_GJ,carbon_emissions,heat_rate,efficiency,min_plant_load,min_capacity_factor,max_capacity_factor,time_to_full_capacity,min_up_time_hours,min_down_time_hours,ramp_rate_percent_per_min,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,startup_cost,shutdown_cost,other_references,notes
0,biogas,biomass,biogas,36,2035.80,40.72,2076.52,214.66,2291.18,181.54,2472.71,20,40,233406.65,26260,8.10,3,5,3.03,2.87,0.000000,8.513,0.4008,0.4000,0.5500,0.7000,60.0,8.0,8.0,0.0800,0.0000,0.0900,0.0800,8,0.08,NULL,Municipal solid waste - landfill gas
1,biomass,biomass,biomass,50,5882.50,117.65,6000.15,788.47,6788.62,379.30,7167.92,30,45,577636.65,171106,6.58,4,6,3.03,2.87,0.000000,13.500,0.2527,0.4000,0.6000,0.6500,720.0,8.0,8.0,0.0800,0.0600,0.0900,0.0800,8,0.08,NULL,NULL
2,biomass_CG,biomass,biomass cogeneration,50,5882.50,117.65,6000.15,788.47,6788.62,379.30,7167.92,30,45,577636.65,171106,6.58,4,6,3.03,2.87,0.000000,13.500,0.2527,0.4000,0.6000,0.6500,720.0,8.0,8.0,0.0800,0.0600,0.0900,0.0800,8,0.08,NULL,Assumed similar operations to biomass
3,coal,coal,coal combined cycle,650,5296.20,105.92,5402.12,709.88,6112.01,353.22,6465.23,30,45,521009.56,55237,6.12,4,6,2.50,2.37,0.808917,8.470,0.4028,0.5000,0.4000,0.6000,960.0,8.0,8.0,0.0600,0.5000,0.0600,0.1200,165,1.65,NULL,Ultra-supercritical coal USC
4,coal_CCS,coalCCS,coal carbon capture and storage,650,8443.50,168.87,8612.37,1131.73,9744.10,484.69,10228.79,30,45,824301.73,81042,14.94,4,6,2.50,2.37,0.103455,10.830,0.3151,0.5000,0.4000,0.6000,960.0,8.0,8.0,0.0600,0.5000,0.0800,0.1200,165,1.65,NULL,Ultra-supercritical coal with 90% CCS
5,diesel_CT,diesel,diesel combustion turbine,21,2623.40,52.47,2675.87,204.03,2879.90,212.00,3091.91,30,45,249165.69,47853,7.75,2,3,11.90,11.27,0.515469,8.295,0.4113,0.5000,0.0100,0.0200,10.0,1.0,1.0,0.2000,0.1500,0.0900,0.0800,200,2.00,NULL,Internal combustion engine diesel
6,diesel_ST,diesel,diesel steam turbine,21,2623.40,52.47,2675.87,204.03,2879.90,212.00,3091.91,30,45,249165.69,47853,7.75,2,3,11.90,11.27,0.515469,8.295,0.4113,0.5000,0.1200,0.1500,960.0,4.0,2.0,0.0700,0.1500,0.0900,0.0800,200,2.00,NULL,Internal combustion engine diesel
7,gasoline_CT,diesel,gasoline combustion turbine,21,2623.40,52.47,2675.87,204.03,2879.90,212.00,3091.91,30,45,249165.69,47853,7.75,2,3,11.90,11.27,0.515469,8.295,0.4113,0.5000,0.0100,0.0200,10.0,1.0,1.0,0.2000,0.1500,0.0900,0.0800,200,2.00,NULL,Internal combustion engine diesel
8,geothermal,geothermal,geothermal binary cycle,50,3998.80,79.98,4078.78,535.98,4614.76,291.92,4906.68,40,40,368045.65,186186,1.57,4,6,0.00,0.00,0.000000,8.946,0.3814,0.9000,0.6800,0.7600,960.0,8.0,8.0,0.0500,0.1500,0.0500,0.1000,0,0.00,NULL,NULL
9,h2blue_CT,h2blue_CT,hydrogen combustion turbine,105,1682.20,33.64,1715.84,130.83,1846.68,156.83,2003.50,35,45,154738.60,58000,4.69,2,3,,15.60,0.029900,9.900,0.3446,0.0000,0.0800,0.1500,10.0,1.0,1.0,0.2000,0.8300,0.0500,0.0700,90,0.90,NREL. 2022. H2A: Hydrogen Analysis Production Models. SMR with CO2 Capture.,Assumptions made similar to the natural gas CT based on discussions with AESO
