r,e,y,AnnualEmissions
REGION1,CO2,2020,68.0934
REGION1,CO2,2021,68.2984
REGION1,CO2,2022,68.4091
REGION1,CO2,2023,68.7766
REGION1,CO2,2024,67.7186
REGION1,CO2,2025,56.6247
REGION1,CO2,2026,48.088
REGION1,CO2,2027,47.4813
REGION1,CO2,2028,46.5107
REGION1,CO2,2029,45.5222
REGION1,CO2,2030,45.3549
REGION1,CO2,2031,43.0902
REGION1,CO2,2032,40.8267
REGION1,CO2,2033,38.5614
REGION1,CO2,2034,36.3278
REGION1,CO2,2035,34.2704
REGION1,CO2,2036,32.1902
REGION1,CO2,2037,30.121
REGION1,CO2,2038,27.6296
REGION1,CO2,2039,24.9832
REGION1,CO2,2040,22.7069
REGION1,CO2,2041,20.3818
REGION1,CO2,2042,18.1159
REGION1,CO2,2043,16.1327
REGION1,CO2,2044,17.1428
REGION1,CO2,2045,18.8538
REGION1,CO2,2046,20.5453
REGION1,CO2,2047,22.2338
REGION1,CO2,2048,23.9211
REGION1,CO2,2049,25.6127
