,scenario,variable,year,value,region
460,Global Net-zero,Canada-US Exchange Rate (C$/US$),2005,1.21100,Canada
461,Global Net-zero,Canada-US Exchange Rate (C$/US$),2006,1.13400,Canada
462,Global Net-zero,Canada-US Exchange Rate (C$/US$),2007,1.07400,Canada
463,Global Net-zero,Canada-US Exchange Rate (C$/US$),2008,1.06700,Canada
464,Global Net-zero,Canada-US Exchange Rate (C$/US$),2009,1.14200,Canada
465,Global Net-zero,Canada-US Exchange Rate (C$/US$),2010,1.03000,Canada
466,Global Net-zero,Canada-US Exchange Rate (C$/US$),2011,0.98900,Canada
467,Global Net-zero,Canada-US Exchange Rate (C$/US$),2012,0.99900,Canada
468,Global Net-zero,Canada-US Exchange Rate (C$/US$),2013,1.03000,Canada
469,Global Net-zero,Canada-US Exchange Rate (C$/US$),2014,1.10500,Canada
470,Global Net-zero,Canada-US Exchange Rate (C$/US$),2015,1.27900,Canada
471,Global Net-zero,Canada-US Exchange Rate (C$/US$),2016,1.32600,Canada
472,Global Net-zero,Canada-US Exchange Rate (C$/US$),2017,1.29800,Canada
473,Global Net-zero,Canada-US Exchange Rate (C$/US$),2018,1.29600,Canada
474,Global Net-zero,Canada-US Exchange Rate (C$/US$),2019,1.32700,Canada
475,Global Net-zero,Canada-US Exchange Rate (C$/US$),2020,1.34100,Canada
476,Global Net-zero,Canada-US Exchange Rate (C$/US$),2021,1.25400,Canada
477,Global Net-zero,Canada-US Exchange Rate (C$/US$),2022,1.30200,Canada
478,Global Net-zero,Canada-US Exchange Rate (C$/US$),2023,1.34500,Canada
479,Global Net-zero,Canada-US Exchange Rate (C$/US$),2024,1.30500,Canada
480,Global Net-zero,Canada-US Exchange Rate (C$/US$),2025,1.30500,Canada
481,Global Net-zero,Canada-US Exchange Rate (C$/US$),2026,1.30600,Canada
482,Global Net-zero,Canada-US Exchange Rate (C$/US$),2027,1.31500,Canada
483,Global Net-zero,Canada-US Exchange Rate (C$/US$),2028,1.32900,Canada
484,Global Net-zero,Canada-US Exchange Rate (C$/US$),2029,1.35200,Canada
485,Global Net-zero,Canada-US Exchange Rate (C$/US$),2030,1.37400,Canada
486,Global Net-zero,Canada-US Exchange Rate (C$/US$),2031,1.38200,Canada
487,Global Net-zero,Canada-US Exchange Rate (C$/US$),2032,1.38700,Canada
488,Global Net-zero,Canada-US Exchange Rate (C$/US$),2033,1.39300,Canada
489,Global Net-zero,Canada-US Exchange Rate (C$/US$),2034,1.39400,Canada
490,Global Net-zero,Canada-US Exchange Rate (C$/US$),2035,1.39400,Canada
491,Global Net-zero,Canada-US Exchange Rate (C$/US$),2036,1.39400,Canada
492,Global Net-zero,Canada-US Exchange Rate (C$/US$),2037,1.39500,Canada
493,Global Net-zero,Canada-US Exchange Rate (C$/US$),2038,1.39500,Canada
494,Global Net-zero,Canada-US Exchange Rate (C$/US$),2039,1.39500,Canada
495,Global Net-zero,Canada-US Exchange Rate (C$/US$),2040,1.39600,Canada
496,Global Net-zero,Canada-US Exchange Rate (C$/US$),2041,1.39800,Canada
497,Global Net-zero,Canada-US Exchange Rate (C$/US$),2042,1.40100,Canada
498,Global Net-zero,Canada-US Exchange Rate (C$/US$),2043,1.40400,Canada
499,Global Net-zero,Canada-US Exchange Rate (C$/US$),2044,1.40600,Canada
500,Global Net-zero,Canada-US Exchange Rate (C$/US$),2045,1.40700,Canada
501,Global Net-zero,Canada-US Exchange Rate (C$/US$),2046,1.40700,Canada
502,Global Net-zero,Canada-US Exchange Rate (C$/US$),2047,1.40700,Canada
503,Global Net-zero,Canada-US Exchange Rate (C$/US$),2048,1.40500,Canada
504,Global Net-zero,Canada-US Exchange Rate (C$/US$),2049,1.40000,Canada
505,Global Net-zero,Canada-US Exchange Rate (C$/US$),2050,1.39300,Canada
506,Global Net-zero,Consumer Price Index (2002=100),2005,107.00000,Canada
507,Global Net-zero,Consumer Price Index (2002=100),2006,109.10000,Canada
508,Global Net-zero,Consumer Price Index (2002=100),2007,111.50000,Canada
509,Global Net-zero,Consumer Price Index (2002=100),2008,114.10000,Canada
510,Global Net-zero,Consumer Price Index (2002=100),2009,114.40000,Canada
511,Global Net-zero,Consumer Price Index (2002=100),2010,116.50000,Canada
512,Global Net-zero,Consumer Price Index (2002=100),2011,119.90000,Canada
513,Global Net-zero,Consumer Price Index (2002=100),2012,121.70000,Canada
514,Global Net-zero,Consumer Price Index (2002=100),2013,122.80000,Canada
515,Global Net-zero,Consumer Price Index (2002=100),2014,125.20000,Canada
516,Global Net-zero,Consumer Price Index (2002=100),2015,126.60000,Canada
517,Global Net-zero,Consumer Price Index (2002=100),2016,128.40000,Canada
518,Global Net-zero,Consumer Price Index (2002=100),2017,130.40000,Canada
519,Global Net-zero,Consumer Price Index (2002=100),2018,133.40000,Canada
520,Global Net-zero,Consumer Price Index (2002=100),2019,136.00000,Canada
521,Global Net-zero,Consumer Price Index (2002=100),2020,137.00000,Canada
522,Global Net-zero,Consumer Price Index (2002=100),2021,141.60000,Canada
523,Global Net-zero,Consumer Price Index (2002=100),2022,151.20000,Canada
524,Global Net-zero,Consumer Price Index (2002=100),2023,156.40000,Canada
525,Global Net-zero,Consumer Price Index (2002=100),2024,160.70000,Canada
526,Global Net-zero,Consumer Price Index (2002=100),2025,164.20000,Canada
527,Global Net-zero,Consumer Price Index (2002=100),2026,167.60000,Canada
528,Global Net-zero,Consumer Price Index (2002=100),2027,171.00000,Canada
529,Global Net-zero,Consumer Price Index (2002=100),2028,174.60000,Canada
530,Global Net-zero,Consumer Price Index (2002=100),2029,178.20000,Canada
531,Global Net-zero,Consumer Price Index (2002=100),2030,182.00000,Canada
532,Global Net-zero,Consumer Price Index (2002=100),2031,186.30000,Canada
533,Global Net-zero,Consumer Price Index (2002=100),2032,191.00000,Canada
534,Global Net-zero,Consumer Price Index (2002=100),2033,195.80000,Canada
535,Global Net-zero,Consumer Price Index (2002=100),2034,200.90000,Canada
536,Global Net-zero,Consumer Price Index (2002=100),2035,206.00000,Canada
537,Global Net-zero,Consumer Price Index (2002=100),2036,211.10000,Canada
538,Global Net-zero,Consumer Price Index (2002=100),2037,216.20000,Canada
539,Global Net-zero,Consumer Price Index (2002=100),2038,221.20000,Canada
540,Global Net-zero,Consumer Price Index (2002=100),2039,226.10000,Canada
