,scenario,variable,year,value,region
0,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2005,1.21100,Canada
1,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2006,1.13400,Canada
2,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2007,1.07400,Canada
3,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2008,1.06700,Canada
4,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2009,1.14200,Canada
5,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2010,1.03000,Canada
6,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2011,0.98900,Canada
7,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2012,0.99900,Canada
8,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2013,1.03000,Canada
9,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2014,1.10500,Canada
10,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2015,1.27900,Canada
11,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2016,1.32600,Canada
12,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2017,1.29800,Canada
13,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2018,1.29600,Canada
14,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2019,1.32700,Canada
15,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2020,1.34100,Canada
16,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2021,1.25400,Canada
17,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2022,1.30200,Canada
18,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2023,1.34500,Canada
19,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2024,1.30500,Canada
20,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2025,1.29600,Canada
21,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2026,1.28700,Canada
22,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2027,1.28500,Canada
23,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2028,1.28400,Canada
24,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2029,1.29000,Canada
25,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2030,1.29200,Canada
26,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2031,1.29100,Canada
27,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2032,1.29200,Canada
28,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2033,1.29800,Canada
29,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2034,1.30300,Canada
30,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2035,1.30900,Canada
31,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2036,1.31600,Canada
32,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2037,1.32100,Canada
33,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2038,1.32500,Canada
34,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2039,1.33000,Canada
35,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2040,1.33300,Canada
36,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2041,1.33500,Canada
37,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2042,1.33800,Canada
38,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2043,1.33900,Canada
39,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2044,1.34000,Canada
40,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2045,1.34000,Canada
41,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2046,1.33800,Canada
42,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2047,1.33600,Canada
43,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2048,1.33200,Canada
44,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2049,1.32800,Canada
45,Canada Net-zero,Canada-US Exchange Rate (C$/US$),2050,1.32300,Canada
46,Canada Net-zero,Consumer Price Index (2002=100),2005,107.00000,Canada
47,Canada Net-zero,Consumer Price Index (2002=100),2006,109.10000,Canada
48,Canada Net-zero,Consumer Price Index (2002=100),2007,111.50000,Canada
49,Canada Net-zero,Consumer Price Index (2002=100),2008,114.10000,Canada
50,Canada Net-zero,Consumer Price Index (2002=100),2009,114.40000,Canada
51,Canada Net-zero,Consumer Price Index (2002=100),2010,116.50000,Canada
52,Canada Net-zero,Consumer Price Index (2002=100),2011,119.90000,Canada
53,Canada Net-zero,Consumer Price Index (2002=100),2012,121.70000,Canada
54,Canada Net-zero,Consumer Price Index (2002=100),2013,122.80000,Canada
55,Canada Net-zero,Consumer Price Index (2002=100),2014,125.20000,Canada
56,Canada Net-zero,Consumer Price Index (2002=100),2015,126.60000,Canada
57,Canada Net-zero,Consumer Price Index (2002=100),2016,128.40000,Canada
58,Canada Net-zero,Consumer Price Index (2002=100),2017,130.40000,Canada
59,Canada Net-zero,Consumer Price Index (2002=100),2018,133.40000,Canada
60,Canada Net-zero,Consumer Price Index (2002=100),2019,136.00000,Canada
61,Canada Net-zero,Consumer Price Index (2002=100),2020,137.00000,Canada
62,Canada Net-zero,Consumer Price Index (2002=100),2021,141.60000,Canada
63,Canada Net-zero,Consumer Price Index (2002=100),2022,151.20000,Canada
64,Canada Net-zero,Consumer Price Index (2002=100),2023,156.40000,Canada
65,Canada Net-zero,Consumer Price Index (2002=100),2024,160.70000,Canada
66,Canada Net-zero,Consumer Price Index (2002=100),2025,164.30000,Canada
67,Canada Net-zero,Consumer Price Index (2002=100),2026,167.90000,Canada
68,Canada Net-zero,Consumer Price Index (2002=100),2027,171.70000,Canada
69,Canada Net-zero,Consumer Price Index (2002=100),2028,175.50000,Canada
70,Canada Net-zero,Consumer Price Index (2002=100),2029,179.40000,Canada
71,Canada Net-zero,Consumer Price Index (2002=100),2030,183.30000,Canada
72,Canada Net-zero,Consumer Price Index (2002=100),2031,187.40000,Canada
73,Canada Net-zero,Consumer Price Index (2002=100),2032,191.60000,Canada
74,Canada Net-zero,Consumer Price Index (2002=100),2033,196.00000,Canada
75,Canada Net-zero,Consumer Price Index (2002=100),2034,200.60000,Canada
76,Canada Net-zero,Consumer Price Index (2002=100),2035,205.30000,Canada
77,Canada Net-zero,Consumer Price Index (2002=100),2036,210.20000,Canada
78,Canada Net-zero,Consumer Price Index (2002=100),2037,215.10000,Canada
79,Canada Net-zero,Consumer Price Index (2002=100),2038,220.20000,Canada
