,Fraser-Fort George_1,Fraser-Fort George_3,Fraser-Fort George_2,East Kootenay_1,East Kootenay_2,East Kootenay_3,Peace River_1,Peace River_3,Peace River_2,Stikine_1,Stikine_3,Stikine_2,Kitimat-Stikine_1,Kitimat-Stikine_2,Kitimat-Stikine_3,Skeena-Queen Charlotte_1,Skeena-Queen Charlotte_3,Skeena-Queen Charlotte_2,Comox-Strathcona_1,Comox-Strathcona_3,Comox-Strathcona_2,Columbia-Shuswap_1,Columbia-Shuswap_2,Columbia-Shuswap_3,Mount Waddington_1,Mount Waddington_2,Mount Waddington_3,Bulkley-Nechako_1,Bulkley-Nechako_3,Bulkley-Nechako_2,Fraser Valley_1,Fraser Valley_3,Fraser Valley_2,Squamish-Lillooet_1,Squamish-Lillooet_2,Squamish-Lillooet_3,Thompson-Nicola_1,Thompson-Nicola_3,Thompson-Nicola_2,North Okanagan_1,North Okanagan_3,North Okanagan_2,Cowichan Valley_1,Cowichan Valley_3,Cowichan Valley_2,Central Kootenay_1,Central Kootenay_2,Central Kootenay_3,Alberni-Clayoquot_1,Alberni-Clayoquot_2,Alberni-Clayoquot_3,Nanaimo_1,Nanaimo_2,Nanaimo_3,Central Okanagan_1,Central Okanagan_2,Central Okanagan_3,Okanagan-Similkameen_1,Okanagan-Similkameen_3,Okanagan-Similkameen_2,Cariboo_1,Cariboo_3,Cariboo_2,Capital_1,Capital_3,Capital_2,Powell River_1,Powell River_2,Powell River_4,Powell River_3,Kootenay Boundary_1,Kootenay Boundary_2,Kootenay Boundary_3,Northern Rockies_1,Northern Rockies_3,Northern Rockies_2,Greater Vancouver_2
2021-01-01 00:00:00,0.11475968154965363,0.11475968154965363,0.11475747263618281,0.15862060600216765,0.15860776742620633,0.15862060600216765,0.12428251225275715,0.12428251225275715,0.12428032568170114,0.11411066004308264,0.11411066004308264,0.11410718741191883,0.1069024509702422,0.1069024509702422,0.1069024509702422,0.2508265124256291,0.2508265124256291,0.2509918969838822,0.1410617502409566,0.1410617502409566,0.14111683121348395,0.15944662054929043,0.15944662054929043,0.15944662054929043,0.15934289856487066,0.15934289856487066,0.15934289856487066,0.1092084769431553,0.1092084769431553,0.10920956125758165,0.21301861418272022,0.21301861418272022,0.21292419103813567,0.17977894789595056,0.17977894789595056,0.17977894789595056,0.11382602643170543,0.11382602643170543,0.1138225717143802,0.20787216614187234,0.20787216614187234,0.20782737575916563,0.44772126794363637,0.44772126794363637,0.4477668390621391,0.22847261169922606,0.22847261169922606,0.22847261169922606,0.24882694987544043,0.24882694987544043,0.24882694987544043,0.4455983620016061,0.4456353531270628,0.4455983620016061,0.16936706151582165,0.16936706151582165,0.16936706151582165,0.1386802058502054,0.1386802058502054,0.1387915444732643,0.10996249761278068,0.10996249761278068,0.10997734677032503,0.480259046554565,0.480259046554565,0.480259046554565,0.4802590465545651,0.4802590465545651,0.4802590465545651,0.4802590465545651,0.4091004481700052,0.4091004481700052,0.4091004481700052,0.480259046554565,0.480259046554565,0.480259046554565,0.48025904655456536
2021-01-01 01:00:00,0.17942151680153662,0.17942151680153662,0.17941806326628743,0.26264264182785363,0.26262138382365874,0.26264264182785363,0.17352214691192772,0.17352214691192772,0.17351909404071408,0.18849479864604882,0.18849479864604882,0.1884890623466378,0.16694519379708384,0.16694519379708384,0.16694519379708384,0.4084588643175263,0.4084588643175263,0.40870199556807135,0.23035421273914522,0.23035421273914522,0.2304379389090335,0.26401034964534614,0.26401034964534614,0.26401034964534614,0.26383860767127204,0.26383860767127204,0.26383860767127204,0.1755849005132497,0.1755849005132497,0.17558602997570183,0.3452242994135824,0.3452242994135824,0.3450712744581686,0.29877862207638445,0.29877862207638445,0.29877862207638445,0.18801853211157463,0.18801853211157463,0.18801282558820107,0.33660977658017505,0.33660977658017505,0.33653724700108,0.7394169521064344,0.7394169521064344,0.7394919379502186,0.37818778386321344,0.37818778386321344,0.37818778386321344,0.40551931452820184,0.40551931452820184,0.40551931452820184,0.7359598457953348,0.7360206750362878,0.7359598457953348,0.2723944644817023,0.2723944644817023,0.2723944644817023,0.22673413159120248,0.22673413159120248,0.2269033725475914,0.1804040711217403,0.1804040711217403,0.18043091404267989,0.7929568445682521,0.7929568445682521,0.7929568445682521,0.7929568445682521,0.7929568445682521,0.7929568445682521,0.7929568445682521,0.6756826002923153,0.6756826002923153,0.6756826002923153,0.7929568445682521,0.7929568445682521,0.7929568445682521,0.7929568445682522
2021-01-01 02:00:00,0.21990264182565364,0.21990264182565364,0.21989840910296532,0.3233876813159536,0.3233615066756204,0.3233876813159536,0.21682922517693318,0.21682922517693318,0.21682541038031156,0.23630177515206682,0.23630177515206682,0.23629458398422895,0.2045687142199377,0.2045687142199377,0.2045687142199377,0.5096397378985735,0.5096397378985735,0.5099126627977747,0.28721398037532675,0.28721398037532675,0.28730283427954323,0.3250717180616184,0.3250717180616184,0.3250717180616184,0.32486025491765247,0.32486025491765247,0.32486025491765247,0.2176989724328076,0.2176989724328076,0.21769987789985804,0.42880487619534435,0.42880487619534435,0.4286148031119244,0.36859947793391734,0.36859947793391734,0.36859947793391734,0.2357017678172874,0.2357017678172874,0.23569461406689837,0.4180578637194956,0.4180578637194956,0.41796778445560434,0.9170312256068142,0.9170312256068142,0.9170779502550368,0.47899476536684527,0.47899476536684527,0.47899476536684527,0.5063399715042916,0.5063399715042916,0.5063399715042916,0.920959773410065,0.920991185204118,0.920959773410065,0.3379856456949209,0.3379856456949209,0.3379856456949209,0.2833721905979564,0.2833721905979564,0.28355179656522506,0.2229333428560197,0.2229333428560197,0.22297032860118648,0.9503926244378089,0.9503926244378089,0.9503926244378088,0.9503926244378103,0.9503926244378103,0.9503926244378103,0.9503926244378103,0.8461176339873873,0.8461176339873873,0.8461176339873873,0.9503926244378105,0.9503926244378105,0.9503926244378105,0.9503926244378094
2021-01-01 03:00:00,0.24215291006735906,0.24215291006735906,0.24214824906780047,0.33275562024023003,0.3327286873693081,0.33275562024023003,0.23036543369127632,0.23036543369127632,0.23036138074464302,0.25119887071854813,0.25119887071854813,0.251191226200267,0.2252632467454479,0.2252632467454479,0.2252632467454479,0.5365316395619316,0.5365316395619316,0.5367981538577556,0.29982083685921973,0.29982083685921973,0.2999081192280979,0.3344884403944509,0.3344884403944509,0.3344884403944509,0.334270851556985,0.334270851556985,0.334270851556985,0.2333264757169606,0.2333264757169606,0.2333271460849348,0.45010731244285457,0.45010731244285457,0.449907796790176,0.3795106379376622,0.3795106379376622,0.3795106379376622,0.25056420115708056,0.25056420115708056,0.25055659631911903,0.43878734882086,0.43878734882086,0.4386928029581535,0.9733520336605891,0.9733520336605891,0.9733893557422969,0.5091418636925351,0.5091418636925351,0.5091418636925351,0.5333093798138107,0.5333093798138107,0.5333093798138107,0.9797008547008547,0.9797225186766275,0.9797008547008547,0.35447890211011984,0.35447890211011984,0.35447890211011984,0.2960469957944098,0.2960469957944098,0.29622342511877214,0.22649265728549667,0.22649265728549667,0.22652985200300868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002394253790902,0.9002394253790902,0.9002394253790902,1.0,1.0,1.0,1.0
2021-01-01 04:00:00,0.25687660671885665,0.25687660671885665,0.25687166231513175,0.3327667152339323,0.33273978146499394,0.3327667152339323,0.25310388361940567,0.25310388361940567,0.253099430622632,0.2599758115863968,0.2599758115863968,0.25996789996705455,0.23893281102572136,0.23893281102572136,0.23893281102572136,0.536536248561565,0.536536248561565,0.5368027602070156,0.29983792544570503,0.29983792544570503,0.299925205684368,0.3344995931651749,0.3344995931651749,0.3344995931651749,0.33428199707269474,0.33428199707269474,0.33428199707269474,0.2427345154945531,0.2427345154945531,0.24273470150287624,0.4501108647450111,0.4501108647450111,0.4499113475177305,0.3795239016837623,0.3795239016837623,0.3795239016837623,0.25932252143913526,0.25932252143913526,0.25931465077865695,0.4387931034482759,0.4387931034482759,0.43869855634561516,0.9733520336605891,0.9733520336605891,0.9733893557422969,0.5091473938557128,0.5091473938557128,0.5091473938557128,0.5333140208574739,0.5333140208574739,0.5333140208574739,0.9797008547008547,0.9797225186766275,0.9797008547008547,0.3544991511035654,0.3544991511035654,0.3544991511035654,0.2960641764853347,0.2960641764853347,0.2962406015037594,0.22561111290382574,0.22561111290382574,0.22564867969057276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002394253790902,0.9002394253790902,0.9002394253790902,1.0,1.0,1.0,1.0
2021-01-01 05:00:00,0.26063467126293544,0.26063467126293544,0.26062965452335807,0.3327667152339323,0.33273978146499394,0.3327667152339323,0.26350623862402317,0.26350623862402317,0.2635016026128579,0.2583258718577332,0.2583258718577332,0.2583180104495817,0.24246075647926443,0.24246075647926443,0.24246075647926443,0.536536248561565,0.536536248561565,0.5368027602070156,0.29983792544570503,0.29983792544570503,0.299925205684368,0.3344995931651749,0.3344995931651749,0.3344995931651749,0.33428199707269474,0.33428199707269474,0.33428199707269474,0.24254648398292897,0.24254648398292897,0.2425465437146583,0.4501108647450111,0.4501108647450111,0.4499113475177305,0.3795239016837623,0.3795239016837623,0.3795239016837623,0.25767945556367333,0.25767945556367333,0.25767163477165067,0.4387931034482759,0.4387931034482759,0.43869855634561516,0.9733520336605891,0.9733520336605891,0.9733893557422969,0.5091473938557128,0.5091473938557128,0.5091473938557128,0.5333140208574739,0.5333140208574739,0.5333140208574739,0.9797008547008547,0.9797225186766275,0.9797008547008547,0.3544991511035654,0.3544991511035654,0.3544991511035654,0.2960641764853347,0.2960641764853347,0.2962406015037594,0.22365468006012745,0.22365468006012745,0.22368855997098816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002394253790902,0.9002394253790902,0.9002394253790902,1.0,1.0,1.0,1.0
2021-01-01 06:00:00,0.2675052464077649,0.2675052464077649,0.2675000974222124,0.3327667152339323,0.33273978146499394,0.3327667152339323,0.2696271424304024,0.2696271424304024,0.2696223987307872,0.26312657426804786,0.26312657426804786,0.26311856676426615,0.24886417548390935,0.24886417548390935,0.24886417548390935,0.536536248561565,0.536536248561565,0.5368027602070156,0.29983792544570503,0.29983792544570503,0.299925205684368,0.3344995931651749,0.3344995931651749,0.3344995931651749,0.33428199707269474,0.33428199707269474,0.33428199707269474,0.24821123045452825,0.24821123045452825,0.24821175241840904,0.4501108647450111,0.4501108647450111,0.4499113475177305,0.3795239016837623,0.3795239016837623,0.3795239016837623,0.2624691911667894,0.2624691911667894,0.26246122500219166,0.4387931034482759,0.4387931034482759,0.43869855634561516,0.9733520336605891,0.9733520336605891,0.9733893557422969,0.5091473938557128,0.5091473938557128,0.5091473938557128,0.5333140208574739,0.5333140208574739,0.5333140208574739,0.9797008547008547,0.9797225186766275,0.9797008547008547,0.3544991511035654,0.3544991511035654,0.3544991511035654,0.2960641764853347,0.2960641764853347,0.2962406015037594,0.22523629220795657,0.22523629220795657,0.22527199396182954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002394253790902,0.9002394253790902,0.9002394253790902,1.0,1.0,1.0,1.0
2021-01-01 07:00:00,0.26009124100283393,0.26009124100283393,0.26008623472329273,0.3327667152339323,0.33273978146499394,0.3327667152339323,0.2664790680173041,0.2664790680173041,0.2664743797035052,0.2548960609445024,0.2548960609445024,0.25488830391282424,0.24202290682802446,0.24202290682802446,0.24202290682802446,0.536536248561565,0.536536248561565,0.5368027602070156,0.29983792544570503,0.29983792544570503,0.299925205684368,0.3344995931651749,0.3344995931651749,0.3344995931651749,0.33428199707269474,0.33428199707269474,0.33428199707269474,0.240363750696013,0.240363750696013,0.2403642128845174,0.4501108647450111,0.4501108647450111,0.4499113475177305,0.3795239016837623,0.3795239016837623,0.3795239016837623,0.2542596756487749,0.2542596756487749,0.25425195864999955,0.4387931034482759,0.4387931034482759,0.43869855634561516,0.9733520336605891,0.9733520336605891,0.9733893557422969,0.5091473938557128,0.5091473938557128,0.5091473938557128,0.5333140208574739,0.5333140208574739,0.5333140208574739,0.9797008547008547,0.9797225186766275,0.9797008547008547,0.3544991511035654,0.3544991511035654,0.3544991511035654,0.2960641764853347,0.2960641764853347,0.2962406015037594,0.2242205985308512,0.2242205985308512,0.22424915785651456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002394253790902,0.9002394253790902,0.9002394253790902,1.0,1.0,1.0,1.0
2021-01-01 08:00:00,0.2863438570003969,0.2863438570003969,0.28633834540612896,0.3327667152339323,0.33273978146499394,0.3327667152339323,0.26914056149150994,0.26914056149150994,0.2691358263525826,0.2764147734183567,0.2764147734183567,0.2764063615262867,0.26636344471341256,0.26636344471341256,0.26636344471341256,0.536536248561565,0.536536248561565,0.5368027602070156,0.29983792544570503,0.29983792544570503,0.299925205684368,0.3344995931651749,0.3344995931651749,0.3344995931651749,0.33428199707269474,0.33428199707269474,0.33428199707269474,0.26297618210162493,0.26297618210162493,0.2629780642270773,0.4501108647450111,0.4501108647450111,0.4499113475177305,0.3795239016837623,0.3795239016837623,0.3795239016837623,0.2757227550751158,0.2757227550751158,0.2757143866535097,0.4387931034482759,0.4387931034482759,0.43869855634561516,0.9733520336605891,0.9733520336605891,0.9733893557422969,0.5091473938557128,0.5091473938557128,0.5091473938557128,0.5333140208574739,0.5333140208574739,0.5333140208574739,0.9797008547008547,0.9797225186766275,0.9797008547008547,0.3544991511035654,0.3544991511035654,0.3544991511035654,0.2960641764853347,0.2960641764853347,0.2962406015037594,0.23301682026825318,0.23301682026825318,0.23306408977159068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002394253790902,0.9002394253790902,0.9002394253790902,1.0,1.0,1.0,1.0
2021-01-01 09:00:00,0.30020576789187353,0.30020576789187353,0.3001999894812352,0.3327667152339323,0.33273978146499394,0.3327667152339323,0.2758981987325865,0.2758981987325865,0.2758933447028053,0.2939489524928897,0.2939489524928897,0.29394000699829165,0.27917088579931004,0.27917088579931004,0.27917088579931004,0.536536248561565,0.536536248561565,0.5368027602070156,0.29983792544570503,0.29983792544570503,0.299925205684368,0.3344995931651749,0.3344995931651749,0.3344995931651749,0.33428199707269474,0.33428199707269474,0.33428199707269474,0.27936973179053426,0.27936973179053426,0.2793728813056824,0.4501108647450111,0.4501108647450111,0.4499113475177305,0.3795239016837623,0.3795239016837623,0.3795239016837623,0.2932079663794978,0.2932079663794978,0.2931990672667632,0.4387931034482759,0.4387931034482759,0.43869855634561516,0.9733520336605891,0.9733520336605891,0.9733893557422969,0.5091473938557128,0.5091473938557128,0.5091473938557128,0.5333140208574739,0.5333140208574739,0.5333140208574739,0.9797008547008547,0.9797225186766275,0.9797008547008547,0.3544991511035654,0.3544991511035654,0.3544991511035654,0.2960641764853347,0.2960641764853347,0.2962406015037594,0.24144651766403585,0.24144651766403585,0.24150602870735585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002394253790902,0.9002394253790902,0.9002394253790902,1.0,1.0,1.0,1.0
