generation_type,generation_type_copper,description,typical_plant_size_MW,capital_cost_USD_per_kW,capital_cost_CAD_per_kW,capital_overhead_CAD_per_kW,overnight_capital_cost_CAD_per_kW,interest_during_construction_CAD_per_kW,implementation_costs_CAD_per_kW,project_definition_costs_CAD_per_kW,total_project_cost_2020_CAD_per_kW,economic_life_years,service_life_years,annualized_capital_cost_CAD_per_MWyear,fixed_om_cost_USD_per_MWyear,fixed_om_cost_CAD_per_MWyear,variable_om_cost_USD_per_MWh,variable_om_cost_CAD_per_MWh,construction_time_years,development_time_years,average_fuel_price_USD_per_MMBtu,average_fuel_price_CAD_per_MMBtu,average_fuel_price_CAD_per_GJ,carbon_emissions_lbs_per_MMBtu,carbon_emissions_tCO2eq_per_MWh,heat_rate_MMBtu_per_MWh,efficiency,min_plant_load,min_capacity_factor,max_capacity_factor,time_to_full_capacity,min_up_time_hours,min_down_time_hours,ramp_rate_percent_per_min,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,cold_start_up_costs_$_per_Mwcap,shutdown_cost,sources,notes
Hydro_run,hydro_run,hydroelectric non-storage,65,2500,3250,65,3315,435.62,3750.62,253.61,4004.23,40,80,300353.95,38358,49866,2.19,2.84,4,6,0,0,1.12,0,0,,,,,,10,1,1,,0,0.05,0.1,0,0,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:474, capital_cost_usd:None, capital_cost_cad:474, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:474, service_life:None, ann_project_capital_cost:None, fixed_om_cost_usd:None, fixed_om_cost_cad:None, variable_o&m_usd:None, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:None, avg_fuel_costs_cad:None, avg_fuel_price_GJ:None, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:None, efficiency:None, min_plant_load:None, min_capacity_factor:None, max_capacity_factor:None, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:None, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:None",Capital cost based on BC Hydro RODAT data
MSW,biomass,municipal solid waste,50,3996.62,5195.6,103.91,5299.51,696.4,5995.91,348.66,6344.57,30,45,511285.85,126360,164268,4.85,6.31,4,6,2.33,3.03,2.87,0,0,13.5,0.2,0.4,0.6,0.6,720,8,8,0.08,0.06,0.09,0.08,8,0.08,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:465, avg_fuel_costs_cad:465, avg_fuel_price_GJ:465, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:460, max_capacity_factor:460, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:471, shut_down_costs:471, empty_col:None, other_references:None, notes:462, ",Biomass
NG_CC,gasCC,natural gas combined cycle,1083,1022.87,1329.73,26.59,1356.32,140.21,1496.53,135.98,1632.51,30,45,131558.49,12260,15938,1.88,2.44,3,5,2.39,3.11,2.94,117,0.339703,6.4,0.5,0,0.45,0.5,720,4,2,0.08,0.5,0.05,0.1,103,1.03,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:467, min_down_time:467, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:462, ",Natural gas combined cycle - multi shaft
NG_CCS,gasCCS,natural gas carbon capture and storage,377,2588.04,3364.45,67.29,3431.74,354.76,3786.5,255.26,4041.75,30,45,325710.33,27740,36062,5.87,7.63,3,5,2.39,3.11,2.94,12,0.039935,7.53,0.4,0,0.45,0.5,720,4,2,0.08,0.5,0.05,0.1,103,1.03,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:467, min_down_time:467, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:462, ",Natural gas combined cycle with 90% CCS
NG_CG,gasCC,natural gas cogeneration,377,1022.87,1329.73,26.59,1356.32,140.21,1496.53,135.98,1632.51,30,45,131558.49,27740,36062,5.87,7.63,3,5,2.39,3.11,2.94,12,0.039935,7.53,0.4,0,0.45,0.5,720,4,2,0.08,0.5,0.05,0.1,103,1.03,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:467, min_down_time:467, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:None",Assumed similar to costs and operations to natural gas combined cycle
NG_CT,gasSC,natural gas combustion turbine,105,934.26,1214.54,24.29,1238.83,94.46,1333.3,125.73,1459.03,30,45,117577.94,16380,21294,4.72,6.14,2,3,2.39,3.11,2.94,117,0.504964,9.52,0.3,0,0.08,0.1,10,1,1,0.2,0.83,0.05,0.07,90,0.9,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:467, min_down_time:467, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:462, ",Combustion turbine - aeroderivative
Nuclear,nuclear,nuclear light water reactor,2156,6062.19,7880.85,157.62,8038.47,1530,9568.47,478.75,10047.21,30,60,809668.81,122260,158938,2.38,3.09,6,10,0.66,0.86,0.81,0,0,10.46,0.3,1,0.86,0.9,960,24,24,0.02,0.1,0.03,0.06,0,0,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:463, avg_fuel_costs_cad:463, avg_fuel_price_GJ:463, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:460, max_capacity_factor:460, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:None",2019 fuel price
Nuclear_SMR,smr,nuclear small modular reactor,600,6802,8842.6,176.85,9019.45,1716.72,10736.17,517.64,11253.81,30,60,906904.14,95480,124124,3.02,3.93,6,10,0.66,0.86,0.81,0,0,10.46,0.3,1,0.86,0.9,960,24,24,0.02,0.1,0.03,0.06,0,0,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:462, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:463, avg_fuel_costs_cad:463, avg_fuel_price_GJ:463, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:460, max_capacity_factor:460, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:None",Assumed similar to operations to conventional nuclear
Oil_CT,diesel,oil combustion turbine,21,1813,2356.9,47.14,2404.04,183.31,2587.35,197.14,2784.49,30,45,224392.02,35340,45942,5.72,7.44,2,3,9.15,11.9,11.27,137,0.515469,8.3,0.4,0.5,0.01,0,10,1,1,0.2,0.15,0.09,0.08,200,2,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:462, efficiency:462, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:470, min_down_time:470, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:462, ",Internal combustion engine (diesel)
Oil_ST,diesel,oil steam turbine,21,1813,2356.9,47.14,2404.04,183.31,2587.35,197.14,2784.49,30,45,224392.02,35340,45942,5.72,7.44,2,3,9.15,11.9,11.27,137,0.515469,8.3,0.4,0.5,0.12,0.1,960,4,2,0.07,0.15,0.09,0.08,200,2,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:462, efficiency:462, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:470, min_down_time:470, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:462, ",Internal combustion engine (diesel)
