project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
Jordan River,BC_JOR_DFS,BC,Hydro_daily,170,1,170,0.331158821,493.1617163,1,,1971,,,,,,,,,,,,,,,Elliott,,,311.51,335.89,330,,,,,1600000,23,21,16,12,7,3,2,1,3,11,25,25,,
Kemano,BC_KMO_GSS,BC,Hydro_monthly,900,1,900,0.419457128,3307,8,,2010,,,,,,,,,,,,08FE002,,,Nechako,,,,,,,,,,,,,,,,,,,,,,,,
Kootenay Canal,BC_KCL_GSS,BC,Hydro_daily,591,1,591,0.331158818,1714.462187,4,,,,,,,,,,,,,,,Brilliant,,Corra Linn,,,,,,,,,,,,,,,,,,,,,,,,
Ladore,BC_LDR_GSS,BC,Hydro_daily,47,1,47,0.331158795,136.344699,2,,,,,,,,,,,,,,,John Hart,,Lower Campbell Lake,,,163.65,178.3,176.8,,,,,306600000,13,10,10,12,16,12,5,2,3,12,17,12,,
Lajoie,BC_LAJ_DFS,BC,Hydro_daily,25,1,25,0.331158789,72.52377489,1,,,,,,,,,,,,,,,Carpenter,,Downton Lake,,,707.67,749.81,741.382,,,,,705600000,7,7,7,11,39,101,123,104,55,26,12,7,,
Long Lake,BC_LNL_GSS,BC,Hydro_daily,31,1,31,0.567344233,154.068,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bonnington,BC_LBO_GSS,BC,Hydro_daily,46,1,46,0.331149494,133.44,3,,1924,,,,,,,,,,,,,South Slocan,,Lower Bonnington,,,,,,,,,,,,,,,,,,,,,,,,
Mica,BC_MCA_GSS,BC,Hydro_monthly,2971,1,2971,0.449393263,11695.89108,6,,,,,,,,,,,,,,,Revelstoke,,Kinbasket,08ND017,,707.41,754.38,744.986,,,,,14801760000,108,103,104,219,819,1611,1600,1104,581,314,196,132,,
Peace Canyon,BC_PCN_GSS,BC,Hydro_monthly,700,1,700,0.622049922,3814.410123,4,,,,,,,,,,,,,,07EF001,Site C,07EF001,Dinosaur,,,500,502.92,502.336,,,,,24690000,4.020990368,3.460462234,3.582729238,5.312971413,12.9558639,19.9182626,15.31414213,9.437604857,6.021541079,5.956355139,5.752534845,4.266542204,,07EF001 Level is prior to Site C reservoir
Puntledge,BC_PUN_DFS,BC,Hydro_daily,24,1,24,0.331158823,69.62283088,1,,1955,,,,,,,,,,,,,,,,,,130.5,135.33,,,,,,97800000,,,,,,,,,,,,,,
