,scenario,variable,year,value,region,sector
25127,Current Measures,Aviation Fuel,2005,57.03700,British Columbia,"Transportation"
25140,Current Measures,Aviation Fuel,2006,57.70700,British Columbia,"Transportation"
25154,Current Measures,Aviation Fuel,2007,56.81800,British Columbia,"Transportation"
25169,Current Measures,Aviation Fuel,2008,60.31100,British Columbia,"Transportation"
25183,Current Measures,Aviation Fuel,2009,55.02700,British Columbia,"Transportation"
25198,Current Measures,Aviation Fuel,2010,62.21490,British Columbia,"Transportation"
25212,Current Measures,Aviation Fuel,2011,64.87100,British Columbia,"Transportation"
25224,Current Measures,Aviation Fuel,2012,57.55100,British Columbia,"Transportation"
25238,Current Measures,Aviation Fuel,2013,59.69800,British Columbia,"Transportation"
25252,Current Measures,Aviation Fuel,2014,55.14000,British Columbia,"Transportation"
25266,Current Measures,Aviation Fuel,2015,46.03600,British Columbia,"Transportation"
25280,Current Measures,Aviation Fuel,2016,44.85900,British Columbia,"Transportation"
25294,Current Measures,Aviation Fuel,2017,56.18200,British Columbia,"Transportation"
25308,Current Measures,Aviation Fuel,2018,77.17300,British Columbia,"Transportation"
25322,Current Measures,Aviation Fuel,2019,77.53500,British Columbia,"Transportation"
25337,Current Measures,Aviation Fuel,2020,41.41420,British Columbia,"Transportation"
25350,Current Measures,Aviation Fuel,2021,39.93640,British Columbia,"Transportation"
25364,Current Measures,Aviation Fuel,2022,72.29140,British Columbia,"Transportation"
25378,Current Measures,Aviation Fuel,2023,80.01210,British Columbia,"Transportation"
25392,Current Measures,Aviation Fuel,2024,82.61800,British Columbia,"Transportation"
25406,Current Measures,Aviation Fuel,2025,85.48020,British Columbia,"Transportation"
25420,Current Measures,Aviation Fuel,2026,87.22070,British Columbia,"Transportation"
25434,Current Measures,Aviation Fuel,2027,88.57460,British Columbia,"Transportation"
25448,Current Measures,Aviation Fuel,2028,89.63380,British Columbia,"Transportation"
25462,Current Measures,Aviation Fuel,2029,91.04060,British Columbia,"Transportation"
25476,Current Measures,Aviation Fuel,2030,92.46650,British Columbia,"Transportation"
25490,Current Measures,Aviation Fuel,2031,93.87580,British Columbia,"Transportation"
25504,Current Measures,Aviation Fuel,2032,95.21690,British Columbia,"Transportation"
25518,Current Measures,Aviation Fuel,2033,96.57380,British Columbia,"Transportation"
25532,Current Measures,Aviation Fuel,2034,98.10360,British Columbia,"Transportation"
25546,Current Measures,Aviation Fuel,2035,99.57960,British Columbia,"Transportation"
25560,Current Measures,Aviation Fuel,2036,100.94130,British Columbia,"Transportation"
25574,Current Measures,Aviation Fuel,2037,102.22170,British Columbia,"Transportation"
25588,Current Measures,Aviation Fuel,2038,103.37510,British Columbia,"Transportation"
25602,Current Measures,Aviation Fuel,2039,104.47810,British Columbia,"Transportation"
25616,Current Measures,Aviation Fuel,2040,105.60220,British Columbia,"Transportation"
25630,Current Measures,Aviation Fuel,2041,106.74130,British Columbia,"Transportation"
25644,Current Measures,Aviation Fuel,2042,107.91760,British Columbia,"Transportation"
25658,Current Measures,Aviation Fuel,2043,109.15870,British Columbia,"Transportation"
25672,Current Measures,Aviation Fuel,2044,110.48370,British Columbia,"Transportation"
25686,Current Measures,Aviation Fuel,2045,111.91360,British Columbia,"Transportation"
25700,Current Measures,Aviation Fuel,2046,113.44880,British Columbia,"Transportation"
25714,Current Measures,Aviation Fuel,2047,115.08700,British Columbia,"Transportation"
25729,Current Measures,Aviation Fuel,2048,116.81790,British Columbia,"Transportation"
25743,Current Measures,Aviation Fuel,2049,118.63440,British Columbia,"Transportation"
25757,Current Measures,Aviation Fuel,2050,120.50860,British Columbia,"Transportation"
25767,Current Measures,Biofuels,2005,0.08040,British Columbia,"Transportation"
25783,Current Measures,Biofuels,2006,0.51090,British Columbia,"Transportation"
25797,Current Measures,Biofuels,2007,0.71780,British Columbia,"Transportation"
25809,Current Measures,Biofuels,2008,1.33030,British Columbia,"Transportation"
25824,Current Measures,Biofuels,2009,1.77080,British Columbia,"Transportation"
25841,Current Measures,Biofuels,2010,9.20260,British Columbia,"Transportation"
25854,Current Measures,Biofuels,2011,11.59370,British Columbia,"Transportation"
