,scenario,variable,year,value,region,sector
50243,Global Net-zero,Aviation Fuel,2005,57.03700,British Columbia,"Transportation"
50256,Global Net-zero,Aviation Fuel,2006,57.70700,British Columbia,"Transportation"
50270,Global Net-zero,Aviation Fuel,2007,56.81800,British Columbia,"Transportation"
50285,Global Net-zero,Aviation Fuel,2008,60.31100,British Columbia,"Transportation"
50299,Global Net-zero,Aviation Fuel,2009,55.02700,British Columbia,"Transportation"
50314,Global Net-zero,Aviation Fuel,2010,62.21490,British Columbia,"Transportation"
50328,Global Net-zero,Aviation Fuel,2011,64.87100,British Columbia,"Transportation"
50340,Global Net-zero,Aviation Fuel,2012,57.55100,British Columbia,"Transportation"
50354,Global Net-zero,Aviation Fuel,2013,59.69800,British Columbia,"Transportation"
50368,Global Net-zero,Aviation Fuel,2014,55.14000,British Columbia,"Transportation"
50382,Global Net-zero,Aviation Fuel,2015,46.03600,British Columbia,"Transportation"
50396,Global Net-zero,Aviation Fuel,2016,44.85900,British Columbia,"Transportation"
50410,Global Net-zero,Aviation Fuel,2017,56.18200,British Columbia,"Transportation"
50424,Global Net-zero,Aviation Fuel,2018,77.17300,British Columbia,"Transportation"
50438,Global Net-zero,Aviation Fuel,2019,77.53500,British Columbia,"Transportation"
50453,Global Net-zero,Aviation Fuel,2020,41.41420,British Columbia,"Transportation"
50466,Global Net-zero,Aviation Fuel,2021,39.93640,British Columbia,"Transportation"
50480,Global Net-zero,Aviation Fuel,2022,72.29140,British Columbia,"Transportation"
50494,Global Net-zero,Aviation Fuel,2023,76.38560,British Columbia,"Transportation"
50508,Global Net-zero,Aviation Fuel,2024,77.11180,British Columbia,"Transportation"
50522,Global Net-zero,Aviation Fuel,2025,78.14760,British Columbia,"Transportation"
50536,Global Net-zero,Aviation Fuel,2026,78.07880,British Columbia,"Transportation"
50550,Global Net-zero,Aviation Fuel,2027,77.77530,British Columbia,"Transportation"
50564,Global Net-zero,Aviation Fuel,2028,77.33800,British Columbia,"Transportation"
50578,Global Net-zero,Aviation Fuel,2029,76.85150,British Columbia,"Transportation"
50592,Global Net-zero,Aviation Fuel,2030,76.18690,British Columbia,"Transportation"
50606,Global Net-zero,Aviation Fuel,2031,75.63020,British Columbia,"Transportation"
50620,Global Net-zero,Aviation Fuel,2032,75.15880,British Columbia,"Transportation"
50634,Global Net-zero,Aviation Fuel,2033,74.72260,British Columbia,"Transportation"
50648,Global Net-zero,Aviation Fuel,2034,74.41850,British Columbia,"Transportation"
50662,Global Net-zero,Aviation Fuel,2035,73.37700,British Columbia,"Transportation"
50676,Global Net-zero,Aviation Fuel,2036,71.13340,British Columbia,"Transportation"
50690,Global Net-zero,Aviation Fuel,2037,68.86960,British Columbia,"Transportation"
50704,Global Net-zero,Aviation Fuel,2038,66.48270,British Columbia,"Transportation"
50718,Global Net-zero,Aviation Fuel,2039,63.98220,British Columbia,"Transportation"
50732,Global Net-zero,Aviation Fuel,2040,59.84830,British Columbia,"Transportation"
50746,Global Net-zero,Aviation Fuel,2041,55.66160,British Columbia,"Transportation"
50760,Global Net-zero,Aviation Fuel,2042,51.47570,British Columbia,"Transportation"
50774,Global Net-zero,Aviation Fuel,2043,47.34110,British Columbia,"Transportation"
50788,Global Net-zero,Aviation Fuel,2044,43.28660,British Columbia,"Transportation"
50802,Global Net-zero,Aviation Fuel,2045,39.18310,British Columbia,"Transportation"
50816,Global Net-zero,Aviation Fuel,2046,35.13010,British Columbia,"Transportation"
50830,Global Net-zero,Aviation Fuel,2047,31.28570,British Columbia,"Transportation"
50844,Global Net-zero,Aviation Fuel,2048,27.61610,British Columbia,"Transportation"
50858,Global Net-zero,Aviation Fuel,2049,24.13510,British Columbia,"Transportation"
50872,Global Net-zero,Aviation Fuel,2050,20.83410,British Columbia,"Transportation"
50883,Global Net-zero,Biofuels,2005,0.08040,British Columbia,"Transportation"
50899,Global Net-zero,Biofuels,2006,0.51090,British Columbia,"Transportation"
50913,Global Net-zero,Biofuels,2007,0.71780,British Columbia,"Transportation"
50925,Global Net-zero,Biofuels,2008,1.33030,British Columbia,"Transportation"
50940,Global Net-zero,Biofuels,2009,1.77080,British Columbia,"Transportation"
50957,Global Net-zero,Biofuels,2010,9.20260,British Columbia,"Transportation"
50970,Global Net-zero,Biofuels,2011,11.59370,British Columbia,"Transportation"
50984,Global Net-zero,Biofuels,2012,12.01190,British Columbia,"Transportation"
50997,Global Net-zero,Biofuels,2013,14.01920,British Columbia,"Transportation"
51011,Global Net-zero,Biofuels,2014,15.30550,British Columbia,"Transportation"
51027,Global Net-zero,Biofuels,2015,16.95640,British Columbia,"Transportation"
51040,Global Net-zero,Biofuels,2016,17.58430,British Columbia,"Transportation"
51055,Global Net-zero,Biofuels,2017,18.40190,British Columbia,"Transportation"
51069,Global Net-zero,Biofuels,2018,19.67000,British Columbia,"Transportation"
51083,Global Net-zero,Biofuels,2019,21.33750,British Columbia,"Transportation"
51097,Global Net-zero,Biofuels,2020,20.01770,British Columbia,"Transportation"
51111,Global Net-zero,Biofuels,2021,30.52430,British Columbia,"Transportation"
51125,Global Net-zero,Biofuels,2022,34.10100,British Columbia,"Transportation"
51139,Global Net-zero,Biofuels,2023,35.78030,British Columbia,"Transportation"
51153,Global Net-zero,Biofuels,2024,39.77460,British Columbia,"Transportation"
51167,Global Net-zero,Biofuels,2025,41.50230,British Columbia,"Transportation"
51181,Global Net-zero,Biofuels,2026,44.79680,British Columbia,"Transportation"
51195,Global Net-zero,Biofuels,2027,47.57030,British Columbia,"Transportation"
51209,Global Net-zero,Biofuels,2028,49.21180,British Columbia,"Transportation"
51223,Global Net-zero,Biofuels,2029,48.85320,British Columbia,"Transportation"
51237,Global Net-zero,Biofuels,2030,49.83380,British Columbia,"Transportation"
51251,Global Net-zero,Biofuels,2031,48.76710,British Columbia,"Transportation"
51265,Global Net-zero,Biofuels,2032,47.79370,British Columbia,"Transportation"
51279,Global Net-zero,Biofuels,2033,46.89500,British Columbia,"Transportation"
51293,Global Net-zero,Biofuels,2034,46.17130,British Columbia,"Transportation"
51307,Global Net-zero,Biofuels,2035,45.41570,British Columbia,"Transportation"
51321,Global Net-zero,Biofuels,2036,45.12080,British Columbia,"Transportation"
51335,Global Net-zero,Biofuels,2037,44.92160,British Columbia,"Transportation"
51349,Global Net-zero,Biofuels,2038,44.69460,British Columbia,"Transportation"
51363,Global Net-zero,Biofuels,2039,44.43450,British Columbia,"Transportation"
51377,Global Net-zero,Biofuels,2040,45.72750,British Columbia,"Transportation"
51391,Global Net-zero,Biofuels,2041,47.14810,British Columbia,"Transportation"
51405,Global Net-zero,Biofuels,2042,48.58270,British Columbia,"Transportation"
51419,Global Net-zero,Biofuels,2043,49.98860,British Columbia,"Transportation"
51433,Global Net-zero,Biofuels,2044,51.47950,British Columbia,"Transportation"
51446,Global Net-zero,Biofuels,2045,52.70640,British Columbia,"Transportation"
51460,Global Net-zero,Biofuels,2046,54.23370,British Columbia,"Transportation"
51475,Global Net-zero,Biofuels,2047,56.64770,British Columbia,"Transportation"
51489,Global Net-zero,Biofuels,2048,59.20920,British Columbia,"Transportation"
51503,Global Net-zero,Biofuels,2049,62.21220,British Columbia,"Transportation"
51517,Global Net-zero,Biofuels,2050,65.25660,British Columbia,"Transportation"
51521,Global Net-zero,Biofuels & Emerging Energy,2005,0.00000,British Columbia,"Commercial"
51558,Global Net-zero,Biofuels & Emerging Energy,2005,15.00000,British Columbia,"Residential"
51572,Global Net-zero,Biofuels & Emerging Energy,2005,213.98490,British Columbia,"Industrial"
51573,Global Net-zero,Biofuels & Emerging Energy,2005,229.06530,British Columbia,"Total End-Use"
51577,Global Net-zero,Biofuels & Emerging Energy,2006,0.00000,British Columbia,"Commercial"
51614,Global Net-zero,Biofuels & Emerging Energy,2006,13.79990,British Columbia,"Residential"
51628,Global Net-zero,Biofuels & Emerging Energy,2006,208.43990,British Columbia,"Industrial"
51629,Global Net-zero,Biofuels & Emerging Energy,2006,222.75070,British Columbia,"Total End-Use"
51633,Global Net-zero,Biofuels & Emerging Energy,2007,0.00000,British Columbia,"Commercial"
51670,Global Net-zero,Biofuels & Emerging Energy,2007,14.40000,British Columbia,"Residential"
51684,Global Net-zero,Biofuels & Emerging Energy,2007,196.94820,British Columbia,"Industrial"
51685,Global Net-zero,Biofuels & Emerging Energy,2007,212.06600,British Columbia,"Total End-Use"
51702,Global Net-zero,Biofuels & Emerging Energy,2008,0.00070,British Columbia,"Commercial"
51725,Global Net-zero,Biofuels & Emerging Energy,2008,14.70000,British Columbia,"Residential"
51738,Global Net-zero,Biofuels & Emerging Energy,2008,154.63290,British Columbia,"Industrial"
