,scenario,variable,year,value,region,sector
11,Canada Net-zero,Aviation Fuel,2005,57.03700,British Columbia,"Transportation"
24,Canada Net-zero,Aviation Fuel,2006,57.70700,British Columbia,"Transportation"
38,Canada Net-zero,Aviation Fuel,2007,56.81800,British Columbia,"Transportation"
53,Canada Net-zero,Aviation Fuel,2008,60.31100,British Columbia,"Transportation"
67,Canada Net-zero,Aviation Fuel,2009,55.02700,British Columbia,"Transportation"
82,Canada Net-zero,Aviation Fuel,2010,62.21490,British Columbia,"Transportation"
96,Canada Net-zero,Aviation Fuel,2011,64.87100,British Columbia,"Transportation"
108,Canada Net-zero,Aviation Fuel,2012,57.55100,British Columbia,"Transportation"
122,Canada Net-zero,Aviation Fuel,2013,59.69800,British Columbia,"Transportation"
136,Canada Net-zero,Aviation Fuel,2014,55.14000,British Columbia,"Transportation"
150,Canada Net-zero,Aviation Fuel,2015,46.03600,British Columbia,"Transportation"
164,Canada Net-zero,Aviation Fuel,2016,44.85900,British Columbia,"Transportation"
178,Canada Net-zero,Aviation Fuel,2017,56.18200,British Columbia,"Transportation"
192,Canada Net-zero,Aviation Fuel,2018,77.17300,British Columbia,"Transportation"
206,Canada Net-zero,Aviation Fuel,2019,77.53500,British Columbia,"Transportation"
221,Canada Net-zero,Aviation Fuel,2020,41.41420,British Columbia,"Transportation"
234,Canada Net-zero,Aviation Fuel,2021,39.93640,British Columbia,"Transportation"
248,Canada Net-zero,Aviation Fuel,2022,72.29140,British Columbia,"Transportation"
262,Canada Net-zero,Aviation Fuel,2023,76.37170,British Columbia,"Transportation"
276,Canada Net-zero,Aviation Fuel,2024,77.15920,British Columbia,"Transportation"
290,Canada Net-zero,Aviation Fuel,2025,78.21400,British Columbia,"Transportation"
304,Canada Net-zero,Aviation Fuel,2026,78.17050,British Columbia,"Transportation"
318,Canada Net-zero,Aviation Fuel,2027,77.87550,British Columbia,"Transportation"
332,Canada Net-zero,Aviation Fuel,2028,77.40100,British Columbia,"Transportation"
346,Canada Net-zero,Aviation Fuel,2029,77.21220,British Columbia,"Transportation"
360,Canada Net-zero,Aviation Fuel,2030,77.03740,British Columbia,"Transportation"
374,Canada Net-zero,Aviation Fuel,2031,76.79620,British Columbia,"Transportation"
388,Canada Net-zero,Aviation Fuel,2032,76.46140,British Columbia,"Transportation"
402,Canada Net-zero,Aviation Fuel,2033,75.92840,British Columbia,"Transportation"
416,Canada Net-zero,Aviation Fuel,2034,75.37310,British Columbia,"Transportation"
430,Canada Net-zero,Aviation Fuel,2035,73.99450,British Columbia,"Transportation"
444,Canada Net-zero,Aviation Fuel,2036,71.39080,British Columbia,"Transportation"
458,Canada Net-zero,Aviation Fuel,2037,68.83850,British Columbia,"Transportation"
472,Canada Net-zero,Aviation Fuel,2038,66.27610,British Columbia,"Transportation"
486,Canada Net-zero,Aviation Fuel,2039,63.72930,British Columbia,"Transportation"
500,Canada Net-zero,Aviation Fuel,2040,59.66950,British Columbia,"Transportation"
514,Canada Net-zero,Aviation Fuel,2041,55.63640,British Columbia,"Transportation"
528,Canada Net-zero,Aviation Fuel,2042,51.62410,British Columbia,"Transportation"
542,Canada Net-zero,Aviation Fuel,2043,47.64810,British Columbia,"Transportation"
556,Canada Net-zero,Aviation Fuel,2044,43.70970,British Columbia,"Transportation"
570,Canada Net-zero,Aviation Fuel,2045,39.81740,British Columbia,"Transportation"
584,Canada Net-zero,Aviation Fuel,2046,35.97350,British Columbia,"Transportation"
598,Canada Net-zero,Aviation Fuel,2047,32.18560,British Columbia,"Transportation"
612,Canada Net-zero,Aviation Fuel,2048,28.46960,British Columbia,"Transportation"
626,Canada Net-zero,Aviation Fuel,2049,24.85670,British Columbia,"Transportation"
640,Canada Net-zero,Aviation Fuel,2050,21.38690,British Columbia,"Transportation"
651,Canada Net-zero,Biofuels,2005,0.08040,British Columbia,"Transportation"
667,Canada Net-zero,Biofuels,2006,0.51090,British Columbia,"Transportation"
681,Canada Net-zero,Biofuels,2007,0.71780,British Columbia,"Transportation"
693,Canada Net-zero,Biofuels,2008,1.33030,British Columbia,"Transportation"
708,Canada Net-zero,Biofuels,2009,1.77080,British Columbia,"Transportation"
725,Canada Net-zero,Biofuels,2010,9.20260,British Columbia,"Transportation"
738,Canada Net-zero,Biofuels,2011,11.59370,British Columbia,"Transportation"
752,Canada Net-zero,Biofuels,2012,12.01190,British Columbia,"Transportation"
765,Canada Net-zero,Biofuels,2013,14.01920,British Columbia,"Transportation"
779,Canada Net-zero,Biofuels,2014,15.30550,British Columbia,"Transportation"
795,Canada Net-zero,Biofuels,2015,16.95640,British Columbia,"Transportation"
808,Canada Net-zero,Biofuels,2016,17.58430,British Columbia,"Transportation"
823,Canada Net-zero,Biofuels,2017,18.40190,British Columbia,"Transportation"
837,Canada Net-zero,Biofuels,2018,19.67000,British Columbia,"Transportation"
851,Canada Net-zero,Biofuels,2019,21.33750,British Columbia,"Transportation"
865,Canada Net-zero,Biofuels,2020,20.01770,British Columbia,"Transportation"
879,Canada Net-zero,Biofuels,2021,30.52430,British Columbia,"Transportation"
893,Canada Net-zero,Biofuels,2022,34.10100,British Columbia,"Transportation"
907,Canada Net-zero,Biofuels,2023,35.77040,British Columbia,"Transportation"
921,Canada Net-zero,Biofuels,2024,39.82250,British Columbia,"Transportation"
935,Canada Net-zero,Biofuels,2025,41.96510,British Columbia,"Transportation"
949,Canada Net-zero,Biofuels,2026,44.93940,British Columbia,"Transportation"
963,Canada Net-zero,Biofuels,2027,47.71270,British Columbia,"Transportation"
977,Canada Net-zero,Biofuels,2028,49.27200,British Columbia,"Transportation"
991,Canada Net-zero,Biofuels,2029,49.20750,British Columbia,"Transportation"
1005,Canada Net-zero,Biofuels,2030,50.69050,British Columbia,"Transportation"
1019,Canada Net-zero,Biofuels,2031,49.87660,British Columbia,"Transportation"
1033,Canada Net-zero,Biofuels,2032,48.92330,British Columbia,"Transportation"
1047,Canada Net-zero,Biofuels,2033,47.86350,British Columbia,"Transportation"
1061,Canada Net-zero,Biofuels,2034,46.89480,British Columbia,"Transportation"
1075,Canada Net-zero,Biofuels,2035,45.88320,British Columbia,"Transportation"
1089,Canada Net-zero,Biofuels,2036,45.33610,British Columbia,"Transportation"
1103,Canada Net-zero,Biofuels,2037,44.92980,British Columbia,"Transportation"
1117,Canada Net-zero,Biofuels,2038,44.58800,British Columbia,"Transportation"
1131,Canada Net-zero,Biofuels,2039,44.32370,British Columbia,"Transportation"
1145,Canada Net-zero,Biofuels,2040,45.71240,British Columbia,"Transportation"
1159,Canada Net-zero,Biofuels,2041,47.29690,British Columbia,"Transportation"
1173,Canada Net-zero,Biofuels,2042,48.96550,British Columbia,"Transportation"
1187,Canada Net-zero,Biofuels,2043,50.61400,British Columbia,"Transportation"
1201,Canada Net-zero,Biofuels,2044,52.32550,British Columbia,"Transportation"
1215,Canada Net-zero,Biofuels,2045,54.04380,British Columbia,"Transportation"
1229,Canada Net-zero,Biofuels,2046,56.17650,British Columbia,"Transportation"
1243,Canada Net-zero,Biofuels,2047,58.97240,British Columbia,"Transportation"
1257,Canada Net-zero,Biofuels,2048,61.71640,British Columbia,"Transportation"
1271,Canada Net-zero,Biofuels,2049,64.65360,British Columbia,"Transportation"
1285,Canada Net-zero,Biofuels,2050,67.44790,British Columbia,"Transportation"
1289,Canada Net-zero,Biofuels & Emerging Energy,2005,0.00000,British Columbia,"Commercial"
1326,Canada Net-zero,Biofuels & Emerging Energy,2005,15.00000,British Columbia,"Residential"
1340,Canada Net-zero,Biofuels & Emerging Energy,2005,213.98490,British Columbia,"Industrial"
1341,Canada Net-zero,Biofuels & Emerging Energy,2005,229.06530,British Columbia,"Total End-Use"
1345,Canada Net-zero,Biofuels & Emerging Energy,2006,0.00000,British Columbia,"Commercial"
1382,Canada Net-zero,Biofuels & Emerging Energy,2006,13.79990,British Columbia,"Residential"
1396,Canada Net-zero,Biofuels & Emerging Energy,2006,208.43990,British Columbia,"Industrial"
1397,Canada Net-zero,Biofuels & Emerging Energy,2006,222.75070,British Columbia,"Total End-Use"
1401,Canada Net-zero,Biofuels & Emerging Energy,2007,0.00000,British Columbia,"Commercial"
1438,Canada Net-zero,Biofuels & Emerging Energy,2007,14.40000,British Columbia,"Residential"
1452,Canada Net-zero,Biofuels & Emerging Energy,2007,196.94820,British Columbia,"Industrial"
1453,Canada Net-zero,Biofuels & Emerging Energy,2007,212.06600,British Columbia,"Total End-Use"
1470,Canada Net-zero,Biofuels & Emerging Energy,2008,0.00070,British Columbia,"Commercial"
1493,Canada Net-zero,Biofuels & Emerging Energy,2008,14.70000,British Columbia,"Residential"
1506,Canada Net-zero,Biofuels & Emerging Energy,2008,154.63290,British Columbia,"Industrial"
1509,Canada Net-zero,Biofuels & Emerging Energy,2008,170.66390,British Columbia,"Total End-Use"
1526,Canada Net-zero,Biofuels & Emerging Energy,2009,0.00090,British Columbia,"Commercial"
1549,Canada Net-zero,Biofuels & Emerging Energy,2009,13.80000,British Columbia,"Residential"
1564,Canada Net-zero,Biofuels & Emerging Energy,2009,168.69560,British Columbia,"Industrial"
1565,Canada Net-zero,Biofuels & Emerging Energy,2009,184.26730,British Columbia,"Total End-Use"
1581,Canada Net-zero,Biofuels & Emerging Energy,2010,0.00080,British Columbia,"Commercial"
1605,Canada Net-zero,Biofuels & Emerging Energy,2010,13.30000,British Columbia,"Residential"
1620,Canada Net-zero,Biofuels & Emerging Energy,2010,182.09170,British Columbia,"Industrial"
1621,Canada Net-zero,Biofuels & Emerging Energy,2010,204.59510,British Columbia,"Total End-Use"
1637,Canada Net-zero,Biofuels & Emerging Energy,2011,0.00090,British Columbia,"Commercial"
1662,Canada Net-zero,Biofuels & Emerging Energy,2011,13.10000,British Columbia,"Residential"
1676,Canada Net-zero,Biofuels & Emerging Energy,2011,177.48600,British Columbia,"Industrial"
1677,Canada Net-zero,Biofuels & Emerging Energy,2011,202.18060,British Columbia,"Total End-Use"
1694,Canada Net-zero,Biofuels & Emerging Energy,2012,0.00100,British Columbia,"Commercial"
1717,Canada Net-zero,Biofuels & Emerging Energy,2012,13.00000,British Columbia,"Residential"
1732,Canada Net-zero,Biofuels & Emerging Energy,2012,187.45860,British Columbia,"Industrial"
1733,Canada Net-zero,Biofuels & Emerging Energy,2012,212.47150,British Columbia,"Total End-Use"
1750,Canada Net-zero,Biofuels & Emerging Energy,2013,0.00170,British Columbia,"Commercial"
1773,Canada Net-zero,Biofuels & Emerging Energy,2013,12.80000,British Columbia,"Residential"
1788,Canada Net-zero,Biofuels & Emerging Energy,2013,180.53260,British Columbia,"Industrial"
1789,Canada Net-zero,Biofuels & Emerging Energy,2013,207.35350,British Columbia,"Total End-Use"
1807,Canada Net-zero,Biofuels & Emerging Energy,2014,0.00260,British Columbia,"Commercial"
1829,Canada Net-zero,Biofuels & Emerging Energy,2014,12.70000,British Columbia,"Residential"
1843,Canada Net-zero,Biofuels & Emerging Energy,2014,172.10250,British Columbia,"Industrial"
1845,Canada Net-zero,Biofuels & Emerging Energy,2014,200.11060,British Columbia,"Total End-Use"
1865,Canada Net-zero,Biofuels & Emerging Energy,2015,0.00250,British Columbia,"Commercial"
1885,Canada Net-zero,Biofuels & Emerging Energy,2015,12.49990,British Columbia,"Residential"
1900,Canada Net-zero,Biofuels & Emerging Energy,2015,187.47020,British Columbia,"Industrial"
1901,Canada Net-zero,Biofuels & Emerging Energy,2015,216.92900,British Columbia,"Total End-Use"
1919,Canada Net-zero,Biofuels & Emerging Energy,2016,0.00390,British Columbia,"Commercial"
1941,Canada Net-zero,Biofuels & Emerging Energy,2016,12.39990,British Columbia,"Residential"
1956,Canada Net-zero,Biofuels & Emerging Energy,2016,181.47950,British Columbia,"Industrial"
1957,Canada Net-zero,Biofuels & Emerging Energy,2016,211.46760,British Columbia,"Total End-Use"
1974,Canada Net-zero,Biofuels & Emerging Energy,2017,0.00350,British Columbia,"Commercial"
1997,Canada Net-zero,Biofuels & Emerging Energy,2017,12.30000,British Columbia,"Residential"
2012,Canada Net-zero,Biofuels & Emerging Energy,2017,193.54870,British Columbia,"Industrial"
2013,Canada Net-zero,Biofuels & Emerging Energy,2017,224.25410,British Columbia,"Total End-Use"
2030,Canada Net-zero,Biofuels & Emerging Energy,2018,0.00370,British Columbia,"Commercial"
2053,Canada Net-zero,Biofuels & Emerging Energy,2018,12.10010,British Columbia,"Residential"
2068,Canada Net-zero,Biofuels & Emerging Energy,2018,185.98260,British Columbia,"Industrial"
2069,Canada Net-zero,Biofuels & Emerging Energy,2018,217.75640,British Columbia,"Total End-Use"
2089,Canada Net-zero,Biofuels & Emerging Energy,2019,0.00640,British Columbia,"Commercial"
2109,Canada Net-zero,Biofuels & Emerging Energy,2019,12.47120,British Columbia,"Residential"
2124,Canada Net-zero,Biofuels & Emerging Energy,2019,192.93490,British Columbia,"Industrial"
2125,Canada Net-zero,Biofuels & Emerging Energy,2019,226.75000,British Columbia,"Total End-Use"
2145,Canada Net-zero,Biofuels & Emerging Energy,2020,0.00700,British Columbia,"Commercial"
2166,Canada Net-zero,Biofuels & Emerging Energy,2020,12.72700,British Columbia,"Residential"
2180,Canada Net-zero,Biofuels & Emerging Energy,2020,181.01870,British Columbia,"Industrial"
2181,Canada Net-zero,Biofuels & Emerging Energy,2020,213.77040,British Columbia,"Total End-Use"
2206,Canada Net-zero,Biofuels & Emerging Energy,2021,0.75590,British Columbia,"Commercial"
2221,Canada Net-zero,Biofuels & Emerging Energy,2021,11.81010,British Columbia,"Residential"
2236,Canada Net-zero,Biofuels & Emerging Energy,2021,185.82690,British Columbia,"Industrial"
2237,Canada Net-zero,Biofuels & Emerging Energy,2021,228.91720,British Columbia,"Total End-Use"
2263,Canada Net-zero,Biofuels & Emerging Energy,2022,1.19810,British Columbia,"Commercial"
2277,Canada Net-zero,Biofuels & Emerging Energy,2022,12.11510,British Columbia,"Residential"
2292,Canada Net-zero,Biofuels & Emerging Energy,2022,195.71080,British Columbia,"Industrial"
2293,Canada Net-zero,Biofuels & Emerging Energy,2022,243.12500,British Columbia,"Total End-Use"
2319,Canada Net-zero,Biofuels & Emerging Energy,2023,1.63510,British Columbia,"Commercial"
