REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMTRANGS,CO2,1,2029,0.032695
REGION1,DEMTRANGS,CO2,1,2030,0.032695
REGION1,DEMTRANGS,CO2,1,2031,0.032695
REGION1,DEMTRANGS,CO2,1,2032,0.032695
REGION1,DEMTRANGS,CO2,1,2033,0.032695
REGION1,DEMTRANGS,CO2,1,2034,0.032694999999999995
REGION1,DEMTRANGS,CO2,1,2035,0.032694999999999995
REGION1,DEMTRANGS,CO2,1,2036,0.032694999999999995
REGION1,DEMTRANGS,CO2,1,2037,0.032695
REGION1,DEMTRANGS,CO2,1,2038,0.032695
REGION1,DEMTRANGS,CO2,1,2039,0.032695
REGION1,DEMTRANGS,CO2,1,2040,0.032695
REGION1,DEMTRANGS,CO2,1,2041,0.032694999999999995
REGION1,DEMTRANGS,CO2,1,2042,0.032694999999999995
REGION1,DEMTRANGS,CO2,1,2043,0.032694999999999995
REGION1,DEMTRANGS,CO2,1,2044,0.032694999999999995
REGION1,DEMTRANGS,CO2,1,2045,0.032695
REGION1,DEMTRANGS,CO2,1,2046,0.032695
REGION1,DEMTRANGS,CO2,1,2047,0.033198000000000005
REGION1,DEMTRANGS,CO2,1,2048,0.033198000000000005
REGION1,DEMTRANGS,CO2,1,2049,0.033198000000000005
REGION1,DEMTRANGS,CO2,1,2050,0.033198000000000005
REGION1,CCS01,CO2,1,2026,-6.30719621568
REGION1,CCS01,CO2,1,2027,-6.307196215680001
REGION1,CCS01,CO2,1,2028,-6.30719621568
REGION1,CCS01,CO2,1,2029,-6.30719621568
REGION1,CCS01,CO2,1,2030,-6.30719621568
REGION1,CCS01,CO2,1,2031,-6.30719621568
REGION1,CCS01,CO2,1,2032,-6.307196215680001
REGION1,CCS01,CO2,1,2033,-6.30719621568
REGION1,CCS01,CO2,1,2034,-6.30719621568
REGION1,CCS01,CO2,1,2035,-6.30719621568
REGION1,CCS01,CO2,1,2036,-6.307196215680001
REGION1,CCS01,CO2,1,2037,-6.30719621568
REGION1,CCS01,CO2,1,2038,-6.30719621568
REGION1,CCS01,CO2,1,2039,-6.30719621568
REGION1,CCS01,CO2,1,2040,-6.30719621568
REGION1,CCS01,CO2,1,2041,-6.30719621568
REGION1,CCS01,CO2,1,2042,-6.307196215680001
REGION1,CCS01,CO2,1,2043,-6.30719621568
REGION1,CCS01,CO2,1,2044,-6.30719621568
REGION1,CCS01,CO2,1,2045,-6.30719621568
REGION1,CCS01,CO2,1,2046,-6.307196215680001
REGION1,CCS01,CO2,1,2047,-6.30719621568
REGION1,CCS01,CO2,1,2048,-6.30719621568
REGION1,CCS01,CO2,1,2049,-6.30719621568
REGION1,CCS01,CO2,1,2050,-6.30719621568
