"Scenario","Region","Variable","Year","Value","Sector"
"Canada Net-zero","Alberta","Aviation Fuel","2033","40.215600","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2034","39.793800","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2035","39.804700","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2036","40.052100","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2037","40.352300","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2038","40.083300","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2039","39.739700","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2040","39.292000","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2041","38.709700","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2042","38.082300","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2043","37.366100","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2044","36.647000","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2045","35.820400","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2046","34.941400","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2047","33.979100","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2048","32.939100","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2049","31.805400","Transportation"
"Canada Net-zero","Alberta","Aviation Fuel","2050","30.574600","Transportation"
"Canada Net-zero","Alberta","Biofuels","2005","0.000000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2006","0.000000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2007","0.000000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2008","0.000000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2009","0.000000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2010","0.000000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2011","9.891600","Transportation"
"Canada Net-zero","Alberta","Biofuels","2012","12.055100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2013","12.881500","Transportation"
"Canada Net-zero","Alberta","Biofuels","2014","13.275100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2015","12.101000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2016","10.790600","Transportation"
"Canada Net-zero","Alberta","Biofuels","2017","17.068800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2018","19.215800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2019","19.843800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2020","14.560800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2021","16.180500","Transportation"
"Canada Net-zero","Alberta","Biofuels","2022","18.323100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2023","22.496200","Transportation"
"Canada Net-zero","Alberta","Biofuels","2024","26.280500","Transportation"
"Canada Net-zero","Alberta","Biofuels","2025","22.680000","Transportation"
"Canada Net-zero","Alberta","Biofuels","2026","22.965400","Transportation"
"Canada Net-zero","Alberta","Biofuels","2027","23.135100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2028","22.298300","Transportation"
"Canada Net-zero","Alberta","Biofuels","2029","21.620500","Transportation"
"Canada Net-zero","Alberta","Biofuels","2030","22.279300","Transportation"
"Canada Net-zero","Alberta","Biofuels","2031","22.895100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2032","23.426700","Transportation"
"Canada Net-zero","Alberta","Biofuels","2033","23.801800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2034","24.129300","Transportation"
"Canada Net-zero","Alberta","Biofuels","2035","25.523700","Transportation"
"Canada Net-zero","Alberta","Biofuels","2036","25.062100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2037","24.550300","Transportation"
"Canada Net-zero","Alberta","Biofuels","2038","23.969700","Transportation"
"Canada Net-zero","Alberta","Biofuels","2039","23.346100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2040","22.654800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2041","21.983700","Transportation"
"Canada Net-zero","Alberta","Biofuels","2042","21.380300","Transportation"
"Canada Net-zero","Alberta","Biofuels","2043","20.832100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2044","20.384500","Transportation"
"Canada Net-zero","Alberta","Biofuels","2045","19.996700","Transportation"
"Canada Net-zero","Alberta","Biofuels","2046","19.693800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2047","19.489100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2048","19.388100","Transportation"
"Canada Net-zero","Alberta","Biofuels","2049","19.385800","Transportation"
"Canada Net-zero","Alberta","Biofuels","2050","19.485200","Transportation"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2005","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2005","100.017000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2005","1.700000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2005","101.717000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2006","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2006","70.224900","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2006","1.900100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2006","72.125000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2007","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2007","72.601800","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2007","2.300100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2007","74.901900","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2008","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2008","61.345800","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2008","2.200000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2008","63.545800","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2009","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2009","61.902400","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2009","2.200100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2009","64.102500","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2010","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2010","59.577700","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2010","1.899900","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2010","61.477600","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2011","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2011","63.595200","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2011","1.800000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2011","75.286800","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2012","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2012","66.208300","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2012","1.600000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2012","79.863400","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2013","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2013","79.418700","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2013","1.400000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2013","93.700200","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2014","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2014","74.452400","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2014","1.300000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2014","89.027500","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2015","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2015","57.428300","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2015","1.000000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2015","70.529300","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2016","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2016","36.290300","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2016","2.700000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2016","49.780900","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2017","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2017","41.630800","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2017","4.726700","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2017","63.426300","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2018","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2018","58.495200","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2018","3.738000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2018","81.449000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2019","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2019","57.222000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2019","2.537100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2019","79.602900","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2020","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2020","59.187400","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2020","2.445800","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2020","76.194000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2021","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2021","64.934900","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2021","2.353500","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2021","83.468900","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2022","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2022","69.535500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2022","2.508200","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2022","90.366800","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2023","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2023","70.615100","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2023","2.382200","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2023","95.493500","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2024","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2024","73.887300","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2024","2.368100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2024","102.535900","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2025","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2025","78.265600","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2025","2.257000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2025","103.202600","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2026","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2026","82.404500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2026","2.137100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2026","107.507000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2027","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2027","87.537000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2027","2.014100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2027","112.686200","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2028","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2028","90.880600","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2028","1.895400","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2028","115.074300","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2029","0.000000","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2029","94.237500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2029","1.782400","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2029","117.640400","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2030","0.000000","Commercial"
