"Scenario","Region","Variable","Year","Value","Sector"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2048","0.010700","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2048","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2048","6.642900","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2048","6.632200","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2049","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2049","0.022900","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2049","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2049","6.545900","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2049","6.523000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2050","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2050","0.037400","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2050","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2050","7.604300","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Hydrogen","2050","7.566900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2005","0.003200","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2006","0.004900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2007","0.004800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2008","0.006300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2009","0.003700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2010","0.003800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2011","0.008000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2012","0.009000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2013","0.010000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2014","0.010100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2015","0.015000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2016","0.013100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2017","0.015000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2018","0.016000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2019","0.015000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2020","0.009000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2021","0.006000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2022","0.006000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2023","0.006000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2024","0.005600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2025","0.005200","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2026","0.004900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2027","0.004600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2028","0.004300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2029","0.004100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2030","0.003800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2031","0.003500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2032","0.003300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2033","0.003100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2034","0.002900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2035","0.002600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2036","0.002500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2037","0.002300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2038","0.002200","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2039","0.002000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2040","0.001800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2041","0.001700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2042","0.001500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2043","0.001400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2044","0.001300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2045","0.001100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2046","0.001000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2047","0.000900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2048","0.000800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2049","0.000700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","LPG","2050","0.000600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2005","0.042900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2006","0.042900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2007","0.050900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2008","0.031000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2009","0.038900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2010","0.031000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2011","0.019900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2012","0.015900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2013","0.019900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2014","0.019900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2015","0.011900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2016","0.015900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2017","0.008000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2018","0.016000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2019","0.008000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2020","0.015800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2021","0.008000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2022","0.004100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2023","0.003900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2024","0.003900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2025","0.004000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2026","0.004000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2027","0.004100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2028","0.004100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2029","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2030","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2031","0.004400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2032","0.004400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2033","0.004400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2034","0.004400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2035","0.004400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2036","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2037","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2038","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2039","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2040","0.004600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2041","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2042","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2043","0.004500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2044","0.004700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2045","0.004600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2046","0.004700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2047","0.004700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2048","0.004700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2049","0.004600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Lubricants","2050","0.004700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2005","21.155000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2006","20.652000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2007","24.265000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2008","26.137000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2009","24.665000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2010","25.159000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2011","28.509500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2012","31.453300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2013","27.572100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2014","30.870000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2015","32.240800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2016","31.496800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2017","32.646300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2018","29.091400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2019","27.500200","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2020","24.676500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2021","25.738400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2022","26.191000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2023","23.542300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2024","22.735900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2025","21.539300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2026","20.804600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2027","19.955600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2028","19.021800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2029","18.770500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2030","18.191000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2031","16.990900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2032","15.966400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2033","14.899200","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2034","13.847400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2035","13.022700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2036","12.063200","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2037","11.017400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2038","9.938900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2039","8.874700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2040","7.903400","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2041","6.895100","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2042","6.002800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2043","5.161800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2044","4.401500","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2045","3.667300","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2046","3.001800","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2047","2.371700","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2048","1.780900","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2049","1.217000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Motor Gasoline","2050","0.704600","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2005","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2005","27.651700","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2005","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2005","27.651700","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2005","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2006","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2006","32.329500","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2006","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2006","32.329500","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2006","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2007","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2007","33.420800","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2007","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2007","33.420800","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2007","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2008","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2008","31.096200","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2008","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2008","31.096200","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2008","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2009","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2009","25.794200","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2009","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2009","25.794200","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2009","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2010","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2010","25.323500","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2010","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2010","25.323500","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2010","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2011","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2011","24.175200","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2011","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2011","24.175200","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2011","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2012","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2012","19.183600","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2012","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2012","19.183600","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2012","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2013","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2013","21.416800","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2013","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2013","21.416800","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2013","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2014","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2014","23.567700","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2014","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2014","23.567700","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2014","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2015","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2015","19.507500","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2015","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2015","19.507500","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2015","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2016","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2016","20.259000","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2016","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2016","20.259000","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2016","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2017","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2017","20.907100","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2017","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2017","20.907100","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2017","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2018","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2018","30.233400","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2018","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2018","30.233400","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2018","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2019","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2019","33.875500","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2019","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2019","33.875500","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2019","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2020","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2020","30.768300","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2020","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2020","30.768300","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2020","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2021","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2021","25.464200","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2021","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2021","25.464200","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2021","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2022","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2022","21.220800","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2022","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2022","21.220800","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2022","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2023","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2023","18.805100","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2023","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2023","18.805100","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2023","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2024","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2024","19.041500","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2024","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2024","19.041500","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2024","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2025","0.000000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2025","20.702900","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2025","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2025","20.702900","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2025","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2026","0.000400","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2026","20.892400","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2026","0.000000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2026","20.892800","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2026","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2027","0.000800","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2027","20.536900","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2027","0.002000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2027","20.539700","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2027","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2028","0.001300","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2028","18.671500","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2028","0.003800","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2028","18.676600","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2028","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2029","0.001800","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2029","18.266600","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2029","0.005700","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2029","18.274100","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2029","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2030","0.002300","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2030","17.302800","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2030","0.007600","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2030","17.312700","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2030","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2031","0.002900","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2031","15.746600","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2031","0.007900","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2031","15.757400","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2031","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2032","0.003700","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2032","13.856900","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2032","0.008200","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2032","13.868800","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2032","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2033","0.004800","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2033","13.566400","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2033","0.008600","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2033","13.579800","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2033","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2034","0.005600","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2034","13.413100","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2034","0.008900","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2034","13.427600","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2034","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2035","0.006300","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2035","14.597500","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2035","0.009500","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2035","14.613300","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2035","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2036","0.007300","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2036","14.741000","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2036","0.010000","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2036","14.758300","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2036","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2037","0.008300","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2037","14.403200","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2037","0.010600","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2037","14.422100","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2037","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2038","0.009300","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2038","13.482100","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2038","0.011100","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2038","13.502500","Total End-Use"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2038","0.000000","Transportation"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2039","0.010000","Commercial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2039","12.479200","Industrial"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2039","0.011700","Residential"
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","2039","12.500900","Total End-Use"
