REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DEMAGRSURBC1,AGRWATBC1,2023,0.5293976792999999
REGION1,DEMAGRSURBC1,AGRWATBC1,2024,0.5598720627
REGION1,DEMAGRSURBC1,AGRWATBC1,2025,0.5852370289
REGION1,DEMAGRSURBC1,AGRWATBC1,2026,0.6186220514
REGION1,DEMAGRSURBC1,AGRWATBC1,2027,0.6516407949
REGION1,DEMAGRSURBC1,AGRWATBC1,2028,1.638329517
REGION1,DEMAGRSURBC1,AGRWATBC1,2029,1.670039799
REGION1,DEMAGRSURBC1,AGRWATBC1,2030,1.706298831
REGION1,DEMAGRSURBC1,AGRWATBC1,2031,1.741887061
REGION1,DEMAGRSURBC1,AGRWATBC1,2032,1.768615707
REGION1,DEMAGRSURBC1,AGRWATBC1,2033,1.8024206839999999
REGION1,DEMAGRSURBC1,AGRWATBC1,2034,1.83540095
REGION1,DEMAGRSURBC1,AGRWATBC1,2035,1.86924085
REGION1,DEMAGRSURBC1,AGRWATBC1,2036,1.8796636320000002
REGION1,DEMAGRSURBC1,AGRWATBC1,2037,1.8892748719999999
REGION1,DEMAGRSURBC1,AGRWATBC1,2038,1.897113638
REGION1,DEMAGRSURBC1,AGRWATBC1,2039,1.9041795350000001
REGION1,DEMAGRSURBC1,AGRWATBC1,2040,1.9114435920000001
REGION1,DEMAGRSURBC1,AGRWATBC1,2041,1.92061494
REGION1,DEMAGRSURBC1,AGRWATBC1,2042,1.9286022589999998
REGION1,DEMAGRSURBC1,AGRWATBC1,2043,1.937867453
REGION1,DEMAGRSURBC1,AGRWATBC1,2044,1.9458920769999999
REGION1,DEMAGRSURBC1,AGRWATBC1,2045,1.9545923969999999
REGION1,DEMAGRSURBC1,AGRWATBC1,2046,1.962554726
REGION1,DEMAGRSURBC1,AGRWATBC1,2047,1.970693909
REGION1,DEMAGRSURBC1,AGRWATBC1,2048,1.979396426
REGION1,DEMAGRSURBC1,AGRWATBC1,2049,1.9883159559999999
REGION1,DEMAGRSURBC1,AGRWATBC1,2050,1.996405172
REGION1,DEMCOMBIO,COMBIO,2020,0.11999999880000001
REGION1,DEMCOMBIO,COMBIO,2021,0.1699999983
REGION1,DEMCOMBIO,COMBIO,2022,0.21999999779999999
REGION1,DEMCOMBIO,COMBIO,2023,0.2599999974
REGION1,DEMCOMBIO,COMBIO,2024,0.3099999969
REGION1,DEMCOMBIO,COMBIO,2025,0.3499999965
REGION1,DEMCOMBIO,COMBIO,2026,0.399999996
REGION1,DEMCOMBIO,COMBIO,2027,0.4499999955
REGION1,DEMCOMBIO,COMBIO,2028,0.48999999510000003
REGION1,DEMCOMBIO,COMBIO,2029,0.5400000045
REGION1,DEMCOMBIO,COMBIO,2030,0.5800000041
REGION1,DEMCOMBIO,COMBIO,2031,0.6300000036
REGION1,DEMCOMBIO,COMBIO,2032,0.6700000032
