y,Capital costs,Fixed costs,Variable costs,Fuel costs
2020,0.8478961962268063,2.381430387549118,0.24185838662454734,0.0018060117211280923
2021,0.9212430499750959,2.362485961450903,0.23822127788738806,0.0018291897701683938
2022,0.9902513294769593,2.3446432577967244,0.2347973225637574,0.0018506692718292972
2023,1.062764210683636,2.325814955266743,0.23119067781009534,0.0018736180507681712
2024,1.1497735035089578,2.3033291184971096,0.22687463872832367,0.001901016049452811
2025,3.320830477491355,2.372032339100591,0.145750274210098,0.0018163089008917726
2026,3.2927962315972104,2.323171581307122,0.2166304535264701,0.00189171517058622
2027,3.320504569680668,2.3093137655962366,0.2141385423058567,0.0019083646225422622
2028,3.5891408020157107,2.3491265090798414,0.000999966183084779,0.001814615670758513
2029,3.605372623601998,2.33967450756686,0.000999966444079058,0.0018264487768866818
2030,3.635234505672885,2.3223179968908148,0.000999900770681044,0.0018479806833592433
2031,3.667416252650526,2.303705512682752,0.0009999674383771287,0.001870990850183973
2032,3.698274694872023,2.2857970177970177,0.0009998396665063332,0.0018932178932178933
2033,3.7165640486114366,2.2751286776386856,0.0009998729109741372,0.0019063353879392516
2034,3.726885467767234,2.2691797838042858,0.001000063215121057,0.0019135217143940832
2035,3.7508803572712295,2.220736504744549,0.0009998114748947403,0.0019220134481241753
2036,3.763644109236207,2.2136492476743457,0.0009998751326715364,0.0019310732346881439
2037,3.800526320031527,2.1990242995288867,0.0009998760228118026,0.0019411728242003474
2038,3.8471126495444494,2.183909878363435,0.0009998157021747145,0.0019535569480280133
2039,3.9261717409477934,2.1739703509786614,0.0009999695595263463,0.0019658457885604703
2040,4.002683301251841,2.173618921201882,0.0010000603354651863,0.0019780982261373235
2041,4.062295729489686,2.1725116752484728,0.0010001796192072806,0.0019886839899413244
2042,4.128787987949762,2.1722322542322536,0.0009999999999999998,0.001999405999405999
2043,4.235193011953293,2.161935113154172,0.0010001178689297502,0.0020096652522395096
2044,4.299310482567848,2.161784450747054,0.0010002631502002866,0.0020198239817549196
2045,5.005404989090217,2.1604247541126296,0.001000087039777178,0.002030057736385528
2046,5.127932492963431,2.1602329197017243,0.0010002015374427778,0.0020398468315434887
2047,5.246799191874991,2.1601120064003654,0.0010000571461226354,0.002049831418938225
2048,5.368889235684466,2.15992541969147,0.0010001701451905628,0.0020593239564428312
2049,5.505389289877273,2.1597478187447225,0.001,0.002068955811989868
2050,4.942404979022622,2.1596270428830837,0.0010001396843134513,0.0020782232155328955
