time,Skeena-QueenCharlotte_1,FraserValley_1,Kitimat-Stikine_1,PeaceRiver_1,EastKootenay_1,Thompson-Nicola_1,Columbia-Shuswap_1,Thompson-Nicola_2
2023-01-01 00:00:00,0.909871485204473,0.08600022945500203,0.6023595165733302,0.8906368300530819,0.42898350108390076,0.19189864742309864,0.43047439784661756,0.06169832059075773
2023-01-01 01:00:00,0.9253631841582285,0.04544813339372048,0.6326308770398086,0.880794697782252,0.4258759101470512,0.1879579726370257,0.4638613271492671,0.05736218799914912
2023-01-01 02:00:00,0.9675867656880833,0.04916009368265838,0.6551872824012761,0.8505083445953552,0.41174440203823626,0.17463417427469177,0.4382449259388206,0.051034662059037623
2023-01-01 03:00:00,0.987665855619486,0.03854350961472044,0.6799633039051849,0.7949006905253733,0.3960071411237659,0.19506883188832075,0.4514908445952898,0.06870424049386127
2023-01-01 04:00:00,0.9989613222468926,0.019815322981248173,0.7019719650886672,0.8416824392682936,0.4000535923068751,0.20324364666036618,0.5171741543750756,0.06400859726779201
2023-01-01 05:00:00,0.9992612790373427,0.02780761064074914,0.704440616206056,0.8724221107171855,0.37372957665203127,0.17977706590189865,0.5002039464420034,0.05029987543780194
2023-01-01 06:00:00,1.0,0.017355304814356886,0.7193298712542052,0.899636492563956,0.3844650247840334,0.15944311002782158,0.49492413067240093,0.050832845182582125
2023-01-01 07:00:00,1.0,0.018059465054411212,0.7565739410525268,0.927594361642864,0.37201869939237303,0.1573490388431603,0.4753354078069782,0.06275043323701576
2023-01-01 08:00:00,1.0,0.044696618234030865,0.777304711627646,0.9006255848427278,0.3266235008890447,0.1694788946736396,0.4450430090610184,0.08618729629535835
2023-01-01 09:00:00,1.0,0.07067815671620803,0.8110843352987839,0.9226230756088643,0.30813906371323724,0.19614854813043453,0.4263037554508713,0.10561684097956593
2023-01-01 10:00:00,1.0,0.07116084551684605,0.8377428735857801,0.9549430659505673,0.27219958848987924,0.22772995030005563,0.3967806934721079,0.12238532988135492
2023-01-01 11:00:00,1.0,0.07243241159165321,0.8280313614728624,0.9618155826331626,0.2674744818631459,0.21959223198184963,0.40115996802608295,0.12386441845005894
2023-01-01 12:00:00,0.9166666666666666,0.0507421346019955,0.8394417631688592,0.9376047494920858,0.24743269745718122,0.16823367697444463,0.35474048809228786,0.12292981035700005
2023-01-01 13:00:00,0.8333333333333334,0.0695117527745183,0.8222995447535555,0.8900837029261042,0.2920628604088965,0.13128327763054748,0.39089425643651604,0.07834837024055506
2023-01-01 14:00:00,0.9166666666666666,0.05635682345721558,0.8063605267662829,0.8867441151979226,0.36359953713121956,0.11237197343787225,0.31803040364928303,0.05162194109673512
2023-01-01 15:00:00,0.75,0.017856197581405626,0.8245810171038424,0.8456006240441868,0.3726830787977878,0.08669497417652544,0.23567006711413033,0.04049062773750423
2023-01-01 16:00:00,0.75,0.0025200916325489476,0.8492901706816749,0.8685707041493075,0.34779777975762355,0.08558827766415623,0.22479326656490262,0.04966260244204716
2023-01-01 17:00:00,0.75,0.0031133099174681677,0.8521269328656242,0.8865687465691837,0.29211756697768015,0.08369844277260036,0.20019262904311552,0.07263406394551812
2023-01-01 18:00:00,0.75,0.02839951026005047,0.8783675647587277,0.8811927099691602,0.265897715400907,0.09944286699803469,0.19301387065312972,0.08928109032357268
2023-01-01 19:00:00,0.75,0.0468185068806754,0.8938279795143795,0.8693722916694085,0.22946102276828037,0.1396903993020289,0.19296656644468535,0.12792547301921303
2023-01-01 20:00:00,0.75,0.03097819544589701,0.904719313892353,0.8468520806183423,0.18120517092913094,0.1593268038766552,0.18308794900454953,0.1542469118882278
2023-01-01 21:00:00,0.75,0.020556862864884447,0.909807093578093,0.8308271494100951,0.17973394345994798,0.16050393942393654,0.1945471944713046,0.1753347873167514
2023-01-01 22:00:00,0.75,0.03224883662757408,0.8945602717049232,0.8209693690408941,0.20934798495405,0.1620508153152711,0.21958062706450115,0.18868662308911252
2023-01-01 23:00:00,0.75,0.03720092101929742,0.8703872820646118,0.794853741261405,0.25942138022879524,0.18497251932574688,0.26175779431774093,0.2098730695003135
2023-01-02 00:00:00,0.75,0.04375055214998493,0.8278504130213226,0.75682584728719,0.29149551821263997,0.19966114872598348,0.2845593434386682,0.22008314115477737
2023-01-02 01:00:00,0.75,0.06403740139018536,0.7354130340817528,0.6976155498344465,0.2840562034736317,0.2198098540707635,0.2638870080791391,0.24578787837639837
2023-01-02 02:00:00,0.75,0.05297955539505773,0.7075199897029686,0.6413726876434263,0.2686080410186811,0.25166075117832937,0.25897727540206766,0.2743219949025026
2023-01-02 03:00:00,0.9158928592391765,0.14137924809166647,0.6788327786026063,0.6947966542091778,0.3155617448963554,0.3177071730958196,0.3707297374825267,0.2853894614070913
2023-01-02 04:00:00,0.9739928334164484,0.22079768166920122,0.6404790375198853,0.6840209475876987,0.3579778632797313,0.3363538312667927,0.35769564312344737,0.28161072162275785
2023-01-02 05:00:00,0.9927581902120429,0.21719975820283688,0.6173523159149723,0.6542764260618149,0.3211977518877615,0.3369861417102537,0.321398917757849,0.2941094249773629
2023-01-02 06:00:00,0.997158329406591,0.17564824212692395,0.5885504206358885,0.6150403437911519,0.24143881234115033,0.35060681753763606,0.3443085743030837,0.30322048071950936
2023-01-02 07:00:00,0.9983813791263279,0.14901142337347828,0.541621094837421,0.5738557613412631,0.1939487910748152,0.3609833825130127,0.388226507322845,0.29839213684828797
2023-01-02 08:00:00,0.9946510095229496,0.15601165960340818,0.5107876914690663,0.5332591728943209,0.18398608511052295,0.3405111372072907,0.4185905900253167,0.2710676555848116
2023-01-02 09:00:00,0.9884562141975036,0.26255056891967343,0.4864858267769272,0.5563925652009738,0.19845005219643494,0.32831712496443427,0.41950044737866615,0.2525048478215248
2023-01-02 10:00:00,0.9886685570085011,0.326696356466967,0.5069901063253027,0.5716572523458235,0.16580652721293399,0.31500617277319226,0.34648381212754226,0.2524815109323433
2023-01-02 11:00:00,0.99207087777405,0.3590015768551844,0.49993970209025335,0.4657825058126102,0.13952749109359328,0.32585975243669124,0.34293836201431505,0.24387643690482647
2023-01-02 12:00:00,0.9902749335988092,0.3924690519961059,0.49290747302627813,0.354918120638828,0.12427722566019322,0.3071816144331549,0.30682541351561227,0.2058283445439548
2023-01-02 13:00:00,0.9802607328920995,0.3502169642506277,0.4456032789194458,0.35138856980833466,0.10079326879138997,0.2773187545638925,0.2855485899485717,0.18013843084588793
2023-01-02 14:00:00,0.9554860235348563,0.3016067565529986,0.41899702911317366,0.3206498093426408,0.08781228825892058,0.2633545872360964,0.30275635383235866,0.1659351349067397
2023-01-02 15:00:00,0.8685619320236061,0.34523092064883154,0.3784333835893759,0.2563801191094614,0.194709473985373,0.2949393587386045,0.4182336464599792,0.14419529339870008
2023-01-02 16:00:00,0.8821545833701463,0.33941305822307277,0.33751269405405826,0.26792788367841053,0.25045035000195387,0.32720325014162177,0.4853173880500864,0.18391170044738353
2023-01-02 17:00:00,0.8842910520108801,0.3221296482009905,0.31263999421006444,0.2412531732017338,0.21545613787958523,0.3554672001180397,0.49225189131414626,0.23429153958560203
2023-01-02 18:00:00,0.8481106662995265,0.261491999922662,0.3074715389127316,0.18220238693512994,0.18190695385154285,0.34174161128159375,0.5031010258725241,0.24149059734322878
2023-01-02 19:00:00,0.8205656483740199,0.19919042022642294,0.290195939370607,0.23758663843650538,0.1799388869050767,0.3235130778890433,0.4853083509491364,0.23902542262881596
2023-01-02 20:00:00,0.7699203876401998,0.1641971737338862,0.26607654056865926,0.3291792090219787,0.18152955099144438,0.2852767476332779,0.41168997201776286,0.21449635381960927
2023-01-02 21:00:00,0.7168602215393683,0.17132514156069065,0.25008910360186387,0.35090491524632894,0.18094309045688875,0.27493142759185846,0.4006155816097183,0.2020790181803377
2023-01-02 22:00:00,0.7408141458406386,0.12649388744302822,0.24267150784809657,0.3703757576953534,0.19061165150840084,0.24476246088888284,0.38038027861395063,0.1797640923237068
2023-01-02 23:00:00,0.7194911680753538,0.09824610390322809,0.22651586820454897,0.41089994326641066,0.2260283082160567,0.22554143990879402,0.35469731228012613,0.1722347722472953
2023-01-03 00:00:00,0.6586526301384458,0.07712207591724031,0.225336329114096,0.4217002315111903,0.26703543705268024,0.21131661988434922,0.3071879805777021,0.16726094587279913
2023-01-03 01:00:00,0.6025797441154249,0.07908763632033987,0.21657628019966038,0.4484370262375301,0.29005246594556355,0.21989891886364335,0.2884558596787617,0.17917863746556012
2023-01-03 02:00:00,0.5571599379751618,0.08823676154768106,0.19607377927503553,0.43600994335341287,0.28854500416475154,0.21148081660262097,0.23158831467942317,0.17796766509792242
2023-01-03 03:00:00,0.521075716912255,0.0946506144998408,0.20546792723314278,0.3249673593544087,0.33660754552948746,0.25133167606873874,0.24375885512085763,0.18644932036894105
2023-01-03 04:00:00,0.48179821501747017,0.1429822344826118,0.22574467739184367,0.3170051567738911,0.30743727557861755,0.24778407807718963,0.27776942689446427,0.18016008082672227
