REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2028,252.98493490141593
REGION1,BATTERY,2029,12748.259318538843
REGION1,BATTERY,2030,12244.29583643049
REGION1,BATTERY,2031,15860.486516754474
REGION1,BATTERY,2032,47298.95107322237
REGION1,BATTERY,2033,56033.74541625944
REGION1,BATTERY,2034,41828.7405624364
REGION1,BATTERY,2035,42738.41801709002
REGION1,BATTERY,2036,44604.59533580984
REGION1,BATTERY,2037,44988.9576591091
REGION1,BATTERY,2038,46896.93815111001
REGION1,BATTERY,2039,56949.08983974526
REGION1,BATTERY,2040,66531.26803429026
REGION1,BATTERY,2041,67419.21398696027
REGION1,BATTERY,2042,78643.55681954534
REGION1,BATTERY,2043,85064.7767134179
REGION1,BATTERY,2044,68464.96885066298
REGION1,BATTERY,2045,84758.64239716015
REGION1,BATTERY,2046,120632.42843841168
REGION1,BATTERY,2047,60183.341029208816
REGION1,BATTERY,2048,62655.0023282797
REGION1,BATTERY,2049,107442.45659124346
