REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.3768196712083807
REGION1,BATTERY,2022,0.3768196712083798
REGION1,BATTERY,2023,0.3768196712083798
REGION1,BATTERY,2024,0.3768196712083798
REGION1,BATTERY,2025,0.3768196712083798
REGION1,BATTERY,2026,0.1829317548581884
REGION1,BATTERY,2027,0.014325760270322304
REGION1,BATTERY,2028,0.06902865131007929
REGION1,BATTERY,2029,0.2390349369733573
REGION1,BATTERY,2030,0.3613521634993408
REGION1,BATTERY,2031,0.45884568854887
REGION1,BATTERY,2032,0.7460457941596513
REGION1,BATTERY,2033,1.222591595771728
REGION1,BATTERY,2034,1.6046509689587642
REGION1,BATTERY,2035,1.954175786658672
REGION1,BATTERY,2036,2.2932152244640984
REGION1,BATTERY,2037,2.610511287440642
REGION1,BATTERY,2038,2.909371537501022
REGION1,BATTERY,2039,3.2122170127425536
REGION1,BATTERY,2040,3.5710759737376057
REGION1,BATTERY,2041,3.9036769166962015
REGION1,BATTERY,2042,4.26740667070474
REGION1,BATTERY,2043,4.699551419074684
REGION1,BATTERY,2044,4.990498554669106
REGION1,BATTERY,2045,5.344750713314563
REGION1,BATTERY,2046,5.754489268293198
REGION1,BATTERY,2047,5.998316334492138
REGION1,BATTERY,2048,6.247338035414509
REGION1,BATTERY,2049,6.4944978103441215
REGION1,BATTERY,2050,7.420253203148081
REGION1,HYDRODAM01,2021,65.66759988874281
REGION1,HYDRODAM01,2022,1.5027301961238928
REGION1,HYDRODAM01,2023,20.317600530050367
REGION1,HYDRODAM01,2024,27.68512002561277
REGION1,HYDRODAM01,2025,13.475877053753848
REGION1,HYDRODAM01,2026,40.28718636452256
REGION1,HYDRODAM01,2027,13.20793758764648
REGION1,HYDRODAM01,2028,27.76607297926036
REGION1,HYDRODAM01,2029,17.684192295242717
REGION1,HYDRODAM01,2030,31.522744310286093
REGION1,HYDRODAM01,2031,55.10745592316288
REGION1,HYDRODAM01,2032,42.7572640004631
REGION1,HYDRODAM01,2033,39.08038946315053
REGION1,HYDRODAM01,2034,38.3325812727658
REGION1,HYDRODAM01,2035,36.05997766916053
REGION1,HYDRODAM01,2036,22.56884464148471
REGION1,HYDRODAM01,2037,26.0619565840064
REGION1,HYDRODAM01,2038,24.358483487303207
REGION1,HYDRODAM01,2039,24.79723628546948
REGION1,HYDRODAM01,2040,33.23489727020689
REGION1,HYDRODAM01,2041,43.06418881285893
REGION1,HYDRODAM01,2042,52.669050782654
REGION1,HYDRODAM01,2043,59.51179531922583
REGION1,HYDRODAM01,2044,34.75150775575112
REGION1,HYDRODAM01,2045,26.513716007466776
REGION1,HYDRODAM01,2046,53.537692580762055
REGION1,HYDRODAM01,2047,43.33044908391791
REGION1,HYDRODAM01,2048,37.472284635341786
REGION1,HYDRODAM01,2049,39.08073539820704
REGION1,HYDRODAM01,2050,57.96721462097178
