REGION,TECHNOLOGY,DAYTYPE,YEAR,VALUE
REGION1,BATTERY,1,2021,0.3768196712083807
REGION1,BATTERY,1,2022,0.3768196712083798
REGION1,BATTERY,1,2023,0.3768196712083798
REGION1,BATTERY,1,2024,0.3768196712083798
REGION1,BATTERY,1,2025,0.3768196712083798
REGION1,BATTERY,1,2026,0.18293175485818997
REGION1,BATTERY,1,2027,0.014325760270322304
REGION1,BATTERY,1,2028,0.06902865131007932
REGION1,BATTERY,1,2029,0.2390349369733573
REGION1,BATTERY,1,2030,0.36135216349934074
REGION1,BATTERY,1,2031,0.45884568854887015
REGION1,BATTERY,1,2032,0.7460457941596512
REGION1,BATTERY,1,2033,1.2225915957717055
REGION1,BATTERY,1,2034,1.604650968958764
REGION1,BATTERY,1,2035,1.9541757866586724
REGION1,BATTERY,1,2036,2.2932152244641
REGION1,BATTERY,1,2037,2.610511287440642
REGION1,BATTERY,1,2038,2.909371537501022
REGION1,BATTERY,1,2039,3.2122170127425536
REGION1,BATTERY,1,2040,3.571075973737607
REGION1,BATTERY,1,2041,3.9036769166962006
REGION1,BATTERY,1,2042,4.26740667070474
REGION1,BATTERY,1,2043,4.699551419074684
REGION1,BATTERY,1,2044,4.990498554669105
REGION1,BATTERY,1,2045,5.344750713314564
REGION1,BATTERY,1,2046,5.754489268293197
REGION1,BATTERY,1,2047,5.998316334492137
REGION1,BATTERY,1,2048,6.247338035414509
REGION1,BATTERY,1,2049,6.494497810344124
REGION1,BATTERY,1,2050,7.420253203148081
REGION1,BATTERY,2,2021,0.3768196712083807
REGION1,BATTERY,2,2022,0.3768196712083798
REGION1,BATTERY,2,2023,0.3768196712083798
REGION1,BATTERY,2,2024,0.3768196712083798
REGION1,BATTERY,2,2025,0.3768196712083798
REGION1,BATTERY,2,2026,0.190096402116127
REGION1,BATTERY,2,2027,0.014325760270322304
REGION1,BATTERY,2,2028,0.0690286513100793
REGION1,BATTERY,2,2029,0.2390349369733573
REGION1,BATTERY,2,2030,0.36135216349934074
REGION1,BATTERY,2,2031,0.45884568854887015
REGION1,BATTERY,2,2032,0.7738527699854159
REGION1,BATTERY,2,2033,1.286483233693848
