REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.3768196712083807
REGION1,BATTERY,2028,0.019175732207418753
REGION1,BATTERY,2029,0.6597755996194895
REGION1,BATTERY,2030,0.486669023062602
REGION1,BATTERY,2031,0.5163137135580588
REGION1,BATTERY,2032,1.3133751725347396
REGION1,BATTERY,2033,1.3648211884836376
REGION1,BATTERY,2034,0.9121345261219264
REGION1,BATTERY,2035,0.847450768830289
REGION1,BATTERY,2036,0.8141365895347175
REGION1,BATTERY,2037,0.7633521019658258
REGION1,BATTERY,2038,0.7457340417831108
REGION1,BATTERY,2039,0.8544536955116246
REGION1,BATTERY,2040,0.9472896423450456
REGION1,BATTERY,2041,0.9154469840174855
REGION1,BATTERY,2042,1.0227177503058784
REGION1,BATTERY,2043,1.063412455783343
REGION1,BATTERY,2044,0.8254709800552894
REGION1,BATTERY,2045,0.9884583299939816
REGION1,BATTERY,2046,1.3642738427185075
REGION1,BATTERY,2047,0.6615791041861313
REGION1,BATTERY,2048,0.6708622324955904
REGION1,BATTERY,2049,1.1226450181109693
