REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,8,1.4106092565756605
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,1,2.309739559599585
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,4,2.309739559599585
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,5,0.2786140795491104
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,6,0.23812491260525687
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,7,2.3097395595995933
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,5,2.196030717634716
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,6,0.10281958919113182
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,7,2.196030717634716
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2033,1,2.0211008441153706
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2033,6,0.1319799677711124
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2033,7,2.0211008441153706
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,1,0.5114823262324866
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,4,0.5155589301353397
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,6,0.0701993021611571
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2037,8,2.0193774192084617
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2038,1,2.608747468726449
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2038,3,2.0502382351572472
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2038,4,2.050238235157257
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2039,2,1.7708425269936288
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2039,5,1.7708425269936288
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2040,1,1.6899948673182557
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2042,6,1.7634806502955234
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2043,1,2.098241397889909
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2044,5,2.229829555729591
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2046,1,1.5883916271234628
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2046,2,0.5806782221660942
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2047,3,1.9788416982873127
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2047,8,1.9788416982873127
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2048,1,0.5933871382056781
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2048,2,0.11851492731039402
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2048,4,0.5933871382056781
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2048,5,0.5933871382056781
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2048,8,0.5933871382056781
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2049,1,1.6087682834871435
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2050,1,0.6071975512169809
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2050,4,0.6071975512169809
REGION1,DEMCOMBIO,BIO,1,2021,1,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2021,2,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2021,3,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2021,4,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2021,5,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2021,6,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2021,7,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2021,8,0.7600004560002735
REGION1,DEMCOMBIO,BIO,1,2022,1,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2022,2,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2022,3,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2022,4,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2022,5,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2022,6,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2022,7,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2022,8,1.200000720000432
REGION1,DEMCOMBIO,BIO,1,2023,1,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2023,2,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2023,3,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2023,4,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2023,5,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2023,6,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2023,7,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2023,8,1.6300009780005866
REGION1,DEMCOMBIO,BIO,1,2024,1,2.5986721755641358
REGION1,DEMCOMBIO,BIO,1,2024,2,2.5986721755641358
REGION1,DEMCOMBIO,BIO,1,2024,3,2.5986721755641358
REGION1,DEMCOMBIO,BIO,1,2024,4,2.5986721755641358
REGION1,DEMCOMBIO,BIO,1,2024,6,2.5986721755641358
REGION1,DEMCOMBIO,BIO,1,2024,7,2.5986721755641358
REGION1,DEMCOMBIO,BIO,1,2024,8,2.5986721755641358
REGION1,DEMCOMBIO,BIO,1,2025,1,4.2232397513319
REGION1,DEMCOMBIO,BIO,1,2025,2,4.2232397513319
REGION1,DEMCOMBIO,BIO,1,2025,3,4.2232397513319
REGION1,DEMCOMBIO,BIO,1,2025,4,4.2232397513319
REGION1,DEMCOMBIO,BIO,1,2025,7,4.2232397513319
REGION1,DEMCOMBIO,BIO,1,2025,8,4.2232397513319
REGION1,DEMCOMBIO,BIO,1,2026,1,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2026,2,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2026,3,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2026,4,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2026,5,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2026,6,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2026,7,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2026,8,4.810002886001732
REGION1,DEMCOMBIO,BIO,1,2027,1,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2027,2,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2027,3,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2027,4,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2027,5,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2027,6,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2027,7,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2027,8,6.3700038220022925
REGION1,DEMCOMBIO,BIO,1,2028,1,8.46455459675455
REGION1,DEMCOMBIO,BIO,1,2028,2,8.46455459675455
REGION1,DEMCOMBIO,BIO,1,2028,3,8.46455459675455
REGION1,DEMCOMBIO,BIO,1,2028,4,8.46455459675455
REGION1,DEMCOMBIO,BIO,1,2028,6,8.46455459675455
REGION1,DEMCOMBIO,BIO,1,2028,7,8.46455459675455
