REGION,FUEL,YEAR,VALUE
REGION1,COMELCB02,2020,57
REGION1,INDELCB02,2020,101.14
REGION1,RESELCB02,2020,74.47
REGION1,TRAELCB02,2020,1.24
REGION1,COMELCB02,2021,58.29
REGION1,INDELCB02,2021,101.4
REGION1,RESELCB02,2021,76.13
REGION1,TRAELCB02,2021,1.62
REGION1,COMELCB02,2022,59.36
REGION1,INDELCB02,2022,101.77
REGION1,RESELCB02,2022,77.71
REGION1,TRAELCB02,2022,2.08
REGION1,COMELCB02,2023,60.24
REGION1,INDELCB02,2023,102.35
REGION1,RESELCB02,2023,79.46
REGION1,TRAELCB02,2023,2.64
REGION1,COMELCB02,2024,60.96
REGION1,INDELCB02,2024,104.08
REGION1,RESELCB02,2024,81.07
REGION1,TRAELCB02,2024,3.26
REGION1,COMELCB02,2025,61.69
REGION1,INDELCB02,2025,106.19
REGION1,RESELCB02,2025,82.68
REGION1,TRAELCB02,2025,4.06
REGION1,COMELCB02,2026,62.53
REGION1,INDELCB02,2026,109.61
REGION1,RESELCB02,2026,84.2
REGION1,TRAELCB02,2026,4.87
REGION1,COMELCB02,2027,63.4
REGION1,INDELCB02,2027,109.57
REGION1,RESELCB02,2027,85.56
REGION1,TRAELCB02,2027,5.73
REGION1,COMELCB02,2028,64.11
REGION1,INDELCB02,2028,109.11
REGION1,RESELCB02,2028,86.57
REGION1,TRAELCB02,2028,6.61
REGION1,COMELCB02,2029,64.88
REGION1,INDELCB02,2029,108.5
REGION1,RESELCB02,2029,87.5
REGION1,TRAELCB02,2029,7.59
REGION1,COMELCB02,2030,65.62
REGION1,INDELCB02,2030,109.62
REGION1,RESELCB02,2030,88.43
REGION1,TRAELCB02,2030,8.69
REGION1,COMELCB02,2031,66.18
REGION1,INDELCB02,2031,111.38
REGION1,RESELCB02,2031,89.21
REGION1,TRAELCB02,2031,9.9
REGION1,COMELCB02,2032,66.73
REGION1,INDELCB02,2032,112.96
REGION1,RESELCB02,2032,90
REGION1,TRAELCB02,2032,11.25
REGION1,COMELCB02,2033,67.41
REGION1,INDELCB02,2033,112.41
REGION1,RESELCB02,2033,90.91
REGION1,TRAELCB02,2033,12.81
REGION1,COMELCB02,2034,67.85
REGION1,INDELCB02,2034,111.31
REGION1,RESELCB02,2034,91.5
REGION1,TRAELCB02,2034,14.36
REGION1,COMELCB02,2035,68.27
REGION1,INDELCB02,2035,110.38
REGION1,RESELCB02,2035,92.02
REGION1,TRAELCB02,2035,16.04
REGION1,COMELCB02,2036,68.69
REGION1,INDELCB02,2036,109.55
REGION1,RESELCB02,2036,92.5
REGION1,TRAELCB02,2036,17.85
REGION1,COMELCB02,2037,69.07
REGION1,INDELCB02,2037,108.83
REGION1,RESELCB02,2037,92.97
REGION1,TRAELCB02,2037,19.79
REGION1,COMELCB02,2038,69.54
REGION1,INDELCB02,2038,108.34
REGION1,RESELCB02,2038,93.49
REGION1,TRAELCB02,2038,21.92
REGION1,COMELCB02,2039,69.96
REGION1,INDELCB02,2039,107.86
REGION1,RESELCB02,2039,93.98
REGION1,TRAELCB02,2039,24.15
REGION1,COMELCB02,2040,70.4
REGION1,INDELCB02,2040,107.38
REGION1,RESELCB02,2040,94.42
REGION1,TRAELCB02,2040,26.42
REGION1,COMELCB02,2041,70.971
REGION1,INDELCB02,2041,107.38
REGION1,RESELCB02,2041,95.291
REGION1,TRAELCB02,2041,27.295
REGION1,COMELCB02,2042,71.441
REGION1,INDELCB02,2042,106.943
REGION1,RESELCB02,2042,95.879
REGION1,TRAELCB02,2042,29.069
REGION1,COMELCB02,2043,71.91
REGION1,INDELCB02,2043,106.507
REGION1,RESELCB02,2043,96.466
REGION1,TRAELCB02,2043,30.843
REGION1,COMELCB02,2044,72.379
REGION1,INDELCB02,2044,106.07
REGION1,RESELCB02,2044,97.053
REGION1,TRAELCB02,2044,32.616
REGION1,COMELCB02,2045,72.848
REGION1,INDELCB02,2045,105.633
REGION1,RESELCB02,2045,97.641
REGION1,TRAELCB02,2045,34.39
REGION1,COMELCB02,2046,73.317
REGION1,INDELCB02,2046,105.196
REGION1,RESELCB02,2046,98.228
REGION1,TRAELCB02,2046,36.164
REGION1,COMELCB02,2047,73.787
REGION1,INDELCB02,2047,104.759
REGION1,RESELCB02,2047,98.816
REGION1,TRAELCB02,2047,37.937
REGION1,COMELCB02,2048,74.256
REGION1,INDELCB02,2048,104.322
REGION1,RESELCB02,2048,99.403
REGION1,TRAELCB02,2048,39.711
REGION1,COMELCB02,2049,74.725
REGION1,INDELCB02,2049,103.885
REGION1,RESELCB02,2049,99.991
REGION1,TRAELCB02,2049,41.485
REGION1,COMELCB02,2050,75.194
REGION1,INDELCB02,2050,103.448
REGION1,RESELCB02,2050,100.578
REGION1,TRAELCB02,2050,43.259
