REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,INFLOW01,4,2034,0.1348820094280051
REGION1,INFLOW01,5,2034,0.1860815378090103
REGION1,INFLOW01,6,2034,0.2045677726359283
REGION1,INFLOW01,7,2034,0.2018885064388929
REGION1,INFLOW01,8,2034,0.190570187
REGION1,INFLOW01,1,2035,0.1413570512591827
REGION1,INFLOW01,2,2035,0.1363673386962314
REGION1,INFLOW01,3,2035,0.1316850424688117
REGION1,INFLOW01,4,2035,0.1348820094280051
REGION1,INFLOW01,5,2035,0.1860815378090103
REGION1,INFLOW01,6,2035,0.2045677726359283
REGION1,INFLOW01,7,2035,0.2018885064388929
REGION1,INFLOW01,8,2035,0.190570187
REGION1,INFLOW01,1,2036,0.1413570512591827
REGION1,INFLOW01,2,2036,0.1363673386962314
REGION1,INFLOW01,3,2036,0.1316850424688117
REGION1,INFLOW01,4,2036,0.1348820094280051
REGION1,INFLOW01,5,2036,0.1860815378090103
REGION1,INFLOW01,6,2036,0.2045677726359283
REGION1,INFLOW01,7,2036,0.2018885064388929
REGION1,INFLOW01,8,2036,0.190570187
REGION1,INFLOW01,1,2037,0.1413570512591827
REGION1,INFLOW01,2,2037,0.1363673386962314
REGION1,INFLOW01,3,2037,0.1316850424688117
REGION1,INFLOW01,4,2037,0.1348820094280051
REGION1,INFLOW01,5,2037,0.1860815378090103
REGION1,INFLOW01,6,2037,0.2045677726359283
REGION1,INFLOW01,7,2037,0.2018885064388929
REGION1,INFLOW01,8,2037,0.190570187
REGION1,INFLOW01,1,2038,0.1413570512591827
REGION1,INFLOW01,2,2038,0.1363673386962314
REGION1,INFLOW01,3,2038,0.1316850424688117
REGION1,INFLOW01,4,2038,0.1348820094280051
REGION1,INFLOW01,5,2038,0.1860815378090103
REGION1,INFLOW01,6,2038,0.2045677726359283
REGION1,INFLOW01,7,2038,0.2018885064388929
REGION1,INFLOW01,8,2038,0.190570187
REGION1,INFLOW01,1,2039,0.1413570512591827
REGION1,INFLOW01,2,2039,0.1363673386962314
REGION1,INFLOW01,3,2039,0.1316850424688117
REGION1,INFLOW01,4,2039,0.1348820094280051
REGION1,INFLOW01,5,2039,0.1860815378090103
REGION1,INFLOW01,6,2039,0.2045677726359283
REGION1,INFLOW01,7,2039,0.2018885064388929
REGION1,INFLOW01,8,2039,0.190570187
REGION1,INFLOW01,1,2040,0.1413570512591827
REGION1,INFLOW01,2,2040,0.1363673386962314
REGION1,INFLOW01,3,2040,0.1316850424688117
REGION1,INFLOW01,4,2040,0.1348820094280051
REGION1,INFLOW01,5,2040,0.1860815378090103
REGION1,INFLOW01,6,2040,0.2045677726359283
REGION1,INFLOW01,7,2040,0.2018885064388929
REGION1,INFLOW01,8,2040,0.190570187
REGION1,INFLOW01,1,2041,0.1413570512591827
REGION1,INFLOW01,2,2041,0.1363673386962314
REGION1,INFLOW01,3,2041,0.1316850424688117
REGION1,INFLOW01,4,2041,0.1348820094280051
REGION1,INFLOW01,5,2041,0.1860815378090103
REGION1,INFLOW01,6,2041,0.2045677726359283
REGION1,INFLOW01,7,2041,0.2018885064388929
REGION1,INFLOW01,8,2041,0.190570187
REGION1,INFLOW01,1,2042,0.1413570512591827
REGION1,INFLOW01,2,2042,0.1363673386962314
REGION1,INFLOW01,3,2042,0.1316850424688117
REGION1,INFLOW01,4,2042,0.1348820094280051
REGION1,INFLOW01,5,2042,0.1860815378090103
REGION1,INFLOW01,6,2042,0.2045677726359283
REGION1,INFLOW01,7,2042,0.2018885064388929
REGION1,INFLOW01,8,2042,0.190570187
REGION1,INFLOW01,1,2043,0.1413570512591827
REGION1,INFLOW01,2,2043,0.1363673386962314
REGION1,INFLOW01,3,2043,0.1316850424688117
REGION1,INFLOW01,4,2043,0.1348820094280051
REGION1,INFLOW01,5,2043,0.1860815378090103
REGION1,INFLOW01,6,2043,0.2045677726359283
REGION1,INFLOW01,7,2043,0.2018885064388929
REGION1,INFLOW01,8,2043,0.190570187
REGION1,INFLOW01,1,2044,0.1413570512591827
REGION1,INFLOW01,2,2044,0.1363673386962314
REGION1,INFLOW01,3,2044,0.1316850424688117
REGION1,INFLOW01,4,2044,0.1348820094280051
REGION1,INFLOW01,5,2044,0.1860815378090103
REGION1,INFLOW01,6,2044,0.2045677726359283
REGION1,INFLOW01,7,2044,0.2018885064388929
REGION1,INFLOW01,8,2044,0.190570187
REGION1,INFLOW01,1,2045,0.1413570512591827
REGION1,INFLOW01,2,2045,0.1363673386962314
REGION1,INFLOW01,3,2045,0.1316850424688117
REGION1,INFLOW01,4,2045,0.1348820094280051
REGION1,INFLOW01,5,2045,0.1860815378090103
REGION1,INFLOW01,6,2045,0.2045677726359283
REGION1,INFLOW01,7,2045,0.2018885064388929
REGION1,INFLOW01,8,2045,0.190570187
REGION1,INFLOW01,1,2046,0.1413570512591827
REGION1,INFLOW01,2,2046,0.1363673386962314
REGION1,INFLOW01,3,2046,0.1316850424688117
REGION1,INFLOW01,4,2046,0.1348820094280051
REGION1,INFLOW01,5,2046,0.1860815378090103
REGION1,INFLOW01,6,2046,0.2045677726359283
REGION1,INFLOW01,7,2046,0.2018885064388929
REGION1,INFLOW01,8,2046,0.190570187
REGION1,INFLOW01,1,2047,0.1413570512591827
REGION1,INFLOW01,2,2047,0.1363673386962314
REGION1,INFLOW01,3,2047,0.1316850424688117
REGION1,INFLOW01,4,2047,0.1348820094280051
REGION1,INFLOW01,5,2047,0.1860815378090103
REGION1,INFLOW01,6,2047,0.2045677726359283
REGION1,INFLOW01,7,2047,0.2018885064388929
REGION1,INFLOW01,8,2047,0.190570187
