REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2020,9999
REGION1,CO2,2021,9999
REGION1,CO2,2022,9999
REGION1,CO2,2023,9999
REGION1,CO2,2024,9999
REGION1,CO2,2025,9999
REGION1,CO2,2026,9999
REGION1,CO2,2027,9999
REGION1,CO2,2028,9999
REGION1,CO2,2029,9999
REGION1,CO2,2030,50
REGION1,CO2,2031,50
REGION1,CO2,2032,50
REGION1,CO2,2033,50
REGION1,CO2,2034,50
REGION1,CO2,2035,50
REGION1,CO2,2036,50
REGION1,CO2,2037,50
REGION1,CO2,2038,50
REGION1,CO2,2039,50
REGION1,CO2,2040,50
REGION1,CO2,2041,50
REGION1,CO2,2042,50
REGION1,CO2,2043,50
REGION1,CO2,2044,50
REGION1,CO2,2045,50
REGION1,CO2,2046,50
REGION1,CO2,2047,50
REGION1,CO2,2048,50
REGION1,CO2,2049,50
REGION1,CO2,2050,50
