REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
REGION1,BATTERY_STORAGE,BATTERY,1,0
REGION1,BATTERY_STORAGE,BATTERY,57,1
REGION1,PWRHYDB01,HYDRODAM01,1,0
REGION1,PWRHYDB01,HYDRODAM01,57,1
