REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,LNDAGRBC1C03,CRPPEA,2037,0.0539999892000021
REGION1,LNDAGRBC1C03,CRPPEA,2038,0.05499998900000211
REGION1,LNDAGRBC1C03,CRPPEA,2039,0.05699998860000219
REGION1,LNDAGRBC1C03,CRPPEA,2040,0.057999988400002235
REGION1,LNDAGRBC1C03,CRPPEA,2041,0.05899998820000224
REGION1,LNDAGRBC1C03,CRPPEA,2042,0.060999987800002334
REGION1,LNDAGRBC1C03,CRPPEA,2043,0.0619999876000024
REGION1,LNDAGRBC1C03,CRPPEA,2044,0.06399998720000245
REGION1,LNDAGRBC1C03,CRPPEA,2045,0.0649999870000025
REGION1,LNDAGRBC1C03,CRPPEA,2046,0.06599998680000255
REGION1,LNDAGRBC1C03,CRPPEA,2047,0.06799998640000261
REGION1,LNDAGRBC1C03,CRPPEA,2048,0.06899998620000265
REGION1,LNDAGRBC1C03,CRPPEA,2049,0.0709999858000027
REGION1,LNDAGRBC1C03,CRPPEA,2050,0.07199998560000277
REGION1,LNDAGRBC1C03,CRPPTW,2021,0.00010999995000002248
REGION1,LNDAGRBC1C03,CRPPTW,2022,0.00011000006018871201
REGION1,LNDAGRBC1C03,CRPPTW,2023,0.00011999993550003467
REGION1,LNDAGRBC1C03,CRPPTW,2024,0.0001200000656604131
REGION1,LNDAGRBC1C03,CRPPTW,2025,0.00013000005711444657
REGION1,LNDAGRBC1C03,CRPPTW,2026,0.00012999993012503748
REGION1,LNDAGRBC1C03,CRPPTW,2027,0.00012999993012503748
REGION1,LNDAGRBC1C03,CRPPTW,2028,0.00013000007829139172
REGION1,LNDAGRBC1C03,CRPPTW,2029,0.00012999996878527493
REGION1,LNDAGRBC1C03,CRPPTW,2030,0.0001400000882871745
REGION1,LNDAGRBC1C03,CRPPTW,2031,0.0001399999764296325
REGION1,LNDAGRBC1C03,CRPPTW,2032,0.0001399999787235028
REGION1,LNDAGRBC1C03,CRPPTW,2033,0.00014999998602106278
REGION1,LNDAGRBC1C03,CRPPTW,2034,0.000149999991785801
REGION1,LNDAGRBC1C03,CRPPTW,2035,0.0001499999700000057
REGION1,LNDAGRBC1C03,CRPPTW,2036,0.00014999996992444723
REGION1,LNDAGRBC1C03,CRPPTW,2037,0.00015999996800000616
REGION1,LNDAGRBC1C03,CRPPTW,2038,0.00015999996802120497
REGION1,LNDAGRBC1C03,CRPPTW,2039,0.00015999996800000616
REGION1,LNDAGRBC1C03,CRPPTW,2040,0.00016999996600000654
REGION1,LNDAGRBC1C03,CRPPTW,2041,0.00016999996600000654
REGION1,LNDAGRBC1C03,CRPPTW,2042,0.00016999996600000654
REGION1,LNDAGRBC1C03,CRPPTW,2043,0.00016999996600000652
REGION1,LNDAGRBC1C03,CRPPTW,2044,0.00017999996400000677
REGION1,LNDAGRBC1C03,CRPPTW,2045,0.0001799999640000069
REGION1,LNDAGRBC1C03,CRPPTW,2046,0.00017999996400000688
REGION1,LNDAGRBC1C03,CRPPTW,2047,0.00018999996200000726
REGION1,LNDAGRBC1C03,CRPPTW,2048,0.00018999996200000594
REGION1,LNDAGRBC1C03,CRPPTW,2049,0.00018999996200000588
REGION1,LNDAGRBC1C03,CRPPTW,2050,0.00019999996000000754
REGION1,LNDAGRBC1C03,CRPRAP,2021,0.08300002030664194
REGION1,LNDAGRBC1C03,CRPRAP,2022,0.08400002268463848
REGION1,LNDAGRBC1C03,CRPRAP,2023,0.08600003377364616
REGION1,LNDAGRBC1C03,CRPRAP,2024,0.08800002844778965
REGION1,LNDAGRBC1C03,CRPRAP,2025,0.08899996023554027
REGION1,LNDAGRBC1C03,CRPRAP,2026,0.09099991748267366
REGION1,LNDAGRBC1C03,CRPRAP,2027,0.09299996259828278
REGION1,LNDAGRBC1C03,CRPRAP,2028,0.09399998120000358
REGION1,LNDAGRBC1C03,CRPRAP,2029,0.09599998080000371
REGION1,LNDAGRBC1C03,CRPRAP,2030,0.0979999804000038
REGION1,LNDAGRBC1C03,CRPRAP,2031,0.09899998020000382
REGION1,LNDAGRBC1C03,CRPRAP,2032,0.10099997980000387
REGION1,LNDAGRBC1C03,CRPRAP,2033,0.10299997940000395
REGION1,LNDAGRBC1C03,CRPRAP,2034,0.10399997920000405
REGION1,LNDAGRBC1C03,CRPRAP,2035,0.10599997880000409
REGION1,LNDAGRBC1C03,CRPRAP,2036,0.10799997840000418
REGION1,LNDAGRBC1C03,CRPRAP,2037,0.1089999782000042
REGION1,LNDAGRBC1C03,CRPRAP,2038,0.11099997780000427
REGION1,LNDAGRBC1C03,CRPRAP,2039,0.11199997760000427
REGION1,LNDAGRBC1C03,CRPRAP,2040,0.1139999772000044
REGION1,LNDAGRBC1C03,CRPRAP,2041,0.11599997680000447
REGION1,LNDAGRBC1C03,CRPRAP,2042,0.11699997660000447
REGION1,LNDAGRBC1C03,CRPRAP,2043,0.11899997620000453
REGION1,LNDAGRBC1C03,CRPRAP,2044,0.1209999758000047
REGION1,LNDAGRBC1C03,CRPRAP,2045,0.12199997560000465
REGION1,LNDAGRBC1C03,CRPRAP,2046,0.12399997520000476
REGION1,LNDAGRBC1C03,CRPRAP,2047,0.12599997480000483
REGION1,LNDAGRBC1C03,CRPRAP,2048,0.12699997460000492
REGION1,LNDAGRBC1C03,CRPRAP,2049,0.12899997420000497
REGION1,LNDAGRBC1C03,CRPRAP,2050,0.130999973800005
