REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,1,CCS01,1,CO2CCS,2021,56.38888872222239
REGION1,1,CCS01,1,CO2CCS,2022,58.06519838696026
REGION1,1,CCS01,1,CO2CCS,2023,59.05475518904903
REGION1,1,CCS01,1,CO2CCS,2024,59.05475518904903
REGION1,1,CCS01,1,CO2CCS,2025,59.771252045749726
REGION1,1,CCS01,1,CO2CCS,2026,60.94976881004627
REGION1,1,CCS01,1,CO2CCS,2027,60.94976881004627
REGION1,1,CCS01,1,CO2CCS,2028,60.94976881004627
REGION1,1,CCS01,1,CO2CCS,2029,61.25861601508425
REGION1,1,CCS01,1,CO2CCS,2030,62.910142576096334
REGION1,1,CCS01,1,CO2CCS,2031,62.95842893726391
REGION1,1,CCS01,1,CO2CCS,2032,62.95842893726391
REGION1,1,CCS01,1,CO2CCS,2033,63.24481946194488
REGION1,1,CCS01,1,CO2CCS,2034,63.66593080258605
REGION1,1,CCS01,1,CO2CCS,2035,63.894462786350346
REGION1,1,CCS01,1,CO2CCS,2036,64.01742677142795
REGION1,1,CCS01,1,CO2CCS,2037,64.03083715971825
REGION1,1,CCS01,1,CO2CCS,2038,64.03910439606548
REGION1,1,CCS01,1,CO2CCS,2039,64.1307152404532
REGION1,1,CCS01,1,CO2CCS,2040,64.34206920667818
REGION1,1,CCS01,1,CO2CCS,2041,64.62762638295055
REGION1,1,CCS01,1,CO2CCS,2042,64.77944525049101
REGION1,1,CCS01,1,CO2CCS,2043,64.94655803031868
REGION1,1,CCS01,1,CO2CCS,2044,65.20144928580281
REGION1,1,CCS01,1,CO2CCS,2045,65.5436163917876
REGION1,1,CCS01,1,CO2CCS,2046,66.02918574318623
REGION1,1,CCS01,1,CO2CCS,2047,66.48519123652653
REGION1,1,CCS01,1,CO2CCS,2048,66.98656467488816
REGION1,1,CCS01,1,CO2CCS,2049,67.53898237516762
REGION1,1,CCS01,1,CO2CCS,2050,68.10573271237702
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2021,0.3734757999589026
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2022,0.37631410841095214
