REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.5652320875061037
REGION1,BATTERY,2028,0.013524088186354756
REGION1,BATTERY,2029,1.0034821942131091
REGION1,BATTERY,2030,0.7181581512315429
REGION1,BATTERY,2031,0.9884435761119934
REGION1,BATTERY,2032,1.621318805434416
REGION1,BATTERY,2033,1.8437715882379877
REGION1,BATTERY,2034,1.3749701155239231
REGION1,BATTERY,2035,1.3216323463794293
REGION1,BATTERY,2036,1.2816354903389993
REGION1,BATTERY,2037,1.208206321099162
REGION1,BATTERY,2038,1.1909048793496757
REGION1,BATTERY,2039,1.2734364167749543
REGION1,BATTERY,2040,1.4052374242607435
REGION1,BATTERY,2041,1.36529271509845
REGION1,BATTERY,2042,1.5195051236881696
REGION1,BATTERY,2043,1.553921777901394
REGION1,BATTERY,2044,1.08246003590979
REGION1,BATTERY,2045,1.4930660865416776
REGION1,BATTERY,2046,2.146356522258994
REGION1,BATTERY,2047,1.0088628549707082
REGION1,BATTERY,2048,1.0202713380618675
REGION1,BATTERY,2049,1.3588157903247229
