REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2028,178.42294272874182
REGION1,BATTERY,2029,19389.397305300383
REGION1,BATTERY,2030,18068.42113288127
REGION1,BATTERY,2031,30363.70253166628
REGION1,BATTERY,2032,58389.012108655006
REGION1,BATTERY,2033,75697.40904729388
REGION1,BATTERY,2034,63053.493312964994
REGION1,BATTERY,2035,66652.22070945242
REGION1,BATTERY,2036,70217.74128497818
REGION1,BATTERY,2037,71206.90816651686
REGION1,BATTERY,2038,74892.37360973284
REGION1,BATTERY,2039,84874.166131023
REGION1,BATTERY,2040,98694.44734333229
REGION1,BATTERY,2041,100548.65363159277
REGION1,BATTERY,2042,116844.83572972164
REGION1,BATTERY,2043,124301.73104369792
REGION1,BATTERY,2044,89779.76746764305
REGION1,BATTERY,2045,128027.91039788592
REGION1,BATTERY,2046,189786.09093522705
REGION1,BATTERY,2047,91775.476081725
REGION1,BATTERY,2048,95287.97414029943
REGION1,BATTERY,2049,130045.12041849122
