REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,56.388900000000056
REGION1,CO2,2022,58.065209999999965
REGION1,CO2,2023,59.097378722284205
REGION1,CO2,2024,58.62281034535874
REGION1,CO2,2025,59.78047734535873
REGION1,CO2,2026,60.95899434535871
REGION1,CO2,2027,60.415028345358735
REGION1,CO2,2028,59.82875697358756
REGION1,CO2,2029,61.22498900000002
REGION1,CO2,2030,62.730872999999946
REGION1,CO2,2031,62.57659100000001
REGION1,CO2,2032,62.17006700000001
REGION1,CO2,2033,62.33427499999999
REGION1,CO2,2034,62.57377700000004
REGION1,CO2,2035,62.609541000000014
REGION1,CO2,2036,62.524613000000045
REGION1,CO2,2037,62.3396980000001
REGION1,CO2,2038,62.16099300000006
REGION1,CO2,2039,62.062758
REGION1,CO2,2040,62.05156899999989
REGION1,CO2,2041,62.098364999999966
REGION1,CO2,2042,62.18177900000003
REGION1,CO2,2043,62.321806000000095
REGION1,CO2,2044,62.550297999999984
REGION1,CO2,2045,62.86562899999994
REGION1,CO2,2046,63.249081
REGION1,CO2,2047,63.67623099999992
REGION1,CO2,2048,64.14814500000007
REGION1,CO2,2049,64.67029799999993
REGION1,CO2,2050,65.22924300000007
