REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,BATTERY_STORAGE,ELCB02,1,2031,6,87.94424618869863
REGION1,BATTERY_STORAGE,ELCB02,1,2031,8,144.6232883001883
REGION1,BATTERY_STORAGE,ELCB02,1,2031,11,122.90047389086143
REGION1,BATTERY_STORAGE,ELCB02,1,2031,12,78.34944233639976
REGION1,BATTERY_STORAGE,ELCB02,1,2031,13,24.04888901553144
REGION1,BATTERY_STORAGE,ELCB02,1,2031,15,14.50358689139662
REGION1,BATTERY_STORAGE,ELCB02,1,2031,17,7.0398843018235855
REGION1,BATTERY_STORAGE,ELCB02,1,2031,21,144.6232883001883
REGION1,BATTERY_STORAGE,ELCB02,1,2031,23,136.50969690072435
REGION1,BATTERY_STORAGE,ELCB02,1,2032,1,130.3941685310772
REGION1,BATTERY_STORAGE,ELCB02,1,2032,2,126.97063578491668
REGION1,BATTERY_STORAGE,ELCB02,1,2032,3,15.71438487643349
REGION1,BATTERY_STORAGE,ELCB02,1,2032,4,4.45193705481868
REGION1,BATTERY_STORAGE,ELCB02,1,2032,5,10.539605701333087
REGION1,BATTERY_STORAGE,ELCB02,1,2032,6,73.75328921329509
REGION1,BATTERY_STORAGE,ELCB02,1,2032,8,4.796659296577542
REGION1,BATTERY_STORAGE,ELCB02,1,2032,13,6.672429875582026
REGION1,BATTERY_STORAGE,ELCB02,1,2032,14,61.20958088335565
REGION1,BATTERY_STORAGE,ELCB02,1,2032,15,15.072110623985106
REGION1,BATTERY_STORAGE,ELCB02,1,2032,17,7.315839576214285
REGION1,BATTERY_STORAGE,ELCB02,1,2032,19,1.4619277241692057
REGION1,BATTERY_STORAGE,ELCB02,1,2032,20,159.83122525726816
REGION1,BATTERY_STORAGE,ELCB02,1,2032,21,97.57020417925682
REGION1,BATTERY_STORAGE,ELCB02,1,2032,22,168.6115005567573
REGION1,BATTERY_STORAGE,ELCB02,1,2032,24,168.6115005567573
REGION1,BATTERY_STORAGE,ELCB02,1,2033,1,155.0137366887044
REGION1,BATTERY_STORAGE,ELCB02,1,2033,2,131.6509667713271
REGION1,BATTERY_STORAGE,ELCB02,1,2033,6,59.245118194281936
REGION1,BATTERY_STORAGE,ELCB02,1,2033,7,170.81956173104655
REGION1,BATTERY_STORAGE,ELCB02,1,2033,12,81.04456945021462
REGION1,BATTERY_STORAGE,ELCB02,1,2033,13,90.87258151556348
REGION1,BATTERY_STORAGE,ELCB02,1,2033,15,15.627691573453896
REGION1,BATTERY_STORAGE,ELCB02,1,2033,20,192.05360680073989
REGION1,BATTERY_STORAGE,ELCB02,1,2033,21,189.87332633361987
REGION1,BATTERY_STORAGE,ELCB02,1,2033,24,53.9381956849525
REGION1,BATTERY_STORAGE,ELCB02,1,2034,1,110.57539595904102
REGION1,BATTERY_STORAGE,ELCB02,1,2034,2,62.934006305127355
REGION1,BATTERY_STORAGE,ELCB02,1,2034,6,50.69552735898148
REGION1,BATTERY_STORAGE,ELCB02,1,2034,7,6.222053005917553
REGION1,BATTERY_STORAGE,ELCB02,1,2034,13,92.65374097657522
REGION1,BATTERY_STORAGE,ELCB02,1,2034,19,144.35479326341232
REGION1,BATTERY_STORAGE,ELCB02,1,2034,21,110.39223473210208
REGION1,BATTERY_STORAGE,ELCB02,1,2034,23,196.11021704178933
REGION1,BATTERY_STORAGE,ELCB02,1,2034,24,148.83155597161402
REGION1,BATTERY_STORAGE,ELCB02,1,2035,1,160.98110700079062
REGION1,BATTERY_STORAGE,ELCB02,1,2035,2,55.44982194702937
REGION1,BATTERY_STORAGE,ELCB02,1,2035,6,130.48632915296247
REGION1,BATTERY_STORAGE,ELCB02,1,2035,13,94.37078984665855
REGION1,BATTERY_STORAGE,ELCB02,1,2035,14,65.90902520154208
REGION1,BATTERY_STORAGE,ELCB02,1,2035,15,16.229291307348056
REGION1,BATTERY_STORAGE,ELCB02,1,2035,17,7.877522571474684
REGION1,BATTERY_STORAGE,ELCB02,1,2035,19,217.9881174419496
REGION1,BATTERY_STORAGE,ELCB02,1,2035,20,108.6626432382435
REGION1,BATTERY_STORAGE,ELCB02,1,2035,22,199.4016501679118
REGION1,BATTERY_STORAGE,ELCB02,1,2035,23,110.54184974588584
REGION1,BATTERY_STORAGE,ELCB02,1,2035,24,145.04837533846694
REGION1,BATTERY_STORAGE,ELCB02,1,2036,1,97.558494750308
REGION1,BATTERY_STORAGE,ELCB02,1,2036,2,48.18286678468437
REGION1,BATTERY_STORAGE,ELCB02,1,2036,6,132.77569823131955
REGION1,BATTERY_STORAGE,ELCB02,1,2036,8,39.58105142319476
REGION1,BATTERY_STORAGE,ELCB02,1,2036,19,80.37851514457302
REGION1,BATTERY_STORAGE,ELCB02,1,2036,20,203.65401181468303
REGION1,BATTERY_STORAGE,ELCB02,1,2036,22,177.77718977848707
REGION1,BATTERY_STORAGE,ELCB02,1,2036,23,177.11210647687935
REGION1,BATTERY_STORAGE,ELCB02,1,2037,1,91.56802987324654
REGION1,BATTERY_STORAGE,ELCB02,1,2037,2,141.37507118485297
REGION1,BATTERY_STORAGE,ELCB02,1,2037,5,99.73762926959932
REGION1,BATTERY_STORAGE,ELCB02,1,2037,6,28.501413753526847
REGION1,BATTERY_STORAGE,ELCB02,1,2037,9,56.937422539597954
REGION1,BATTERY_STORAGE,ELCB02,1,2037,14,68.15362308839757
REGION1,BATTERY_STORAGE,ELCB02,1,2037,18,61.10868550343165
REGION1,BATTERY_STORAGE,ELCB02,1,2037,19,42.45871390133351
REGION1,BATTERY_STORAGE,ELCB02,1,2037,20,128.34467005792646
REGION1,BATTERY_STORAGE,ELCB02,1,2037,21,169.22764023070607
REGION1,BATTERY_STORAGE,ELCB02,1,2037,22,173.770288195968
