y,Capital costs,Fixed costs,Variable costs,Fuel costs
2020,2.233027104093004,2.6550385237691656,0.24185838662454734,0.0018060113358400525
2021,2.426194005724767,2.6597624829260886,0.23822127788738806,0.0018291897701683938
2022,2.607934874705739,2.6641881684242015,0.23479732256375735,0.0018506692718292968
2023,2.79890547608171,2.668758882220831,0.23119067781009534,0.0018736180507681712
2024,3.114260237252086,2.6051785034107833,0.3533169431074483,0.2681621042705443
2025,5.158089152121825,2.6651126875296995,0.21321227343696963,0.0018902463496982362
2026,6.663797544940567,2.9188002962962964,0.32762281481481487,0.002480888233816677
2027,7.999334576939615,3.0912234490010513,0.4473046792849632,0.06893327061313922
2028,9.559824311665574,3.2280672824777343,0.6263185995416855,0.5185994313128979
2029,10.913576761123936,3.3467764978441346,0.7867050646759767,0.9126905695547002
2030,12.03554978842087,3.4449331106963954,0.9200713093016404,1.2403885005442135
2031,12.993809173039137,3.529401032702237,1.0327725337439988,1.5173061021611445
2032,13.813628704348552,3.6016611189563585,1.129192892206308,1.7542217031337837
2033,14.522783000202976,3.664159100531589,1.21259930062254,1.9591648119622807
2034,15.142947212011723,3.7188220687628566,1.2855377607992948,2.13838223260381
2035,15.80391641825656,3.765486586225484,1.3520996254371054,2.3009654348448936
2036,16.282815595408504,3.8083434021842666,1.40904957006224,2.4409538135662823
2037,16.709350288660122,3.841784840471542,1.4682776857870152,2.5834388650048807
2038,17.09844834819961,3.8729381806233576,1.5228864297784455,2.714645655295188
2039,17.437995743175446,3.8988552466928845,1.5710288925634608,2.831106516846054
2040,17.725987670405765,3.9220390647489682,1.6117988549252076,2.9311745518361207
2041,17.982904668086714,3.9423061316041683,1.6490163332721601,3.022792216052669
2042,18.22360487769743,3.9616802774250264,1.68309231220084,3.1069456173443113
2043,18.48622221184574,3.981990549320732,1.7197170421624055,3.195257999163346
2044,18.688861803995234,3.998333168089267,1.7484260953428212,3.2667201834193986
2045,19.38379022410426,4.013722772792752,1.7755517468802606,3.3342105321531763
2046,19.8509001064303,3.9987148402857953,1.7637655405518466,3.320123888348829
2047,20.283968035156516,3.984779507971635,1.7528140597993764,3.3069367268199223
2048,20.982443050489557,3.941412780440586,1.6843204633807436,3.174677869792987
2049,21.69335485969781,3.9008190071907665,1.6202367967853042,3.050597391694569
2050,22.367468307994606,3.9126026134418126,1.548159030714526,2.896597887004494
