r,t,y,DiscountedTechnologyEmissionsPenalty
REGION1,DEMINDBIO,2036,377.2543
REGION1,DEMINDBIO,2037,340.0178
REGION1,DEMINDBIO,2038,306.5358
REGION1,DEMINDBIO,2039,276.4612
REGION1,DEMINDBIO,2040,249.3888
REGION1,DEMINDBIO,2041,225.9536
REGION1,DEMINDBIO,2042,203.8861
REGION1,DEMINDBIO,2043,183.9622
REGION1,DEMINDBIO,2044,165.9759
REGION1,DEMINDBIO,2045,149.7405
REGION1,DEMINDBIO,2046,135.0843
REGION1,DEMINDBIO,2047,121.8562
REGION1,DEMINDBIO,2048,109.9161
REGION1,DEMINDBIO,2049,99.1405
REGION1,DEMINDBIO,2050,89.4151
REGION1,DEMINDDSL,2020,324.8188
REGION1,DEMINDDSL,2021,294.3914
REGION1,DEMINDDSL,2022,295.3025
REGION1,DEMINDDSL,2023,347.5963
REGION1,DEMINDDSL,2024,390.3008
REGION1,DEMINDDSL,2025,424.5666
REGION1,DEMINDDSL,2026,452.2842
REGION1,DEMINDDSL,2027,472.2731
REGION1,DEMINDDSL,2028,483.6417
REGION1,DEMINDDSL,2029,486.8697
REGION1,DEMINDDSL,2030,485.8345
REGION1,DEMINDDSL,2031,442.7384
REGION1,DEMINDDSL,2032,404.1838
REGION1,DEMINDDSL,2033,367.8658
REGION1,DEMINDDSL,2034,334.6022
REGION1,DEMINDDSL,2035,304.536
REGION1,DEMINDDSL,2036,277.3926
REGION1,DEMINDDSL,2037,252.9809
REGION1,DEMINDDSL,2038,231.0204
REGION1,DEMINDDSL,2039,211.2395
REGION1,DEMINDDSL,2040,193.3476
REGION1,DEMINDDSL,2041,175.2141
REGION1,DEMINDDSL,2042,159.7011
REGION1,DEMINDDSL,2043,145.5618
REGION1,DEMINDDSL,2044,132.6724
REGION1,DEMINDDSL,2045,120.9235
REGION1,DEMINDDSL,2046,110.2152
REGION1,DEMINDDSL,2047,100.4537
REGION1,DEMINDDSL,2048,91.5569
REGION1,DEMINDDSL,2049,83.4468
REGION1,DEMINDDSL,2050,76.0546
REGION1,DEMINDNGS,2020,485.2844
REGION1,DEMINDNGS,2021,430.2984
REGION1,DEMINDNGS,2022,423.9432
REGION1,DEMINDNGS,2023,495.6604
REGION1,DEMINDNGS,2024,580.0304
REGION1,DEMINDNGS,2025,686.9643
REGION1,DEMINDNGS,2026,819.3061
REGION1,DEMINDNGS,2027,871.1242
REGION1,DEMINDNGS,2028,891.4733
REGION1,DEMINDNGS,2029,903.4097
REGION1,DEMINDNGS,2030,957.7809
REGION1,DEMINDNGS,2031,944.3216
REGION1,DEMINDNGS,2032,900.2211
REGION1,DEMINDNGS,2033,815.5488
REGION1,DEMINDNGS,2034,739.5187
REGION1,DEMINDNGS,2035,672.602
REGION1,DEMINDNGS,2036,611.4209
REGION1,DEMINDNGS,2037,555.2726
REGION1,DEMINDNGS,2038,504.7786
REGION1,DEMINDNGS,2039,459.2362
REGION1,DEMINDNGS,2040,417.8874
REGION1,DEMINDNGS,2041,405.7166
REGION1,DEMINDNGS,2042,374.3079
REGION1,DEMINDNGS,2043,345.2568
REGION1,DEMINDNGS,2044,318.3943
REGION1,DEMINDNGS,2045,293.5625
REGION1,DEMINDNGS,2046,270.6142
REGION1,DEMINDNGS,2047,249.4122
REGION1,DEMINDNGS,2048,229.8286
REGION1,DEMINDNGS,2049,211.7444
REGION1,DEMINDNGS,2050,195.0489
REGION1,DEMPWRNGS,2024,43.8529
REGION1,DEMRESBIO,2020,38.9842
REGION1,DEMRESBIO,2021,36.1228
REGION1,DEMRESBIO,2022,37.0944
REGION1,DEMRESBIO,2023,44.7189
REGION1,DEMRESBIO,2024,51.0563
REGION1,DEMRESBIO,2025,56.1412
REGION1,DEMRESBIO,2026,60.132
REGION1,DEMRESBIO,2027,63.0189
REGION1,DEMRESBIO,2028,65.1237
REGION1,DEMRESBIO,2029,66.424
REGION1,DEMRESBIO,2030,66.8854
REGION1,DEMRESBIO,2031,61.4014
REGION1,DEMRESBIO,2032,56.3618
REGION1,DEMRESBIO,2033,51.5995
REGION1,DEMRESBIO,2034,47.2672
REGION1,DEMRESBIO,2035,43.2146
REGION1,DEMRESBIO,2036,39.4095
REGION1,DEMRESBIO,2037,35.8941
REGION1,DEMRESBIO,2038,32.6514
REGION1,DEMRESBIO,2039,29.646
REGION1,DEMRESBIO,2040,26.9172
REGION1,DEMRESBIO,2041,24.3874
REGION1,DEMRESBIO,2042,22.2874
REGION1,DEMRESBIO,2043,20.369
REGION1,DEMRESBIO,2044,18.6152
REGION1,DEMRESBIO,2045,17.0109
REGION1,DEMRESBIO,2046,15.5453
REGION1,DEMRESBIO,2047,14.2048
REGION1,DEMRESBIO,2048,12.9804
REGION1,DEMRESBIO,2049,11.8611
REGION1,DEMRESBIO,2050,10.8375
REGION1,DEMRESKER,2020,2.5769
REGION1,DEMRESKER,2021,2.3705
REGION1,DEMRESKER,2022,2.4227
REGION1,DEMRESKER,2023,2.8964
REGION1,DEMRESKER,2024,3.2408
REGION1,DEMRESKER,2025,3.4986
REGION1,DEMRESKER,2026,3.725
REGION1,DEMRESKER,2027,3.8482
REGION1,DEMRESKER,2028,3.9181
REGION1,DEMRESKER,2029,3.9436
REGION1,DEMRESKER,2030,3.932
REGION1,DEMRESKER,2031,3.5746
REGION1,DEMRESKER,2032,3.2496
REGION1,DEMRESKER,2033,2.9542
REGION1,DEMRESKER,2034,2.6856
REGION1,DEMRESKER,2035,2.4415
REGION1,DEMRESKER,2036,2.2195
REGION1,DEMRESKER,2037,1.9948
REGION1,DEMRESKER,2038,1.8135
REGION1,DEMRESKER,2039,1.6486
REGION1,DEMRESKER,2040,1.4815
REGION1,DEMRESNGS,2020,176.883
REGION1,DEMRESNGS,2021,163.4122
REGION1,DEMRESNGS,2022,167.5598
