r,e,y,AnnualEmissions
REGION1,CO2,2020,59.2133
REGION1,CO2,2021,58.8456
REGION1,CO2,2022,58.4159
REGION1,CO2,2023,58.1794
REGION1,CO2,2024,59.5581
REGION1,CO2,2025,59.8247
REGION1,CO2,2026,60.626
REGION1,CO2,2027,60.211
REGION1,CO2,2028,59.4401
REGION1,CO2,2029,58.5943
REGION1,CO2,2030,58.5601
REGION1,CO2,2031,58.9041
REGION1,CO2,2032,58.7976
REGION1,CO2,2033,57.7502
REGION1,CO2,2034,56.7023
REGION1,CO2,2035,55.7245
REGION1,CO2,2036,54.7675
REGION1,CO2,2037,53.7756
REGION1,CO2,2038,52.8177
REGION1,CO2,2039,51.889
REGION1,CO2,2040,50.9798
REGION1,CO2,2041,51.1299
REGION1,CO2,2042,50.4526
REGION1,CO2,2043,49.7764
REGION1,CO2,2044,49.1003
REGION1,CO2,2045,48.423
REGION1,CO2,2046,47.7473
REGION1,CO2,2047,47.0706
REGION1,CO2,2048,46.3938
REGION1,CO2,2049,45.7177
REGION1,CO2,2050,45.041
