cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
Skeena-QueenCharlotte_1,48.339244103159146,1564.55696742041,0.040427360681422796,0.0,0.4544288609526124,1,1100,Skeena-QueenCharlotte,BC_FLS_GSS,40.690653702204884,1,20,wind
FraserValley_1,50.89917582583846,1564.55696742041,0.040427360681422796,0.0,0.41975455872802464,1,1500,FraserValley,BC_SAC_DSS,23.046006504255036,2,20,wind
Kitimat-Stikine_1,51.05273723914149,1564.55696742041,0.040427360681422796,0.0,0.4534587502082488,1,5000,Kitimat-Stikine,BC_BJK_ISS,8.07422651736109,3,20,wind
PeaceRiver_1,52.91682843649929,1564.55696742041,0.040427360681422796,0.0,0.41748042503426,1,5000,PeaceRiver,BC_MKT_SWS,1.5106832756255026,4,20,wind
EastKootenay_1,54.73253142338563,1564.55696742041,0.040427360681422796,0.0,0.4313531542522185,1,2900,EastKootenay,BC_CMO_DSS,7.529056340086824,5,20,wind
Thompson-Nicola_1,56.03228882053858,1564.55696742041,0.040427360681422796,0.0,0.4113651803448933,1,5000,Thompson-Nicola,BC_MCA_GSS,32.87058724727074,6,20,wind
Columbia-Shuswap_1,56.383264255699636,1564.55696742041,0.040427360681422796,0.0,0.4817782038089631,1,800,Columbia-Shuswap,BC_ILL_DSS,5.261479341990463,7,20,wind
Thompson-Nicola_2,73.8753000763022,1564.55696742041,0.040427360681422796,0.0,0.2838666688323382,2,900,Thompson-Nicola,BC_STM_ISS,10.263782754975532,30,20,wind
