time,Stewart Creek Wind Project,Taylor Wind Project,Highland Valley Wind Project,Mount Mabel Wind Project,Boulder and Elkhart Wind Project,Nilhts'i Ecoener Project (Formerly Hixon Wind Power Project),Brewster Wind Project,K2 Wind Project,Nithi Mountain Wind Project
2023-01-01 00:00:00,0.4535767364501953,0.4576320648193359,0.0,0.0,0.0048876821249723,0.0754273396730423,0.0,0.0048876821249723,0.1125191822648048
2023-01-01 01:00:00,0.4714236712455749,0.495573923587799,0.0,0.0,0.0051780916005373,0.0864493732154369,0.0,0.0051780916005373,0.1291021585464477
2023-01-01 02:00:00,0.4506918334960937,0.4853477334976196,0.0,0.0,0.002870365306735,0.1109184741973876,0.0,0.002870365306735,0.1253778839111328
2023-01-01 03:00:00,0.3942713165283202,0.4185092163085937,0.0,0.0,0.0098615258932113,0.1094771632552146,0.0004883358627557,0.0098615258932113,0.0726424664258957
2023-01-01 04:00:00,0.4394916534423828,0.4680387115478515,0.0,0.0,0.0122203966975212,0.1606377610564231,0.0,0.0122203966975212,0.0939097414910793
2023-01-01 05:00:00,0.4913385367393493,0.5250937795639038,0.0,0.0,0.0038474602997303,0.1930766552686691,0.0,0.0038474602997303,0.0989864543080329
2023-01-01 06:00:00,0.4916720247268676,0.5250397777557373,0.0,0.0,0.0013860313594341,0.1852195414900779,0.0007743464410305,0.0013860313594341,0.0671974369883537
2023-01-01 07:00:00,0.5230231142044067,0.5718230462074279,0.0012152403593063,0.0011866655200719,0.0006832736730575,0.1819937503337859,0.0015977833420038,0.0006832736730575,0.0460713864862918
2023-01-01 08:00:00,0.4491621398925781,0.5189066386222839,0.0024652554839849,0.0057515796273946,0.0019858665019273,0.2322931015491485,0.0031672540307044,0.0019858665019273,0.0413959017395973
2023-01-01 09:00:00,0.4489140319824218,0.5084626531600952,0.0018728198111057,0.0129922738671302,0.0071807962656021,0.2617708060145378,0.0031680234521627,0.0071807962656021,0.0388417842984199
2023-01-01 10:00:00,0.4984057998657226,0.5476295208930969,0.0019577594846487,0.0110957860946655,0.0299364340305328,0.2631131723523139,0.0030057286471128,0.0299364340305328,0.0249616938829422
2023-01-01 11:00:00,0.4840389943122863,0.54039470911026,0.0035415492951869,0.0088884299993515,0.0214471766352653,0.2449571758508681,0.0078385093808174,0.0214471766352653,0.0068161179125308
2023-01-01 12:00:00,0.4320928955078125,0.4847971653938293,0.004457174539566,0.0098180705308914,0.0043930640816688,0.2987358063459396,0.0280607059597969,0.0043930640816688,0.0033049222081899
2023-01-01 13:00:00,0.4045301818847656,0.4586067199707031,0.0004282130300998,0.003094170987606,0.0017061363905668,0.1960210838913917,0.0121761721372604,0.0017061363905668,0.0
2023-01-01 14:00:00,0.4111497497558594,0.4725603914260864,0.0,0.0,0.0,0.1820791241526603,0.0087260428071022,0.0,0.0
2023-01-01 15:00:00,0.3739605712890624,0.4312953948974609,0.0,0.0,0.0,0.2402373242378234,0.0110498416423797,0.0,0.0
2023-01-01 16:00:00,0.414897232055664,0.4535464477539062,0.0,0.0,0.0,0.3060295525193214,0.0256262549757957,0.0,0.0
2023-01-01 17:00:00,0.4342449951171875,0.4634032440185547,0.0,0.0,0.0,0.352729263305664,0.0427044111490249,0.0,0.0029673603922128
2023-01-01 18:00:00,0.4550736236572265,0.4713650202751159,0.0008309546113014,0.0,0.0,0.3836180114746093,0.0395659539103508,0.0,0.0020700847357511
2023-01-01 19:00:00,0.4680950164794921,0.4906529641151428,0.0039126931875944,0.0,1.3121291995048522e-05,0.4024363708496094,0.0223348915576934,1.3121291995048522e-05,0.0028879077732563
2023-01-01 20:00:00,0.4170014190673828,0.4405743408203125,0.0036084666848182,0.0,0.0038969997316598,0.3993970489501952,0.0431278589367866,0.0038969997316598,0.0058220528066158
2023-01-01 21:00:00,0.390584487915039,0.3835079193115234,0.0029759782552719,0.0,0.0034953240305185,0.4123456573486328,0.051520884335041,0.0034953240305185,0.0063433195650577
2023-01-01 22:00:00,0.3795024871826171,0.3353969573974609,0.0042483323067426,0.0,0.0030744659155607,0.4403923797607422,0.0450402650237083,0.0030744659155607,0.0053935021907091
2023-01-01 23:00:00,0.3509659576416015,0.2836857503652572,0.0050902867317199,0.0005963907390832,0.0064840294420719,0.5011783099174499,0.0678415997326374,0.0064840294420719,0.0025295116007328
2023-01-02 00:00:00,0.3274588775634765,0.2463191559910774,0.0050782998651266,0.0,0.0066450818628072,0.5483447766304016,0.0820157416164875,0.0066450818628072,0.0056598728150129
2023-01-02 01:00:00,0.2883121344447135,0.2142746892571449,0.0111609777808189,0.0009796483069658,0.0086225813627243,0.4953981494903564,0.0826336346566677,0.0086225813627243,0.0150647005438804
2023-01-02 02:00:00,0.2448048093914985,0.1767673701047897,0.0127933195233345,0.0022166243940591,0.0227334398031234,0.4620732879638671,0.0791175927221775,0.0227334398031234,0.0141199612617492
2023-01-02 03:00:00,0.2666613149642944,0.2117527338862418,0.0192719021439552,0.0020127619802951,0.03025877982378,0.5673353528976439,0.0816384027898311,0.03025877982378,0.0205669721961021
2023-01-02 04:00:00,0.2421772500872611,0.1778114539384842,0.0202082753181457,0.0032462936639785,0.0356359142065048,0.6048683977127074,0.0663877722620964,0.0356359142065048,0.0104046487808227
2023-01-02 05:00:00,0.185767428278923,0.1272448799014091,0.0200908041000366,0.0044508272409439,0.0511483839154243,0.5889498448371886,0.0637335929274559,0.0511483839154243,0.0066249980777502
