REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,LNDAGRBC1C03,CRPMAI,2035,0.691000414600248
REGION1,LNDAGRBC1C03,CRPMAI,2036,0.7080004248002545
REGION1,LNDAGRBC1C03,CRPMAI,2037,0.7210004326002591
REGION1,LNDAGRBC1C03,CRPMAI,2038,0.7290004374002619
REGION1,LNDAGRBC1C03,CRPMAI,2039,0.7300004380002624
REGION1,LNDAGRBC1C03,CRPMAI,2040,0.7340004404002638
REGION1,LNDAGRBC1C03,CRPMAI,2041,0.7440004464002673
REGION1,LNDAGRBC1C03,CRPMAI,2042,0.7530004518002704
REGION1,LNDAGRBC1C03,CRPMAI,2043,0.7620004572002739
REGION1,LNDAGRBC1C03,CRPMAI,2044,0.7700004620002767
REGION1,LNDAGRBC1C03,CRPMAI,2045,0.7780004668002798
REGION1,LNDAGRBC1C03,CRPMAI,2046,0.7860004716002823
REGION1,LNDAGRBC1C03,CRPMAI,2047,0.7940004764002854
REGION1,LNDAGRBC1C03,CRPMAI,2048,0.8020004812002882
REGION1,LNDAGRBC1C03,CRPMAI,2049,0.8090004854002907
REGION1,LNDAGRBC1C03,CRPMAI,2050,0.8170004902002934
REGION1,LNDAGRBC1C03,CRPOAT,2021,0.06699995611825338
REGION1,LNDAGRBC1C03,CRPOAT,2022,0.06800003859305775
REGION1,LNDAGRBC1C03,CRPOAT,2023,0.06900011710633873
REGION1,LNDAGRBC1C03,CRPOAT,2024,0.06999993813200661
REGION1,LNDAGRBC1C03,CRPOAT,2025,0.07199993076457724
REGION1,LNDAGRBC1C03,CRPOAT,2026,0.07300004380002625
REGION1,LNDAGRBC1C03,CRPOAT,2027,0.0740000444000266
REGION1,LNDAGRBC1C03,CRPOAT,2028,0.0750000450000263
REGION1,LNDAGRBC1C03,CRPOAT,2029,0.07700004620002768
REGION1,LNDAGRBC1C03,CRPOAT,2030,0.07800004680002803
REGION1,LNDAGRBC1C03,CRPOAT,2031,0.07900004740002839
REGION1,LNDAGRBC1C03,CRPOAT,2032,0.08100004860002913
REGION1,LNDAGRBC1C03,CRPOAT,2033,0.08200004920002948
REGION1,LNDAGRBC1C03,CRPOAT,2034,0.08300004980002981
REGION1,LNDAGRBC1C03,CRPOAT,2035,0.0840000504000302
REGION1,LNDAGRBC1C03,CRPOAT,2036,0.08600005160003091
REGION1,LNDAGRBC1C03,CRPOAT,2037,0.08700005220003124
REGION1,LNDAGRBC1C03,CRPOAT,2038,0.08800005280003162
REGION1,LNDAGRBC1C03,CRPOAT,2039,0.09000005400003235
REGION1,LNDAGRBC1C03,CRPOAT,2040,0.0910000546000327
REGION1,LNDAGRBC1C03,CRPOAT,2041,0.09200005520003307
REGION1,LNDAGRBC1C03,CRPOAT,2042,0.09300005580003344
REGION1,LNDAGRBC1C03,CRPOAT,2043,0.09500005700003417
REGION1,LNDAGRBC1C03,CRPOAT,2044,0.09600005760003451
REGION1,LNDAGRBC1C03,CRPOAT,2045,0.09700005820003485
REGION1,LNDAGRBC1C03,CRPOAT,2046,0.0980000588000352
REGION1,LNDAGRBC1C03,CRPOAT,2047,0.10000006000003595
REGION1,LNDAGRBC1C03,CRPOAT,2048,0.10100006060003631
REGION1,LNDAGRBC1C03,CRPOAT,2049,0.10200006120003668
REGION1,LNDAGRBC1C03,CRPOAT,2050,0.10400006240003737
REGION1,LNDAGRBC1C03,CRPOTH,2021,0.30900007380553784
REGION1,LNDAGRBC1C03,CRPOTH,2022,0.31200004166214584
REGION1,LNDAGRBC1C03,CRPOTH,2023,0.3150001890190529
REGION1,LNDAGRBC1C03,CRPOTH,2024,0.3199997104133242
REGION1,LNDAGRBC1C03,CRPOTH,2025,0.3199997258472182
REGION1,LNDAGRBC1C03,CRPOTH,2026,0.3240001371512035
REGION1,LNDAGRBC1C03,CRPOTH,2027,0.32899983874958716
REGION1,LNDAGRBC1C03,CRPOTH,2028,0.3359997121392409
REGION1,LNDAGRBC1C03,CRPOTH,2029,0.3389998654308013
REGION1,LNDAGRBC1C03,CRPOTH,2030,0.347000064406521
REGION1,LNDAGRBC1C03,CRPOTH,2031,0.3530002136555055
REGION1,LNDAGRBC1C03,CRPOTH,2032,0.3530002118001268
REGION1,LNDAGRBC1C03,CRPOTH,2033,0.3580002148001287
REGION1,LNDAGRBC1C03,CRPOTH,2034,0.3630002178001304
REGION1,LNDAGRBC1C03,CRPOTH,2035,0.36800022080013234
REGION1,LNDAGRBC1C03,CRPOTH,2036,0.3740002244001344
REGION1,LNDAGRBC1C03,CRPOTH,2037,0.3790002274001361
REGION1,LNDAGRBC1C03,CRPOTH,2038,0.38300022980013765
REGION1,LNDAGRBC1C03,CRPOTH,2039,0.38800023280013934
REGION1,LNDAGRBC1C03,CRPOTH,2040,0.392000235200141
REGION1,LNDAGRBC1C03,CRPOTH,2041,0.39700023820014274
REGION1,LNDAGRBC1C03,CRPOTH,2042,0.40100024060014416
REGION1,LNDAGRBC1C03,CRPOTH,2043,0.4070002442001433
REGION1,LNDAGRBC1C03,CRPOTH,2044,0.41100024660014767
REGION1,LNDAGRBC1C03,CRPOTH,2045,0.4160002496001495
REGION1,LNDAGRBC1C03,CRPOTH,2046,0.4210002526001513
REGION1,LNDAGRBC1C03,CRPOTH,2047,0.4250002550001527
REGION1,LNDAGRBC1C03,CRPOTH,2048,0.4300002580001545
REGION1,LNDAGRBC1C03,CRPOTH,2049,0.43500026100015643
REGION1,LNDAGRBC1C03,CRPOTH,2050,0.44000026400015796
REGION1,LNDAGRBC1C03,CRPPEA,2021,0.030999982485111294
REGION1,LNDAGRBC1C03,CRPPEA,2022,0.03300001876135435
REGION1,LNDAGRBC1C03,CRPPEA,2023,0.03400002040001221
REGION1,LNDAGRBC1C03,CRPPEA,2024,0.036000021600012935
REGION1,LNDAGRBC1C03,CRPPEA,2025,0.03700002220001328
REGION1,LNDAGRBC1C03,CRPPEA,2026,0.038000022800013654
REGION1,LNDAGRBC1C03,CRPPEA,2027,0.040000024000014386
REGION1,LNDAGRBC1C03,CRPPEA,2028,0.04100002460001473
REGION1,LNDAGRBC1C03,CRPPEA,2029,0.04300002580001545
REGION1,LNDAGRBC1C03,CRPPEA,2030,0.04400002640001581
REGION1,LNDAGRBC1C03,CRPPEA,2031,0.045000027000016166
REGION1,LNDAGRBC1C03,CRPPEA,2032,0.04700002820001688
REGION1,LNDAGRBC1C03,CRPPEA,2033,0.04800002880001725
REGION1,LNDAGRBC1C03,CRPPEA,2034,0.05000003000001798
REGION1,LNDAGRBC1C03,CRPPEA,2035,0.051000030600018315
REGION1,LNDAGRBC1C03,CRPPEA,2036,0.05200003120001868
REGION1,LNDAGRBC1C03,CRPPEA,2037,0.0540000324000194
REGION1,LNDAGRBC1C03,CRPPEA,2038,0.05500003300001976
REGION1,LNDAGRBC1C03,CRPPEA,2039,0.057000034200020484
REGION1,LNDAGRBC1C03,CRPPEA,2040,0.05800003480002083
REGION1,LNDAGRBC1C03,CRPPEA,2041,0.05900003540002119
REGION1,LNDAGRBC1C03,CRPPEA,2042,0.061000036600021915
REGION1,LNDAGRBC1C03,CRPPEA,2043,0.06200003720002229
REGION1,LNDAGRBC1C03,CRPPEA,2044,0.064000038400023
REGION1,LNDAGRBC1C03,CRPPEA,2045,0.06500003900002337
REGION1,LNDAGRBC1C03,CRPPEA,2046,0.06600003960002371
REGION1,LNDAGRBC1C03,CRPPEA,2047,0.06800004080002443
REGION1,LNDAGRBC1C03,CRPPEA,2048,0.0690000414000248
REGION1,LNDAGRBC1C03,CRPPEA,2049,0.0710000426000255
REGION1,LNDAGRBC1C03,CRPPEA,2050,0.07200004320002586
REGION1,LNDAGRBC1C03,CRPPTW,2021,0.00010999982696656424
REGION1,LNDAGRBC1C03,CRPPTW,2022,0.00011000006018871064
REGION1,LNDAGRBC1C03,CRPPTW,2023,0.00011999981123625192
REGION1,LNDAGRBC1C03,CRPPTW,2024,0.00011999981123625192
REGION1,LNDAGRBC1C03,CRPPTW,2025,0.00012999979550593955
REGION1,LNDAGRBC1C03,CRPPTW,2026,0.00012999994090911765
REGION1,LNDAGRBC1C03,CRPPTW,2027,0.0001299998574195111
REGION1,LNDAGRBC1C03,CRPPTW,2028,0.00012999979550593955
REGION1,LNDAGRBC1C03,CRPPTW,2029,0.0001299998574195111
REGION1,LNDAGRBC1C03,CRPPTW,2030,0.00014000032101984432
REGION1,LNDAGRBC1C03,CRPPTW,2031,0.00013999977977562718
REGION1,LNDAGRBC1C03,CRPPTW,2032,0.00013999999882352923
REGION1,LNDAGRBC1C03,CRPPTW,2033,0.00015000034394983323
REGION1,LNDAGRBC1C03,CRPPTW,2034,0.0001500000358206174
REGION1,LNDAGRBC1C03,CRPPTW,2035,0.00015000009000005386
REGION1,LNDAGRBC1C03,CRPPTW,2036,0.00015000009000005386
REGION1,LNDAGRBC1C03,CRPPTW,2037,0.00016000009600005753
REGION1,LNDAGRBC1C03,CRPPTW,2038,0.00016000009599957983
REGION1,LNDAGRBC1C03,CRPPTW,2039,0.00016000009600005747
REGION1,LNDAGRBC1C03,CRPPTW,2040,0.00017000010200006108
REGION1,LNDAGRBC1C03,CRPPTW,2041,0.0001700001020003478
REGION1,LNDAGRBC1C03,CRPPTW,2042,0.0001700001020000611
REGION1,LNDAGRBC1C03,CRPPTW,2043,0.0001700001020000611
REGION1,LNDAGRBC1C03,CRPPTW,2044,0.00018000010800006466
REGION1,LNDAGRBC1C03,CRPPTW,2045,0.00018000010800006466
REGION1,LNDAGRBC1C03,CRPPTW,2046,0.00018000010800006466
REGION1,LNDAGRBC1C03,CRPPTW,2047,0.0001900001140000683
REGION1,LNDAGRBC1C03,CRPPTW,2048,0.0001900001140000683
REGION1,LNDAGRBC1C03,CRPPTW,2049,0.0001900001140000683
REGION1,LNDAGRBC1C03,CRPPTW,2050,0.00020000012000007182
REGION1,LNDAGRBC1C03,CRPRAP,2021,0.0830001334261299
REGION1,LNDAGRBC1C03,CRPRAP,2022,0.08400004760818369
REGION1,LNDAGRBC1C03,CRPRAP,2023,0.08599999384420703
REGION1,LNDAGRBC1C03,CRPRAP,2024,0.08799991887693628
REGION1,LNDAGRBC1C03,CRPRAP,2025,0.08899991197922638
REGION1,LNDAGRBC1C03,CRPRAP,2026,0.09100007502911267
REGION1,LNDAGRBC1C03,CRPRAP,2027,0.09299997790711172
REGION1,LNDAGRBC1C03,CRPRAP,2028,0.09400005640003378
REGION1,LNDAGRBC1C03,CRPRAP,2029,0.0960000576000345
REGION1,LNDAGRBC1C03,CRPRAP,2030,0.09800005880003523
REGION1,LNDAGRBC1C03,CRPRAP,2031,0.09900005940003559
REGION1,LNDAGRBC1C03,CRPRAP,2032,0.1010000606000363
REGION1,LNDAGRBC1C03,CRPRAP,2033,0.10300006180003701
REGION1,LNDAGRBC1C03,CRPRAP,2034,0.10400006240003737
REGION1,LNDAGRBC1C03,CRPRAP,2035,0.10600006360003812
REGION1,LNDAGRBC1C03,CRPRAP,2036,0.1080000648000388
REGION1,LNDAGRBC1C03,CRPRAP,2037,0.10900006540003915
REGION1,LNDAGRBC1C03,CRPRAP,2038,0.1110000666000399
REGION1,LNDAGRBC1C03,CRPRAP,2039,0.11200006720004024
REGION1,LNDAGRBC1C03,CRPRAP,2040,0.11400006840004095
REGION1,LNDAGRBC1C03,CRPRAP,2041,0.1160000696000417
REGION1,LNDAGRBC1C03,CRPRAP,2042,0.11700007020004204
REGION1,LNDAGRBC1C03,CRPRAP,2043,0.11900007140004273
REGION1,LNDAGRBC1C03,CRPRAP,2044,0.12100007260004346
REGION1,LNDAGRBC1C03,CRPRAP,2045,0.12200007320004383
REGION1,LNDAGRBC1C03,CRPRAP,2046,0.12400007440004455
REGION1,LNDAGRBC1C03,CRPRAP,2047,0.12600007560004528
REGION1,LNDAGRBC1C03,CRPRAP,2048,0.12700007620004564
REGION1,LNDAGRBC1C03,CRPRAP,2049,0.12900007740004638
REGION1,LNDAGRBC1C03,CRPRAP,2050,0.1310000786000471
REGION1,LNDAGRBC1C03,CRPRYE,2021,0.002700000453883335
REGION1,LNDAGRBC1C03,CRPRYE,2022,0.0025000014740528985
REGION1,LNDAGRBC1C03,CRPRYE,2023,0.002500000096908488
REGION1,LNDAGRBC1C03,CRPRYE,2024,0.0024000007015968277
REGION1,LNDAGRBC1C03,CRPRYE,2025,0.002400001394844897
REGION1,LNDAGRBC1C03,CRPRYE,2026,0.0024000003756867506
REGION1,LNDAGRBC1C03,CRPRYE,2027,0.002400000212731712
REGION1,LNDAGRBC1C03,CRPRYE,2028,0.0023999985752588726
REGION1,LNDAGRBC1C03,CRPRYE,2029,0.002399998239468325
REGION1,LNDAGRBC1C03,CRPRYE,2030,0.002399997903677776
REGION1,LNDAGRBC1C03,CRPRYE,2031,0.0022999996063660824
REGION1,LNDAGRBC1C03,CRPRYE,2032,0.002299999443411043
REGION1,LNDAGRBC1C03,CRPRYE,2033,0.002300001274818578
REGION1,LNDAGRBC1C03,CRPRYE,2034,0.0023000030744191003
REGION1,LNDAGRBC1C03,CRPRYE,2035,0.0023000013800008267
REGION1,LNDAGRBC1C03,CRPRYE,2036,0.0023000013800008267
REGION1,LNDAGRBC1C03,CRPRYE,2037,0.0023000013800008262
REGION1,LNDAGRBC1C03,CRPRYE,2038,0.0023000013800008262
REGION1,LNDAGRBC1C03,CRPRYE,2039,0.002200001320035604
REGION1,LNDAGRBC1C03,CRPRYE,2040,0.002200001319962492
REGION1,LNDAGRBC1C03,CRPRYE,2041,0.002200001320049534
REGION1,LNDAGRBC1C03,CRPRYE,2042,0.002200001320000791
REGION1,LNDAGRBC1C03,CRPRYE,2043,0.002200001319989079
REGION1,LNDAGRBC1C03,CRPRYE,2044,0.0022000013200007833
REGION1,LNDAGRBC1C03,CRPRYE,2045,0.0022000013200009325
REGION1,LNDAGRBC1C03,CRPRYE,2046,0.002100001260003933
REGION1,LNDAGRBC1C03,CRPRYE,2047,0.0021000012686860905
REGION1,LNDAGRBC1C03,CRPRYE,2048,0.002100001268672215
REGION1,LNDAGRBC1C03,CRPRYE,2049,0.0021000012686861417
REGION1,LNDAGRBC1C03,CRPRYE,2050,0.002100001260000754
REGION1,LNDAGRBC1C03,CRPWHE,2021,0.07799987730356375
REGION1,LNDAGRBC1C03,CRPWHE,2022,0.07900004322643864
REGION1,LNDAGRBC1C03,CRPWHE,2023,0.0800000347255169
REGION1,LNDAGRBC1C03,CRPWHE,2024,0.0799999636363801
