REGION,TECHNOLOGY,DAYTYPE,YEAR,VALUE
REGION1,BATTERY,1,2021,0.18840983560449487
REGION1,BATTERY,1,2022,0.18840983560449487
REGION1,BATTERY,1,2023,0.18840983560449487
REGION1,BATTERY,1,2024,0.18840983560449487
REGION1,BATTERY,1,2025,0.18840983560449487
REGION1,BATTERY,1,2026,0.045575524224400366
REGION1,BATTERY,1,2027,0.04793760359477068
REGION1,BATTERY,1,2028,0.035416850355252855
REGION1,BATTERY,1,2029,0.11882425032770635
REGION1,BATTERY,1,2030,0.18062119081683128
REGION1,BATTERY,1,2031,0.2209073320875132
REGION1,BATTERY,1,2032,0.5136574651719853
REGION1,BATTERY,1,2033,0.8308189400307526
REGION1,BATTERY,1,2034,1.0595820955761883
REGION1,BATTERY,1,2035,1.2468788181012165
REGION1,BATTERY,1,2036,1.423722317432408
REGION1,BATTERY,1,2037,1.5893859547881382
REGION1,BATTERY,1,2038,1.7490858436764052
REGION1,BATTERY,1,2039,1.9264132986210545
REGION1,BATTERY,1,2040,2.1342428729804968
REGION1,BATTERY,1,2041,2.328182756007561
REGION1,BATTERY,1,2042,2.54083179050855
REGION1,BATTERY,1,2043,2.788146653809923
REGION1,BATTERY,1,2044,2.9514589748483573
REGION1,BATTERY,1,2045,3.069345147981932
REGION1,BATTERY,1,2046,3.204817934145602
REGION1,BATTERY,1,2047,3.291532167772983
REGION1,BATTERY,1,2048,3.3802316127452343
REGION1,BATTERY,1,2049,3.4659067060186968
REGION1,BATTERY,1,2050,3.7101266015740455
REGION1,BATTERY,2,2021,0.18840983560449487
REGION1,BATTERY,2,2022,0.18840983560449487
REGION1,BATTERY,2,2023,0.18840983560449487
REGION1,BATTERY,2,2024,0.18840983560449487
REGION1,BATTERY,2,2025,0.18840983560449487
REGION1,BATTERY,2,2026,0.0455827948150972
REGION1,BATTERY,2,2027,0.04804594115119241
REGION1,BATTERY,2,2028,0.03604052772351951
REGION1,BATTERY,2,2029,0.11846985342287018
REGION1,BATTERY,2,2030,0.18044248858670173
REGION1,BATTERY,2,2031,0.21905495171067593
REGION1,BATTERY,2,2032,0.5710870359598179
REGION1,BATTERY,2,2033,0.9298321994619652
REGION1,BATTERY,2,2034,1.1803805352312235
REGION1,BATTERY,2,2035,1.3811471651644536
REGION1,BATTERY,2,2036,1.5695959829641069
REGION1,BATTERY,2,2037,1.7462124193139157
REGION1,BATTERY,2,2038,1.9175452848686003
REGION1,BATTERY,2,2039,2.11141818689646
REGION1,BATTERY,2,2040,2.3378037837795835
REGION1,BATTERY,2,2041,2.5495767866893626
REGION1,BATTERY,2,2042,2.781995380928563
REGION1,BATTERY,2,2043,3.0502588361282887
REGION1,BATTERY,2,2044,3.2265536348431514
REGION1,BATTERY,2,2045,3.3364452599385013
REGION1,BATTERY,2,2046,3.46206674197382
REGION1,BATTERY,2,2047,3.5449048316813814
REGION1,BATTERY,2,2048,3.629647004140141
REGION1,BATTERY,2,2049,3.7112566534418856
REGION1,BATTERY,2,2050,3.840070685704835
REGION1,BATTERY,3,2021,0.18840983560449487
REGION1,BATTERY,3,2022,0.18840983560449487
REGION1,BATTERY,3,2023,0.18840983560449487
REGION1,BATTERY,3,2024,0.18840983560449487
REGION1,BATTERY,3,2025,0.1878942136583712
REGION1,BATTERY,3,2026,0.044953054113107904
REGION1,BATTERY,3,2027,0.04733823450421534
REGION1,BATTERY,3,2028,0.034385806136845005
REGION1,BATTERY,3,2029,0.1169960698944259
REGION1,BATTERY,3,2030,0.17804016978560086
