REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2020,2.2545454499999997
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2021,2.3663637
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2022,2.46469695
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2023,2.5230303
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2024,2.66575755
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2025,2.7486363000000003
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2026,2.8433334
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2027,2.9439394500000002
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2028,3.0507576000000003
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2029,3.13999995
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2030,3.2424242999999997
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2031,3.3424241999999995
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2032,3.4404546000000003
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2033,3.5377272
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2034,3.6386363999999998
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2035,3.7366666499999996
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2036,3.83530305
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2037,3.93424245
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2038,4.03348485
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2039,4.13181825
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2040,4.23090915
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2041,4.3296969
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2042,4.4284848
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2043,4.5272727
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2044,4.6262121
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2045,4.725
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2046,4.8237879
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2047,4.9227273
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2048,5.0215152
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2049,5.1203031
REGION1,SEA1D,DEMAGRDSL,AGRDSL,2050,5.21924235
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2022,-1.9529364000000003e-08
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2029,-1.62303705e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2033,2.087376e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2040,1.9775637e-08
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2041,2.10586215e-09
REGION1,SEA1D,DEMAGRELCB02,AGRELCB02,2045,-1.9343145e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2029,-9.381717450000001e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2033,1.20657573e-07
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2037,-3.7602114000000005e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2041,1.21726485e-07
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2042,-4.838532299999999e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2043,-6.0236279999999996e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2046,-2.6667042e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRWATBC1,2049,-2.98893765e-08
REGION1,SEA1D,DEMAGRSURBC1,AGRWATBC1,2020,0.061736796
REGION1,SEA1D,DEMAGRSURBC1,AGRWATBC1,2021,0.072075312
REGION1,SEA1D,DEMAGRSURBC1,AGRWATBC1,2022,0.076002102
