REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,-2.2563981932899324e-14
REGION1,CO2,2022,6.449159782595526e-14
REGION1,CO2,2023,-6.380486416990294e-14
REGION1,CO2,2024,3.924894479646803e-07
REGION1,CO2,2025,-7.749833760839486e-14
REGION1,CO2,2026,2.4403873019607225e-14
REGION1,CO2,2027,-2.0054664997149613e-07
REGION1,CO2,2028,-3.7129548292966913e-07
REGION1,CO2,2029,-8.41460723705837e-08
REGION1,CO2,2030,-2.643279004661478e-08
REGION1,CO2,2031,1.2497562508462755e-07
REGION1,CO2,2032,4.34326398765332e-07
REGION1,CO2,2033,3.8785804272792844e-07
REGION1,CO2,2034,5.519232999654563e-07
REGION1,CO2,2035,5.130355106399472e-07
REGION1,CO2,2036,8.169892581862733e-07
REGION1,CO2,2037,1.0460110049519307e-06
REGION1,CO2,2038,9.927834712182473e-07
REGION1,CO2,2039,1.3382631520798046e-06
REGION1,CO2,2040,1.4869713064317482e-06
REGION1,CO2,2041,1.7500917516286626e-06
REGION1,CO2,2042,1.822863804623381e-06
REGION1,CO2,2043,1.8522880431992052e-06
REGION1,CO2,2044,1.8611358472632629e-06
REGION1,CO2,2045,1.8248034746434685e-06
REGION1,CO2,2046,1.990238072747388e-06
REGION1,CO2,2047,2.0177757175281804e-06
REGION1,CO2,2048,2.0389211326016145e-06
REGION1,CO2,2049,2.0606444890538308e-06
REGION1,CO2,2050,2.056916376507725e-06
