REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,COMELCB02,103,2021,0.00011591037224876359
REGION1,COMELCB02,104,2021,0.0001216915178472828
REGION1,COMELCB02,105,2021,0.0001266901326879914
REGION1,COMELCB02,106,2021,0.00013196023779161388
REGION1,COMELCB02,107,2021,0.00013425992001864914
REGION1,COMELCB02,108,2021,0.0001354257311476323
REGION1,COMELCB02,109,2021,0.0001338127595856145
REGION1,COMELCB02,110,2021,0.00013291843871954525
REGION1,COMELCB02,111,2021,0.00013186441769882075
REGION1,COMELCB02,112,2021,0.00013366902944642481
REGION1,COMELCB02,113,2021,0.00014087150642137552
REGION1,COMELCB02,114,2021,0.00014772264305608476
REGION1,COMELCB02,115,2021,0.00014524729065892874
REGION1,COMELCB02,116,2021,0.00014181373733384138
REGION1,COMELCB02,117,2021,0.0001381086937458401
REGION1,COMELCB02,118,2021,0.000133094108889666
REGION1,COMELCB02,119,2021,0.0001250132810641115
REGION1,COMELCB02,120,2021,0.00011798647425928154
REGION1,COMELCB02,121,2021,0.00011361069002172832
REGION1,COMELCB02,122,2021,0.0001114068278874862
REGION1,COMELCB02,123,2021,0.00011072011722246872
REGION1,COMELCB02,124,2021,0.00011121518770189992
REGION1,COMELCB02,125,2021,0.00011385024025371116
REGION1,COMELCB02,126,2021,0.00012052570671829965
REGION1,COMELCB02,127,2021,0.00013194426777614836
REGION1,COMELCB02,128,2021,0.0001442890897309974
REGION1,COMELCB02,129,2021,0.00014793025325713656
REGION1,COMELCB02,130,2021,0.00014815383347365388
REGION1,COMELCB02,131,2021,0.0001474671228086364
REGION1,COMELCB02,132,2021,0.0001469880223446707
REGION1,COMELCB02,133,2021,0.0001459819113703428
REGION1,COMELCB02,134,2021,0.00014484804027229068
REGION1,COMELCB02,135,2021,0.0001439537194062214
REGION1,COMELCB02,136,2021,0.000145438930844515
REGION1,COMELCB02,137,2021,0.00015145962667501706
REGION1,COMELCB02,138,2021,0.00015481332992277683
REGION1,COMELCB02,139,2021,0.0001522581274482932
REGION1,COMELCB02,140,2021,0.00014780249313341238
REGION1,COMELCB02,141,2021,0.00014344267891132467
REGION1,COMELCB02,142,2021,0.00013783720348292623
REGION1,COMELCB02,143,2021,0.00012935712527073368
REGION1,COMELCB02,144,2021,0.0001216915178472828
REGION1,COMELCB02,145,2021,0.00011607007240341881
REGION1,COMELCB02,146,2021,0.00011447307085686654
REGION1,COMELCB02,147,2021,0.00011400994040836639
REGION1,COMELCB02,148,2021,0.0001146487410269873
REGION1,COMELCB02,149,2021,0.00011642141274366031
REGION1,COMELCB02,150,2021,0.0001223941985277658
REGION1,COMELCB02,151,2021,0.00013287052867314868
REGION1,COMELCB02,152,2021,0.0001440175994680835
REGION1,COMELCB02,153,2021,0.0001459978813858083
REGION1,COMELCB02,154,2021,0.00014451266994751472
REGION1,COMELCB02,155,2021,0.00014312327860201423
REGION1,COMELCB02,156,2021,0.0001424046279060657
REGION1,COMELCB02,157,2021,0.00014251641801432436
REGION1,COMELCB02,158,2021,0.0001416859772101172
REGION1,COMELCB02,159,2021,0.00014058404614299613
REGION1,COMELCB02,160,2021,0.0001409194164677721
REGION1,COMELCB02,161,2021,0.0001471956325457225
REGION1,COMELCB02,162,2021,0.00015145962667501706
REGION1,COMELCB02,163,2021,0.0001497188949892751
REGION1,COMELCB02,164,2021,0.00014588609127754967
REGION1,COMELCB02,165,2021,0.0001417019472255827
REGION1,COMELCB02,166,2021,0.00013590483161159798
REGION1,COMELCB02,167,2021,0.00012787191383244008
REGION1,COMELCB02,168,2021,0.00012044585664097203
REGION1,COMELCB02,169,2021,0.0001152875416456082
REGION1,COMELCB02,170,2021,0.00011329128971241787
REGION1,COMELCB02,171,2021,0.00011193383839784845
REGION1,COMELCB02,172,2021,0.00011131100779469306
REGION1,COMELCB02,173,2021,0.00011292397935671084
REGION1,COMELCB02,174,2021,0.00011939183562024754
REGION1,COMELCB02,175,2021,0.0001301396560285443
REGION1,COMELCB02,176,2021,0.00014264417813804854
REGION1,COMELCB02,177,2021,0.000145071620488808
REGION1,COMELCB02,178,2021,0.00014369819915877304
REGION1,COMELCB02,179,2021,0.00014248447798339333
REGION1,COMELCB02,180,2021,0.00014117493671522046
REGION1,COMELCB02,181,2021,0.00014021673578728912
REGION1,COMELCB02,182,2021,0.00013953002512227163
REGION1,COMELCB02,183,2021,0.0001392904748902888
REGION1,COMELCB02,184,2021,0.00014087150642137552
REGION1,COMELCB02,185,2021,0.00014721160256118805
REGION1,COMELCB02,186,2021,0.00015404676918043175
REGION1,COMELCB02,187,2021,0.00015292886809784516
