REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,100
REGION1,CO2,2022,999
REGION1,CO2,2023,999
REGION1,CO2,2024,999
REGION1,CO2,2025,999
REGION1,CO2,2026,999
REGION1,CO2,2027,999
REGION1,CO2,2028,999
REGION1,CO2,2029,999
REGION1,CO2,2030,999
REGION1,CO2,2031,999
REGION1,CO2,2032,999
REGION1,CO2,2033,999
REGION1,CO2,2034,999
REGION1,CO2,2035,999
REGION1,CO2,2036,999
REGION1,CO2,2037,999
REGION1,CO2,2038,999
REGION1,CO2,2039,999
REGION1,CO2,2040,999
REGION1,CO2,2041,999
REGION1,CO2,2042,999
REGION1,CO2,2043,999
REGION1,CO2,2044,999
REGION1,CO2,2045,999
REGION1,CO2,2046,999
REGION1,CO2,2047,999
REGION1,CO2,2048,999
REGION1,CO2,2049,999
REGION1,CO2,2050,999
