REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,COMELCB02,16,2026,0.0404263770032243
REGION1,COMELCB02,17,2026,0.0394962764851432
REGION1,COMELCB02,18,2026,0.0334487554458203
REGION1,COMELCB02,19,2026,0.0284446403424656
REGION1,COMELCB02,20,2026,0.0321974153913626
REGION1,COMELCB02,21,2026,0.0382885154375499
REGION1,COMELCB02,22,2026,0.0395236690037451
REGION1,COMELCB02,23,2026,0.0386981581021404
REGION1,COMELCB02,24,2026,0.033511011169921
REGION1,COMELCB02,25,2026,0.0256406425288857
REGION1,COMELCB02,26,2026,0.0299400228353959
REGION1,COMELCB02,27,2026,0.0353114467109621
REGION1,COMELCB02,28,2026,0.0376161536172407
REGION1,COMELCB02,29,2026,0.037522770031088
REGION1,COMELCB02,30,2026,0.0311851373174584
REGION1,COMELCB02,1,2027,0.0266728424345064
REGION1,COMELCB02,2,2027,0.0302400954255735
REGION1,COMELCB02,3,2027,0.0357509721231239
REGION1,COMELCB02,4,2027,0.0366424740922795
REGION1,COMELCB02,5,2027,0.0361606147877222
REGION1,COMELCB02,6,2027,0.0311564996843692
REGION1,COMELCB02,7,2027,0.0254725520738088
REGION1,COMELCB02,8,2027,0.0270837302135834
REGION1,COMELCB02,9,2027,0.0323742216478002
REGION1,COMELCB02,10,2027,0.033147437741155
REGION1,COMELCB02,11,2027,0.0335508548333451
REGION1,COMELCB02,12,2027,0.0300583087111922
REGION1,COMELCB02,13,2027,0.0292838475033683
REGION1,COMELCB02,14,2027,0.0326444114904097
REGION1,COMELCB02,15,2027,0.0385101458153579
REGION1,COMELCB02,16,2027,0.0404263770032243
REGION1,COMELCB02,17,2027,0.0394962764851432
REGION1,COMELCB02,18,2027,0.0334487554458203
REGION1,COMELCB02,19,2027,0.0284446403424656
REGION1,COMELCB02,20,2027,0.0321974153913626
REGION1,COMELCB02,21,2027,0.0382885154375499
REGION1,COMELCB02,22,2027,0.0395236690037451
REGION1,COMELCB02,23,2027,0.0386981581021404
REGION1,COMELCB02,24,2027,0.033511011169921
REGION1,COMELCB02,25,2027,0.0256406425288857
REGION1,COMELCB02,26,2027,0.0299400228353959
REGION1,COMELCB02,27,2027,0.0353114467109621
REGION1,COMELCB02,28,2027,0.0376161536172407
REGION1,COMELCB02,29,2027,0.037522770031088
REGION1,COMELCB02,30,2027,0.0311851373174584
REGION1,COMELCB02,1,2028,0.0266728424345064
REGION1,COMELCB02,2,2028,0.0302400954255735
REGION1,COMELCB02,3,2028,0.0357509721231239
REGION1,COMELCB02,4,2028,0.0366424740922795
