r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRDSL,DSL,2020,14.88
REGION1,DEMAGRDSL,DSL,2021,15.618
REGION1,DEMAGRDSL,DSL,2022,16.267
REGION1,DEMAGRDSL,DSL,2023,16.652
REGION1,DEMAGRDSL,DSL,2024,17.594
REGION1,DEMAGRDSL,DSL,2025,18.141
REGION1,DEMAGRDSL,DSL,2026,18.766
REGION1,DEMAGRDSL,DSL,2027,19.43
REGION1,DEMAGRDSL,DSL,2028,20.135
REGION1,DEMAGRDSL,DSL,2029,20.724
REGION1,DEMAGRDSL,DSL,2030,21.4
REGION1,DEMAGRDSL,DSL,2031,22.06
REGION1,DEMAGRDSL,DSL,2032,22.707
REGION1,DEMAGRDSL,DSL,2033,23.349
REGION1,DEMAGRDSL,DSL,2034,24.015
REGION1,DEMAGRDSL,DSL,2035,24.662
REGION1,DEMAGRDSL,DSL,2036,25.313
REGION1,DEMAGRDSL,DSL,2037,25.966
REGION1,DEMAGRDSL,DSL,2038,26.621
REGION1,DEMAGRDSL,DSL,2039,27.27
REGION1,DEMAGRDSL,DSL,2040,27.924
REGION1,DEMAGRDSL,DSL,2041,28.576
REGION1,DEMAGRDSL,DSL,2042,29.228
REGION1,DEMAGRDSL,DSL,2043,29.88
REGION1,DEMAGRDSL,DSL,2044,30.533
REGION1,DEMAGRDSL,DSL,2045,31.185
REGION1,DEMAGRDSL,DSL,2046,31.837
REGION1,DEMAGRDSL,DSL,2047,32.49
REGION1,DEMAGRDSL,DSL,2048,33.142
REGION1,DEMAGRDSL,DSL,2049,33.794
REGION1,DEMAGRDSL,DSL,2050,34.447
REGION1,DEMAGRSURBC1,WTRSURBC1,2020,0.3564
REGION1,DEMAGRSURBC1,WTRSURBC1,2021,0.4246
REGION1,DEMAGRSURBC1,WTRSURBC1,2022,0.4229
REGION1,DEMAGRSURBC1,WTRSURBC1,2023,0.4219
REGION1,DEMAGRSURBC1,WTRSURBC1,2024,0.4237
REGION1,DEMAGRSURBC1,WTRSURBC1,2025,0.4491
REGION1,DEMAGRSURBC1,WTRSURBC1,2026,0.4825
REGION1,DEMAGRSURBC1,WTRSURBC1,2027,0.5666
REGION1,DEMAGRSURBC1,WTRSURBC1,2028,0.604
REGION1,DEMAGRSURBC1,WTRSURBC1,2029,0.6357
REGION1,DEMAGRSURBC1,WTRSURBC1,2030,0.6719
REGION1,DEMAGRSURBC1,WTRSURBC1,2031,0.7074
REGION1,DEMAGRSURBC1,WTRSURBC1,2032,0.7341
REGION1,DEMAGRSURBC1,WTRSURBC1,2033,0.768
REGION1,DEMAGRSURBC1,WTRSURBC1,2034,0.801
REGION1,DEMAGRSURBC1,WTRSURBC1,2035,1.7057
REGION1,DEMAGRSURBC1,WTRSURBC1,2036,1.7947
REGION1,DEMAGRSURBC1,WTRSURBC1,2037,1.832
REGION1,DEMAGRSURBC1,WTRSURBC1,2038,1.8684
REGION1,DEMAGRSURBC1,WTRSURBC1,2039,1.9042
REGION1,DEMAGRSURBC1,WTRSURBC1,2040,1.9115
REGION1,DEMAGRSURBC1,WTRSURBC1,2041,1.9206
REGION1,DEMAGRSURBC1,WTRSURBC1,2042,1.9286
REGION1,DEMAGRSURBC1,WTRSURBC1,2043,1.9378
REGION1,DEMAGRSURBC1,WTRSURBC1,2044,1.9459
REGION1,DEMAGRSURBC1,WTRSURBC1,2045,1.9546
REGION1,DEMAGRSURBC1,WTRSURBC1,2046,1.9626
REGION1,DEMAGRSURBC1,WTRSURBC1,2047,1.9707
REGION1,DEMAGRSURBC1,WTRSURBC1,2048,1.9794
REGION1,DEMAGRSURBC1,WTRSURBC1,2049,1.9883
REGION1,DEMAGRSURBC1,WTRSURBC1,2050,1.9964
REGION1,DEMCOMBIO,BIO,2020,0.12
REGION1,DEMCOMBIO,BIO,2021,0.17
REGION1,DEMCOMBIO,BIO,2022,0.22
REGION1,DEMCOMBIO,BIO,2023,0.26
REGION1,DEMCOMBIO,BIO,2024,0.31
REGION1,DEMCOMBIO,BIO,2025,0.35
REGION1,DEMCOMBIO,BIO,2026,0.4
REGION1,DEMCOMBIO,BIO,2027,0.45
REGION1,DEMCOMBIO,BIO,2028,0.49
REGION1,DEMCOMBIO,BIO,2029,0.54
REGION1,DEMCOMBIO,BIO,2030,0.58
REGION1,DEMCOMBIO,BIO,2031,0.63
REGION1,DEMCOMBIO,BIO,2032,0.67
REGION1,DEMCOMBIO,BIO,2033,0.71
REGION1,DEMCOMBIO,BIO,2034,0.75
REGION1,DEMCOMBIO,BIO,2035,0.79
REGION1,DEMCOMBIO,BIO,2036,0.83
REGION1,DEMCOMBIO,BIO,2037,0.86
REGION1,DEMCOMBIO,BIO,2038,0.9
REGION1,DEMCOMBIO,BIO,2039,0.93
REGION1,DEMCOMBIO,BIO,2040,0.97
REGION1,DEMCOMBIO,BIO,2041,0.915
REGION1,DEMCOMBIO,BIO,2042,0.947
REGION1,DEMCOMBIO,BIO,2043,0.978
REGION1,DEMCOMBIO,BIO,2044,1.009
REGION1,DEMCOMBIO,BIO,2045,1.041
REGION1,DEMCOMBIO,BIO,2046,1.072
REGION1,DEMCOMBIO,BIO,2047,1.104
REGION1,DEMCOMBIO,BIO,2048,1.135
REGION1,DEMCOMBIO,BIO,2049,1.167
REGION1,DEMCOMBIO,BIO,2050,1.198
REGION1,DEMCOMELCB02,ELCB02,2020,57.0
REGION1,DEMCOMELCB02,ELCB02,2021,58.29
REGION1,DEMCOMELCB02,ELCB02,2022,59.36
REGION1,DEMCOMELCB02,ELCB02,2023,60.24
REGION1,DEMCOMELCB02,ELCB02,2024,60.96
REGION1,DEMCOMELCB02,ELCB02,2025,61.69
REGION1,DEMCOMELCB02,ELCB02,2026,62.83
REGION1,DEMCOMELCB02,ELCB02,2027,63.97
REGION1,DEMCOMELCB02,ELCB02,2028,65.11
REGION1,DEMCOMELCB02,ELCB02,2029,66.25
REGION1,DEMCOMELCB02,ELCB02,2030,67.39
REGION1,DEMCOMELCB02,ELCB02,2031,68.53
REGION1,DEMCOMELCB02,ELCB02,2032,69.67
REGION1,DEMCOMELCB02,ELCB02,2033,70.81
REGION1,DEMCOMELCB02,ELCB02,2034,71.95
REGION1,DEMCOMELCB02,ELCB02,2035,73.09
REGION1,DEMCOMELCB02,ELCB02,2036,74.23
REGION1,DEMCOMELCB02,ELCB02,2037,75.37
REGION1,DEMCOMELCB02,ELCB02,2038,76.51
REGION1,DEMCOMELCB02,ELCB02,2039,77.65
REGION1,DEMCOMELCB02,ELCB02,2040,78.79
REGION1,DEMCOMELCB02,ELCB02,2041,79.93
REGION1,DEMCOMELCB02,ELCB02,2042,81.07
REGION1,DEMCOMELCB02,ELCB02,2043,82.21
REGION1,DEMCOMELCB02,ELCB02,2044,83.35
REGION1,DEMCOMELCB02,ELCB02,2045,84.49
REGION1,DEMCOMELCB02,ELCB02,2046,85.63
REGION1,DEMCOMELCB02,ELCB02,2047,86.77
REGION1,DEMCOMELCB02,ELCB02,2048,87.91
REGION1,DEMCOMELCB02,ELCB02,2049,89.05
REGION1,DEMCOMELCB02,ELCB02,2050,90.19
REGION1,DEMCOMKER,KER,2020,10.57
REGION1,DEMCOMKER,KER,2021,10.8
REGION1,DEMCOMKER,KER,2022,11.0
REGION1,DEMCOMKER,KER,2023,11.17
REGION1,DEMCOMKER,KER,2024,11.33
REGION1,DEMCOMKER,KER,2025,11.48
REGION1,DEMCOMKER,KER,2026,11.65
REGION1,DEMCOMKER,KER,2027,11.83
REGION1,DEMCOMKER,KER,2028,12.03
REGION1,DEMCOMKER,KER,2029,12.23
REGION1,DEMCOMKER,KER,2030,12.41
REGION1,DEMCOMKER,KER,2031,12.57
REGION1,DEMCOMKER,KER,2032,12.73
REGION1,DEMCOMKER,KER,2033,12.87
REGION1,DEMCOMKER,KER,2034,13.02
REGION1,DEMCOMKER,KER,2035,13.16
REGION1,DEMCOMKER,KER,2036,13.29
REGION1,DEMCOMKER,KER,2037,13.4
REGION1,DEMCOMKER,KER,2038,13.51
REGION1,DEMCOMKER,KER,2039,13.6
REGION1,DEMCOMKER,KER,2040,13.7
REGION1,DEMCOMKER,KER,2041,14.196
REGION1,DEMCOMKER,KER,2042,14.384
REGION1,DEMCOMKER,KER,2043,14.573
REGION1,DEMCOMKER,KER,2044,14.761
REGION1,DEMCOMKER,KER,2045,14.949
REGION1,DEMCOMKER,KER,2046,15.137
REGION1,DEMCOMKER,KER,2047,15.325
REGION1,DEMCOMKER,KER,2048,15.513
REGION1,DEMCOMKER,KER,2049,15.701
REGION1,DEMCOMKER,KER,2050,15.89
REGION1,DEMCOMNGS,NGS,2020,84.05
REGION1,DEMCOMNGS,NGS,2021,84.1
REGION1,DEMCOMNGS,NGS,2022,84.04
REGION1,DEMCOMNGS,NGS,2023,84.11
REGION1,DEMCOMNGS,NGS,2024,84.63
REGION1,DEMCOMNGS,NGS,2025,85.66
REGION1,DEMCOMNGS,NGS,2026,82.23
REGION1,DEMCOMNGS,NGS,2027,78.81
REGION1,DEMCOMNGS,NGS,2028,75.38
REGION1,DEMCOMNGS,NGS,2029,71.95
REGION1,DEMCOMNGS,NGS,2030,68.53
REGION1,DEMCOMNGS,NGS,2031,65.1
REGION1,DEMCOMNGS,NGS,2032,61.68
REGION1,DEMCOMNGS,NGS,2033,58.25
REGION1,DEMCOMNGS,NGS,2034,54.82
REGION1,DEMCOMNGS,NGS,2035,51.4
REGION1,DEMCOMNGS,NGS,2036,47.97
REGION1,DEMCOMNGS,NGS,2037,44.54
REGION1,DEMCOMNGS,NGS,2038,41.12
REGION1,DEMCOMNGS,NGS,2039,37.69
REGION1,DEMCOMNGS,NGS,2040,34.26
REGION1,DEMCOMNGS,NGS,2041,30.84
REGION1,DEMCOMNGS,NGS,2042,27.41
REGION1,DEMCOMNGS,NGS,2043,23.99
REGION1,DEMCOMNGS,NGS,2044,20.56
REGION1,DEMCOMNGS,NGS,2045,17.13
REGION1,DEMCOMNGS,NGS,2046,13.71
REGION1,DEMCOMNGS,NGS,2047,10.28
REGION1,DEMCOMNGS,NGS,2048,6.85
REGION1,DEMCOMNGS,NGS,2049,3.43
REGION1,DEMCOMNGS,NGS,2050,0.001
REGION1,DEMINDBIO,BIO,2020,160.04
REGION1,DEMINDBIO,BIO,2021,160.69
REGION1,DEMINDBIO,BIO,2022,161.12
REGION1,DEMINDBIO,BIO,2023,161.83
REGION1,DEMINDBIO,BIO,2024,162.64
REGION1,DEMINDBIO,BIO,2025,162.14
REGION1,DEMINDBIO,BIO,2026,161.92
REGION1,DEMINDBIO,BIO,2027,161.8201
REGION1,DEMINDBIO,BIO,2028,161.68
REGION1,DEMINDBIO,BIO,2029,161.08
REGION1,DEMINDBIO,BIO,2030,160.31
REGION1,DEMINDBIO,BIO,2031,159.32
REGION1,DEMINDBIO,BIO,2032,158.18
REGION1,DEMINDBIO,BIO,2033,156.9
REGION1,DEMINDBIO,BIO,2034,155.39
REGION1,DEMINDBIO,BIO,2035,154.1
REGION1,DEMINDBIO,BIO,2036,152.78
REGION1,DEMINDBIO,BIO,2037,151.47
REGION1,DEMINDBIO,BIO,2038,150.21
REGION1,DEMINDBIO,BIO,2039,149.0199
REGION1,DEMINDBIO,BIO,2040,147.87
REGION1,DEMINDBIO,BIO,2041,147.372
REGION1,DEMINDBIO,BIO,2042,146.2771
REGION1,DEMINDBIO,BIO,2043,145.181
REGION1,DEMINDBIO,BIO,2044,144.085
REGION1,DEMINDBIO,BIO,2045,142.99
REGION1,DEMINDBIO,BIO,2046,141.894
REGION1,DEMINDBIO,BIO,2047,140.799
REGION1,DEMINDBIO,BIO,2048,139.703
REGION1,DEMINDBIO,BIO,2049,138.608
REGION1,DEMINDBIO,BIO,2050,137.512
REGION1,DEMINDDSL,DSL,2020,108.46
REGION1,DEMINDDSL,DSL,2021,108.13
REGION1,DEMINDDSL,DSL,2022,107.38
REGION1,DEMINDDSL,DSL,2023,106.95
REGION1,DEMINDDSL,DSL,2024,107.33
REGION1,DEMINDDSL,DSL,2025,108.15
