y,Capital costs,Fixed costs,Variable costs,Fuel costs
2020,2.233027104093004,2.6550385237691656,0.24185838662454734,0.0018060113358400525
2021,2.426194005724767,2.6597624829260886,0.23822127788738806,0.0018291897701683938
2022,2.607934874705739,2.6641881684242015,0.23479732256375735,0.0018506696458375279
2023,2.79890547608171,2.668758882220831,0.23119067781009534,0.0018736180507681712
2024,3.203204632620049,2.6227480175906366,0.3239243048582015,0.2105532670975017
2025,5.302838286567716,2.710004412463512,0.21998879913108413,0.0019340315645512672
2026,5.4611028383383005,2.773849845506541,0.24965748471500884,0.002083370303465202
2027,5.72506106042683,2.8101800174210405,0.26654353647127144,0.0021685959234008035
2028,5.959010384525462,2.8423402905538286,0.2815120852629576,0.002243836322633313
2029,6.178479443845385,2.872593563691981,0.2955501451446765,0.0023148224820577095
2030,6.4693448480457905,2.9126195711929634,0.3141579622503207,0.002408511846294455
2031,6.7753892222473295,2.9547374545020584,0.33373679813831375,0.002507289651974211
2032,7.059796789322717,2.9938721442534937,0.35193184139118255,0.002599124933432613
2033,7.248074029875891,3.0198088586128593,0.36397545342186194,0.002659571951057032
2034,7.40937114248862,3.041971119748078,0.3742960083974013,0.0027115473730392682
2035,7.611769192159633,3.0344648155405025,0.3870475284106813,0.0027710856496722933
2036,7.774547811520314,3.0573143724975838,0.39746541488333553,0.002823690961304608
2037,8.007036867718602,3.086987797570409,0.41198017105191476,0.0028880116951765715
2038,8.286767759517613,3.1128284862643993,0.42250463224039314,0.002939130998221099
2039,8.570205189741214,3.1198138488018,0.4379809347279227,0.04619159191383753
2040,8.755922320137323,3.134479669913561,0.4645742041626407,0.11168603390249897
2041,8.954796157708595,3.1502580263428683,0.49301450915826306,0.1816835643319628
2042,9.131933189961382,3.164334949115549,0.5183506332005178,0.24404572557429896
2043,9.439066502567972,3.188180042569174,0.557483410542131,0.33408749096007373
2044,9.604590275294331,3.2012746503237284,0.5812430188306233,0.3926800319712756
2045,11.194752447634777,3.215171597921799,0.6060016586579506,0.4530260847992358
2046,11.59632074971629,3.2245961760739745,0.6212579464457715,0.49385322254446906
2047,11.982566959685347,3.2336786419077965,0.6360814570008798,0.5335521317443106
2048,12.371339547442584,3.242637708382249,0.6505822963136888,0.5723568757686667
2049,12.986585270664332,3.251225100294506,0.6646947104793266,0.6101767856406362
2050,11.881720064380051,3.2596774710800602,0.6784785247967015,0.6470892175439237
