REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,COMELCB02,3,2047,0.2745180878633599
REGION1,COMELCB02,4,2047,0.2498943797411001
REGION1,COMELCB02,1,2048,0.2091281126448595
REGION1,COMELCB02,2,2048,0.2664594197506804
REGION1,COMELCB02,3,2048,0.2745180878633599
REGION1,COMELCB02,4,2048,0.2498943797411001
REGION1,COMELCB02,1,2049,0.2091281126448595
REGION1,COMELCB02,2,2049,0.2664594197506804
REGION1,COMELCB02,3,2049,0.2745180878633599
REGION1,COMELCB02,4,2049,0.2498943797411001
REGION1,COMELCB02,1,2050,0.2091281126448595
REGION1,COMELCB02,2,2050,0.2664594197506804
REGION1,COMELCB02,3,2050,0.2745180878633599
REGION1,COMELCB02,4,2050,0.2498943797411001
REGION1,INDELCB02,1,2021,0.2091281126448595
REGION1,INDELCB02,2,2021,0.2664594197506804
REGION1,INDELCB02,3,2021,0.2745180878633599
REGION1,INDELCB02,4,2021,0.2498943797411001
REGION1,INDELCB02,1,2022,0.2091281126448595
REGION1,INDELCB02,2,2022,0.2664594197506804
REGION1,INDELCB02,3,2022,0.2745180878633599
REGION1,INDELCB02,4,2022,0.2498943797411001
REGION1,INDELCB02,1,2023,0.2091281126448595
REGION1,INDELCB02,2,2023,0.2664594197506804
REGION1,INDELCB02,3,2023,0.2745180878633599
REGION1,INDELCB02,4,2023,0.2498943797411001
REGION1,INDELCB02,1,2024,0.2091281126448595
REGION1,INDELCB02,2,2024,0.2664594197506804
REGION1,INDELCB02,3,2024,0.2745180878633599
REGION1,INDELCB02,4,2024,0.2498943797411001
REGION1,INDELCB02,1,2025,0.2091281126448595
REGION1,INDELCB02,2,2025,0.2664594197506804
REGION1,INDELCB02,3,2025,0.2745180878633599
REGION1,INDELCB02,4,2025,0.2498943797411001
REGION1,INDELCB02,1,2026,0.2091281126448595
REGION1,INDELCB02,2,2026,0.2664594197506804
REGION1,INDELCB02,3,2026,0.2745180878633599
REGION1,INDELCB02,4,2026,0.2498943797411001
REGION1,INDELCB02,1,2027,0.2091281126448595
REGION1,INDELCB02,2,2027,0.2664594197506804
