REGION,EMISSION,VALUE
REGION1,CO2,100000
REGION1,CH4_FER,100000
REGION1,CH4_MAN,100000
REGION1,N2O_MAN,100000
REGION1,N2O_DIR,100000
REGION1,N2O_IND,100000
