y,Capital costs,Fixed costs,Variable costs,Fuel costs
2020,1.6541062474345225,2.5386254719161725,0.24185838662454734,0.0018060113358400525
2021,1.7971938913713406,2.5332793291850053,0.23822127788738806,0.0018291897701683938
2022,1.778789410212705,2.498192730536235,0.3030663375962904,0.1356557792716891
2023,1.7513488607896674,2.4596542837156212,0.37480983763484405,0.2833586847034254
2024,1.7185110696498613,2.4135357658959538,0.46086813583815023,0.4605161879749175
2025,3.8778363095254704,2.4799656795103138,0.22221526377242332,0.0017783122087113694
2026,4.060369574395334,2.4724024831867566,0.2166304535264701,0.001817219567896101
2027,4.141877212743178,2.469096239729997,0.2141458425663928,0.0018347924807436918
2028,4.197833759391762,2.466750870785567,0.21243042169693283,0.0018467141424820875
2029,4.251140201061447,2.464535753833764,0.21079863091842554,0.0018583258232167652
2030,4.3492967582272115,2.460563641174914,0.20780762106377348,0.0018791183140418276
2031,4.454621162540024,2.4561753117775393,0.2045820715704471,0.0019019023983773433
2032,4.555858490292327,2.4520048100048104,0.20148757415424084,0.0019236751272578465
2033,4.616098869937253,2.449574873701268,0.19965303593556383,0.0019365541177906532
2034,4.6497436784788055,2.448129148492319,0.19861685315127378,0.0019435278257873816
2035,4.712183201875321,2.407234564021995,0.19745577376276513,0.0019519184892440643
2036,4.753851670583978,2.405742648436037,0.19617406505587814,0.0019607285435371325
2037,4.844254720559318,2.401560252913464,0.1947827299776841,0.0019706317064441064
2038,4.958187301797955,2.39958563705615,0.19304460007371915,0.0019827466286630887
2039,5.051642243635185,2.3944245228455756,0.19132020334236402,0.001994748063257576
2040,5.105919141501665,2.3925510604277918,0.18962078016110057,0.0020067968814189295
2041,5.1524029728270015,2.390933121781823,0.1881693809124656,0.002017109408550222
2042,5.193758360868819,2.400728838728839,0.1918969408969409,0.0020424625722642127
2043,5.302849604274968,2.431538529541771,0.20625843524384846,0.0020981273463329194
2044,5.33804058437072,2.4493666851846436,0.2136598345077629,0.002133860815462646
2045,6.62349940755947,2.473954507209795,0.22429164128006499,0.002178327052376735
2046,6.761942453338185,2.5190878728550037,0.24409132788206842,0.0022492406378716396
2047,6.790405441138843,2.537196125492885,0.25164409394822557,0.0022843905090660266
2048,6.813345848769812,2.553704911524501,0.2584837227767695,0.002317358750780127
2049,6.83597351560138,2.5699814241486068,0.2652243174781874,0.002350113345902906
2050,5.6722279547244865,2.5880631373096805,0.2718686967453555,0.0023821704673833294
