r,t,y,SalvageValue
REGION1,LNDALFLRBC1,2037,0.0771
REGION1,LNDALFLRBC1,2038,0.1962
REGION1,LNDALFLRBC1,2039,0.2108
REGION1,LNDALFLRBC1,2040,0.2687
REGION1,LNDALFLRBC1,2041,0.4284
REGION1,LNDALFLRBC1,2042,0.4922
REGION1,LNDALFLRBC1,2043,0.4127
REGION1,LNDALFLRBC1,2044,0.4522
REGION1,LNDALFLRBC1,2045,0.6509
REGION1,LNDALFLRBC1,2046,0.5209
REGION1,LNDALFLRBC1,2047,0.5506
REGION1,LNDALFLRBC1,2048,0.7701
REGION1,LNDALFLRBC1,2049,0.8028
REGION1,LNDALFLRBC1,2050,287.6646
REGION1,LNDBRLLRBC1,2050,1.7343
REGION1,LNDMAILRBC1,2037,0.4599
REGION1,LNDMAILRBC1,2038,0.9878
REGION1,LNDMAILRBC1,2039,0.3145
REGION1,LNDMAILRBC1,2040,0.8018
REGION1,LNDMAILRBC1,2041,2.637
REGION1,LNDMAILRBC1,2045,1.0926
REGION1,LNDMAILRBC1,2046,0.7772
REGION1,LNDMAILRBC1,2047,0.8215
REGION1,LNDMAILRBC1,2048,0.8618
REGION1,LNDMAILRBC1,2049,0.8984
REGION1,LNDMAILRBC1,2050,165.3809
REGION1,LNDOATLRBC1,2037,0.0186
REGION1,LNDOATLRBC1,2038,0.0177
REGION1,LNDOATLRBC1,2039,0.0254
REGION1,LNDOATLRBC1,2040,0.0648
REGION1,LNDOATLRBC1,2041,0.0387
REGION1,LNDOATLRBC1,2042,0.0445
REGION1,LNDOATLRBC1,2043,0.0995
REGION1,LNDOATLRBC1,2044,0.0545
REGION1,LNDOATLRBC1,2045,0.0588
REGION1,LNDOATLRBC1,2046,0.0628
REGION1,LNDOATLRBC1,2047,0.1327
REGION1,LNDOATLRBC1,2048,0.0696
REGION1,LNDOATLRBC1,2049,0.0726
REGION1,LNDOATLRBC1,2050,4.44
REGION1,LNDOTHIIBC1,2037,1.2583
REGION1,LNDOTHIIBC1,2038,2.4021
REGION1,LNDOTHIIBC1,2039,3.442
REGION1,LNDOTHIIBC1,2040,4.3874
REGION1,LNDOTHIIBC1,2041,5.2468
REGION1,LNDOTHIIBC1,2042,6.0281
REGION1,LNDOTHIIBC1,2043,6.7383
REGION1,LNDOTHIIBC1,2044,7.384
REGION1,LNDOTHIIBC1,2045,7.971
REGION1,LNDOTHIIBC1,2046,8.5046
REGION1,LNDOTHIIBC1,2047,8.9897
REGION1,LNDOTHIIBC1,2048,9.4308
REGION1,LNDOTHIIBC1,2049,9.8317
REGION1,LNDOTHIIBC1,2050,121.6256
REGION1,LNDPEALRBC1,2037,0.0508
REGION1,LNDPEALRBC1,2038,0.0485
REGION1,LNDPEALRBC1,2039,0.1391
REGION1,LNDPEALRBC1,2040,0.0886
REGION1,LNDPEALRBC1,2041,0.106
REGION1,LNDPEALRBC1,2042,0.2435
REGION1,LNDPEALRBC1,2043,0.1361
REGION1,LNDPEALRBC1,2044,0.2983
REGION1,LNDPEALRBC1,2045,0.161
REGION1,LNDPEALRBC1,2046,0.1718
REGION1,LNDPEALRBC1,2047,0.3632
REGION1,LNDPEALRBC1,2048,0.1905
REGION1,LNDPEALRBC1,2049,0.3972
REGION1,LNDPEALRBC1,2050,3.3983
REGION1,LNDPTWLRBC1,2050,0.0036
REGION1,LNDRAPLRBC1,2037,0.0629
REGION1,LNDRAPLRBC1,2038,0.12
REGION1,LNDRAPLRBC1,2039,0.172
REGION1,LNDRAPLRBC1,2040,0.2193
REGION1,LNDRAPLRBC1,2041,0.2622
REGION1,LNDRAPLRBC1,2042,0.3012
REGION1,LNDRAPLRBC1,2043,0.4041
REGION1,LNDRAPLRBC1,2044,0.2952
REGION1,LNDRAPLRBC1,2045,0.478
REGION1,LNDRAPLRBC1,2046,0.425
REGION1,LNDRAPLRBC1,2047,0.4492
REGION1,LNDRAPLRBC1,2048,0.4713
REGION1,LNDRAPLRBC1,2049,0.4913
REGION1,LNDRAPLRBC1,2050,6.2163
REGION1,LNDRYELRBC1,2050,0.0908
REGION1,LNDWHELRBC1,2037,0.011
REGION1,LNDWHELRBC1,2038,0.021
REGION1,LNDWHELRBC1,2039,0.015
REGION1,LNDWHELRBC1,2040,0.0383
REGION1,LNDWHELRBC1,2041,0.0458
REGION1,LNDWHELRBC1,2042,0.0526
REGION1,LNDWHELRBC1,2043,0.0294
REGION1,LNDWHELRBC1,2044,0.0644
REGION1,LNDWHELRBC1,2045,0.0695
REGION1,LNDWHELRBC1,2046,0.0742
REGION1,LNDWHELRBC1,2047,0.0784
REGION1,LNDWHELRBC1,2048,0.0823
REGION1,LNDWHELRBC1,2049,0.0429
REGION1,LNDWHELRBC1,2050,2.3568
REGION1,MINNGS,2020,3.9663
REGION1,MINNGS,2022,0.024
REGION1,MINNGS,2023,0.1097
REGION1,MINNGS,2024,0.2641
REGION1,MINNGS,2026,0.2479
REGION1,MINNGS,2027,0.1106
REGION1,MINNGS,2028,0.0411
REGION1,MINNGS,2029,0.0436
REGION1,MINNGS,2030,0.2076
REGION1,MINNGS,2031,0.288
REGION1,MINNGS,2032,0.191
REGION1,MINNGS,2033,0.0049
REGION1,MINNGS,2034,0.0083
REGION1,MINNGS,2035,0.0179
REGION1,MINNGS,2036,0.0192
REGION1,MINNGS,2037,0.0087
REGION1,MINNGS,2038,0.0112
REGION1,MINNGS,2039,0.0139
REGION1,MINNGS,2040,0.0147
REGION1,MINNGS,2041,0.298
REGION1,MINNGS,2042,0.0789
REGION1,MINNGS,2043,0.0789
REGION1,MINNGS,2044,0.0789
REGION1,MINNGS,2045,0.0789
REGION1,MINNGS,2046,0.0789
REGION1,MINNGS,2047,0.0789
REGION1,MINNGS,2048,0.0789
REGION1,MINNGS,2049,0.0789
REGION1,MINNGS,2050,0.0789
REGION1,PWRGEOB01,2042,136.0673
REGION1,PWRGEOB01,2043,419.6609
REGION1,PWRGEOB01,2044,241.149
REGION1,PWRGEOB01,2045,332.8477
REGION1,PWRGEOB01,2046,589.8419
REGION1,PWRGEOB01,2047,260.703
REGION1,PWRGEOB01,2048,244.6906
REGION1,PWRGEOB01,2049,245.4672
REGION1,PWRGEOB01,2050,245.9773
REGION1,PWRHYDB01,2025,5637.2244
REGION1,PWRNGSB01,2050,44.3675
REGION1,PWRWNDB03,2027,35.5302
REGION1,PWRWNDB03,2028,47.5925
REGION1,PWRWNDB03,2029,65.9646
REGION1,PWRWNDB03,2030,158.0088
REGION1,PWRWNDB03,2031,209.3618
REGION1,PWRWNDB03,2032,238.3048
REGION1,PWRWNDB03,2033,162.2004
REGION1,PWRWNDB03,2034,101.1768
REGION1,PWRWNDB03,2035,170.8558
REGION1,PWRWNDB03,2036,148.0266
REGION1,PWRWNDB03,2037,270.5012
REGION1,PWRWNDB03,2038,362.5705
REGION1,PWRWNDB03,2039,334.3883
REGION1,PWRWNDB03,2040,252.0428
REGION1,PWRWNDB03,2041,226.3111
REGION1,PWRWNDB03,2042,103.5076
REGION1,PWRWNDB03,2043,42.3659
REGION1,PWRWNDB03,2045,3660.1839
REGION1,PWRWNDB03,2046,19.3736
