r,t,TotalTechnologyModelPeriodActivity
REGION1,DEMAGRDSL,764.606
REGION1,DEMAGRSURBC1,8.9801
REGION1,DEMCOMBIO,22.496
REGION1,DEMCOMELCB02,2093.008
REGION1,DEMCOMKER,408.779
REGION1,DEMCOMNGS,2986.405
REGION1,DEMINDBIO,4734.931
REGION1,DEMINDDSL,3489.091
REGION1,DEMINDELCB02,3317.883
REGION1,DEMINDNGS,10130.34
REGION1,DEMPUBSURBC1,31.02
REGION1,DEMPWRBIO,1143.8851
REGION1,DEMPWRGEO,1005.4536
REGION1,DEMPWRHYD,7984.5793
REGION1,DEMPWRNGS,66.4434
REGION1,DEMPWRSOL,0.3293
REGION1,DEMPWRSURBC1,12.5548
REGION1,DEMPWRWND,8242.768
REGION1,DEMRESBIO,477.455
REGION1,DEMRESELCB02,2804.126
REGION1,DEMRESKER,18.31
REGION1,DEMRESNGS,2966.527
REGION1,DEMTRABIO,611.057
REGION1,DEMTRADSL,2727.176
REGION1,DEMTRAELCB02,575.649
REGION1,DEMTRAGSL,3493.473
REGION1,DEMTRAHFO,263.531
REGION1,DEMTRAJFL,1331.151
REGION1,DEMTRALPG,85.44
REGION1,DEMTRANGS,298.679
REGION1,IMPDSL,6980.873
REGION1,IMPGSL,3493.473
REGION1,IMPHFO,263.531
REGION1,IMPJFL,1331.151
REGION1,IMPKER,427.089
REGION1,IMPLPG,85.44
REGION1,LNDAGRBC1C01,8608.411
REGION1,LNDAGRBC1C02,834.5853
REGION1,LNDAGRBC1C03,2132.3105
REGION1,LNDAGRBC1C04,337.6492
REGION1,LNDAGRBC1C05,16250.002
REGION1,LNDAGRBC1C06,106.2422
REGION1,LNDAGRBC1C07,405.8
REGION1,LNDALFLRBC1,960.8936
REGION1,LNDBARBC1,4598.6082
REGION1,LNDBLTBC1,199.5534
REGION1,LNDBRLLRBC1,6.2091
REGION1,LNDFORBC1,15649.575
REGION1,LNDGRSBC1,4926.0273
REGION1,LNDMAILRBC1,818.5714
REGION1,LNDOATLRBC1,17.0
REGION1,LNDOTHIIBC1,95.5333
REGION1,LNDPEALRBC1,16.6526
REGION1,LNDPTWLRBC1,0.0114
REGION1,LNDRAPLRBC1,38.9375
REGION1,LNDRYELRBC1,0.5021
REGION1,LNDWATBC1,1334.3163
REGION1,LNDWHELRBC1,12.6091
REGION1,MINLNDBC1,28675.0
REGION1,MINNGS,16448.394
REGION1,MINPRCBC1,22478.168
REGION1,PWRBIOB01,37.2618
REGION1,PWRBIOB02,116.7215
REGION1,PWRBIOB03,24.9703
REGION1,PWRBIOB04,162.0164
REGION1,PWRBIOB05,60.3932
REGION1,PWRGEOB01,150.7427
REGION1,PWRHYDB01,1944.3122
REGION1,PWRHYDB02,373.9733
REGION1,PWRHYDB03,123.0124
REGION1,PWRHYDB04,362.3592
REGION1,PWRHYDB05,23.2282
REGION1,PWRHYDB06,825.0835
REGION1,PWRHYDB07,18.1954
REGION1,PWRHYDB08,284.5449
REGION1,PWRHYDB09,1027.8459
REGION1,PWRHYDB10,936.0947
REGION1,PWRHYDB11,391.9751
REGION1,PWRHYDB12,394.8786
REGION1,PWRNGSB01,24.6087
REGION1,PWRSOLB01,0.1156
REGION1,PWRTRNB01,8790.666
REGION1,PWRWNDB01,22.2683
REGION1,PWRWNDB02,10.4097
REGION1,PWRWNDB03,2358.3837
REGION1,PWRWNDB04,44.7334
REGION1,PWRWNDB05,6.7088
REGION1,PWRWNDB06,21.3777
REGION1,PWRWNDB07,5.4532
REGION1,PWRWNDB08,5.9709
REGION1,RNWBIO,6989.8241
REGION1,RNWGEO,1005.4536
REGION1,RNWHYD,7984.5793
REGION1,RNWSOL,0.3293
REGION1,RNWWND,8242.768
