r,t,e,y,AnnualTechnologyEmission
REGION1,DEMAGRDSL,CO2,2020,1.0386
REGION1,DEMAGRDSL,CO2,2021,1.0901
REGION1,DEMAGRDSL,CO2,2022,1.1354
REGION1,DEMAGRDSL,CO2,2023,1.1623
REGION1,DEMAGRDSL,CO2,2024,1.2281
REGION1,DEMAGRDSL,CO2,2025,1.2662
REGION1,DEMAGRDSL,CO2,2026,1.2156
REGION1,DEMAGRDSL,CO2,2027,1.1649
REGION1,DEMAGRDSL,CO2,2028,1.1143
REGION1,DEMAGRDSL,CO2,2029,1.0636
REGION1,DEMAGRDSL,CO2,2030,1.013
REGION1,DEMAGRDSL,CO2,2031,0.9623
REGION1,DEMAGRDSL,CO2,2032,0.9117
REGION1,DEMAGRDSL,CO2,2033,0.8611
REGION1,DEMAGRDSL,CO2,2034,0.8104
REGION1,DEMAGRDSL,CO2,2035,0.7598
REGION1,DEMAGRDSL,CO2,2036,0.7091
REGION1,DEMAGRDSL,CO2,2037,0.6585
REGION1,DEMAGRDSL,CO2,2038,0.6078
REGION1,DEMAGRDSL,CO2,2039,0.5571
REGION1,DEMAGRDSL,CO2,2040,0.5065
REGION1,DEMAGRDSL,CO2,2041,0.4559
REGION1,DEMAGRDSL,CO2,2042,0.4053
REGION1,DEMAGRDSL,CO2,2043,0.3546
REGION1,DEMAGRDSL,CO2,2044,0.3039
REGION1,DEMAGRDSL,CO2,2045,0.2533
REGION1,DEMAGRDSL,CO2,2046,0.2026
REGION1,DEMAGRDSL,CO2,2047,0.152
REGION1,DEMAGRDSL,CO2,2048,0.1013
REGION1,DEMAGRDSL,CO2,2049,0.0507
REGION1,DEMCOMBIO,CO2,2020,0.0084
REGION1,DEMCOMBIO,CO2,2021,0.0119
REGION1,DEMCOMBIO,CO2,2022,0.0154
REGION1,DEMCOMBIO,CO2,2023,0.0182
REGION1,DEMCOMBIO,CO2,2024,0.0217
REGION1,DEMCOMBIO,CO2,2025,0.0245
REGION1,DEMCOMBIO,CO2,2026,0.0238
REGION1,DEMCOMBIO,CO2,2027,0.0224
REGION1,DEMCOMBIO,CO2,2028,0.0217
REGION1,DEMCOMBIO,CO2,2029,0.0203
REGION1,DEMCOMBIO,CO2,2030,0.0196
REGION1,DEMCOMBIO,CO2,2031,0.0189
REGION1,DEMCOMBIO,CO2,2032,0.0175
REGION1,DEMCOMBIO,CO2,2033,0.0168
REGION1,DEMCOMBIO,CO2,2034,0.0154
REGION1,DEMCOMBIO,CO2,2035,0.0147
REGION1,DEMCOMBIO,CO2,2036,0.014
REGION1,DEMCOMBIO,CO2,2037,0.0126
REGION1,DEMCOMBIO,CO2,2038,0.0119
REGION1,DEMCOMBIO,CO2,2039,0.0105
REGION1,DEMCOMBIO,CO2,2040,0.0098
REGION1,DEMCOMBIO,CO2,2041,0.0091
REGION1,DEMCOMBIO,CO2,2042,0.0077
REGION1,DEMCOMBIO,CO2,2043,0.007
REGION1,DEMCOMBIO,CO2,2044,0.0056
REGION1,DEMCOMBIO,CO2,2045,0.0049
REGION1,DEMCOMBIO,CO2,2046,0.0042
REGION1,DEMCOMBIO,CO2,2047,0.0028
REGION1,DEMCOMBIO,CO2,2048,0.0021
REGION1,DEMCOMBIO,CO2,2049,0.0007
REGION1,DEMCOMKER,CO2,2020,0.7558
REGION1,DEMCOMKER,CO2,2021,0.7722
REGION1,DEMCOMKER,CO2,2022,0.7865
REGION1,DEMCOMKER,CO2,2023,0.7987
REGION1,DEMCOMKER,CO2,2024,0.8101
REGION1,DEMCOMKER,CO2,2025,0.8208
REGION1,DEMCOMKER,CO2,2026,0.7879
REGION1,DEMCOMKER,CO2,2027,0.755
REGION1,DEMCOMKER,CO2,2028,0.7222
REGION1,DEMCOMKER,CO2,2029,0.6893
REGION1,DEMCOMKER,CO2,2030,0.6564
REGION1,DEMCOMKER,CO2,2031,0.6242
REGION1,DEMCOMKER,CO2,2032,0.5913
REGION1,DEMCOMKER,CO2,2033,0.5584
REGION1,DEMCOMKER,CO2,2034,0.5255
REGION1,DEMCOMKER,CO2,2035,0.4926
REGION1,DEMCOMKER,CO2,2036,0.4597
