r,t,y,DiscountedSalvageValue
REGION1,LNDRYEHRBC1,2047,0.0055
REGION1,LNDRYEHRBC1,2048,0.0062
REGION1,LNDRYEHRBC1,2049,0.0064
REGION1,LNDRYEHRBC1,2050,0.0055
REGION1,LNDWHEHRBC1,2037,0.0009
REGION1,LNDWHEHRBC1,2038,0.0017
REGION1,LNDWHEHRBC1,2039,0.0024
REGION1,LNDWHEHRBC1,2040,0.0031
REGION1,LNDWHEHRBC1,2041,0.0037
REGION1,LNDWHEHRBC1,2042,0.0042
REGION1,LNDWHEHRBC1,2044,0.0052
REGION1,LNDWHEHRBC1,2045,0.0056
REGION1,LNDWHEHRBC1,2046,0.0199
REGION1,LNDWHEHRBC1,2047,0.1458
REGION1,LNDWHEHRBC1,2048,0.1529
REGION1,LNDWHEHRBC1,2049,0.1525
REGION1,LNDWHEHRBC1,2050,0.1653
REGION1,MINNGS,2020,0.4421
REGION1,MINNGS,2049,0.0342
REGION1,MINURN,2024,0.0461
REGION1,MINURN,2026,0.0035
REGION1,MINURN,2027,0.0206
REGION1,MINURN,2028,0.0196
REGION1,MINURN,2029,0.0184
REGION1,MINURN,2030,0.0212
REGION1,MINURN,2031,0.082
REGION1,MINURN,2032,0.0818
REGION1,MINURN,2033,0.0813
REGION1,MINURN,2034,0.0805
REGION1,MINURN,2035,0.0374
REGION1,PWRGEOB01,2025,39.5763
REGION1,PWRGEOB02,2025,514.4918
REGION1,PWRGEOB03,2035,333.0935
REGION1,PWRGEOB03,2036,614.4
REGION1,PWRHYDB13,2025,293.692
REGION1,PWRHYDB13,2038,489.7464
REGION1,PWRHYDB13,2039,683.9606
REGION1,PWRHYDB13,2040,641.1612
REGION1,PWRHYDB13,2041,649.571
REGION1,PWRHYDB13,2042,535.7681
REGION1,PWRNGSB01,2030,1.1169
REGION1,PWRNGSB01,2031,10.7763
REGION1,PWRNGSB01,2032,15.3918
REGION1,PWRNGSB01,2033,19.5107
REGION1,PWRNGSB01,2034,23.4353
REGION1,PWRNGSB01,2035,42.9816
REGION1,PWRNGSB01,2036,28.6529
REGION1,PWRNGSB01,2037,96.9111
REGION1,PWRNGSB01,2038,29.61
REGION1,PWRNGSB01,2040,7.7484
REGION1,PWRNGSB01,2041,6.0513
REGION1,PWRNGSB01,2042,352.1763
REGION1,PWRNGSB01,2043,156.5554
REGION1,PWRNGSB01,2044,139.1047
REGION1,PWRNGSB01,2045,170.8093
REGION1,PWRNGSB01,2046,146.737
REGION1,PWRNGSB01,2047,149.9579
REGION1,PWRNGSB01,2048,152.9476
REGION1,PWRNGSB01,2049,155.7373
REGION1,PWRSOLB01,2036,6.6738
REGION1,PWRSOLB01,2037,423.5768
REGION1,PWRSOLB01,2038,269.7047
REGION1,PWRSOLB01,2039,201.5386
REGION1,PWRSOLB01,2040,191.0236
REGION1,PWRSOLB01,2041,200.2568
REGION1,PWRSOLB01,2042,167.4324
REGION1,PWRSOLB01,2044,174.2863
REGION1,PWRSOLB01,2045,218.7254
REGION1,PWRSOLB01,2046,221.6319
REGION1,PWRSOLB01,2047,225.0458
REGION1,PWRSOLB01,2048,228.2424
REGION1,PWRSOLB01,2049,231.255
REGION1,PWRSOLB01,2050,2417.6677
REGION1,PWRURNB01,2024,188.6208
REGION1,PWRURNB01,2027,92.7781
REGION1,PWRURNB01,2028,92.1219
REGION1,PWRURNB01,2029,89.3999
REGION1,PWRURNB01,2030,106.6805
REGION1,PWRURNB01,2031,423.8531
REGION1,PWRURNB01,2032,433.1751
REGION1,PWRURNB01,2033,440.4402
REGION1,PWRURNB01,2034,444.6026
REGION1,PWRURNB01,2035,210.457
REGION1,PWRWNDB09,2045,418.6785
REGION1,PWRWNDB10,2042,104.5116
REGION1,PWRWNDB10,2043,631.5302
REGION1,PWRWNDB10,2044,113.1068
REGION1,PWRWNDB11,2050,1426.9384
